location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_SD_46121,2020-01-01,ChIJ0TI-MQaseIcREC8MgfCqaww,Q502081,geoId/46121,US,United States of America,SD,South Dakota,46121,Todd County,US,USA,2,,,,,,,10277,4983,5294,2582,2081,1471,1156,965,898,680,285,159,1425432,43.18,-100.73,3602,74.7,,,,28.16,29.82,-0.866667,-6.85,5.494444,0.0,149.86,-5.805556,69.273306
US_SD_46121,2020-01-02,ChIJ0TI-MQaseIcREC8MgfCqaww,Q502081,geoId/46121,US,United States of America,SD,South Dakota,46121,Todd County,US,USA,2,,,,,,,10277,4983,5294,2582,2081,1471,1156,965,898,680,285,159,1425432,43.18,-100.73,3602,74.7,,,,43.2,45.99,2.211111,-2.327778,5.272222,0.0,149.86,-0.361111,81.588555
US_SD_46121,2020-01-03,ChIJ0TI-MQaseIcREC8MgfCqaww,Q502081,geoId/46121,US,United States of America,SD,South Dakota,46121,Todd County,US,USA,2,,,,,,,10277,4983,5294,2582,2081,1471,1156,965,898,680,285,159,1425432,43.18,-100.73,3602,74.7,,,,20.83,20.83,0.566667,-2.938889,3.877778,0.03175,114.3,-3.708333,71.684931
US_SD_46121,2020-01-04,ChIJ0TI-MQaseIcREC8MgfCqaww,Q502081,geoId/46121,US,United States of America,SD,South Dakota,46121,Todd County,US,USA,2,,,,,,,10277,4983,5294,2582,2081,1471,1156,965,898,680,285,159,1425432,43.18,-100.73,3602,74.7,,,,27.89,34.45,-1.111111,-7.388889,7.911111,0.0,78.74,-5.402778,72.88256
US_SD_46121,2020-01-05,ChIJ0TI-MQaseIcREC8MgfCqaww,Q502081,geoId/46121,US,United States of America,SD,South Dakota,46121,Todd County,US,USA,2,,,,,,,10277,4983,5294,2582,2081,1471,1156,965,898,680,285,159,1425432,43.18,-100.73,3602,74.7,,,,,37.86,3.777778,-2.683333,8.561111,0.0,78.74,-3.381944,58.78204
US_SD_46121,2020-01-06,ChIJ0TI-MQaseIcREC8MgfCqaww,Q502081,geoId/46121,US,United States of America,SD,South Dakota,46121,Todd County,US,USA,2,,,,,,,10277,4983,5294,2582,2081,1471,1156,965,898,680,285,159,1425432,43.18,-100.73,3602,74.7,,,,22.82,25.67,0.194444,-4.277778,5.438889,0.0,64.77,-4.5625,69.668399
US_SD_46121,2020-01-07,ChIJ0TI-MQaseIcREC8MgfCqaww,Q502081,geoId/46121,US,United States of America,SD,South Dakota,46121,Todd County,US,USA,2,,,,,,,10277,4983,5294,2582,2081,1471,1156,965,898,680,285,159,1425432,43.18,-100.73,3602,74.7,,,,18.05,25.79,-0.938889,-5.966667,5.5,0.0254,40.64,-5.763889,69.978067
US_SD_46121,2020-01-08,ChIJ0TI-MQaseIcREC8MgfCqaww,Q502081,geoId/46121,US,United States of America,SD,South Dakota,46121,Todd County,US,USA,2,,,,,,,10277,4983,5294,2582,2081,1471,1156,965,898,680,285,159,1425432,43.18,-100.73,3602,74.7,,,,26.79,23.1,-4.455556,-8.377778,1.705556,0.0,40.64,-7.965278,75.690921
US_SD_46121,2020-01-09,ChIJ0TI-MQaseIcREC8MgfCqaww,Q502081,geoId/46121,US,United States of America,SD,South Dakota,46121,Todd County,US,USA,2,,,,,,,10277,4983,5294,2582,2081,1471,1156,965,898,680,285,159,1425432,43.18,-100.73,3602,74.7,,,,24.91,17.13,-0.588889,-5.1,3.744444,0.0,40.64,-3.458333,80.400405
US_SD_46121,2020-01-10,ChIJ0TI-MQaseIcREC8MgfCqaww,Q502081,geoId/46121,US,United States of America,SD,South Dakota,46121,Todd County,US,USA,2,,,,,,,10277,4983,5294,2582,2081,1471,1156,965,898,680,285,159,1425432,43.18,-100.73,3602,74.7,,,,24.7,25.55,-6.822222,-13.572222,1.566667,0.4445,40.64,-8.944444,84.061013
