location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IL_17145,2020-01-01,ChIJOzyYV4j4dogROqJd9oluTWo,Q486517,geoId/17145,US,United States of America,IL,Illinois,17145,Perry County,US,USA,2,,,,,,,21281,11686,9595,2110,2517,3017,2769,2724,2844,2619,1688,993,1800896,38.09,-89.37,1157,77.283333,,,,,,16.2,,31.21,9.0,39.61,4.183333,-2.355556,12.122222,0.0,,-2.35,62.698452
US_IL_17145,2020-01-02,ChIJOzyYV4j4dogROqJd9oluTWo,Q486517,geoId/17145,US,United States of America,IL,Illinois,17145,Perry County,US,USA,2,,,,,,,21281,11686,9595,2110,2517,3017,2769,2724,2844,2619,1688,993,1800896,38.09,-89.37,1157,77.283333,,,,,16.64,18.42,10.1,34.47,12.48,42.79,7.944444,4.505556,11.405556,0.508,,1.95,65.954324
US_IL_17145,2020-01-03,ChIJOzyYV4j4dogROqJd9oluTWo,Q486517,geoId/17145,US,United States of America,IL,Illinois,17145,Perry County,US,USA,2,,,,,,,21281,11686,9595,2110,2517,3017,2769,2724,2844,2619,1688,993,1800896,38.09,-89.37,1157,77.283333,,,,,,18.88,12.02,26.32,,45.78,7.633333,4.088889,9.766667,4.54025,,7.161111,96.843678
US_IL_17145,2020-01-04,ChIJOzyYV4j4dogROqJd9oluTWo,Q486517,geoId/17145,US,United States of America,IL,Illinois,17145,Perry County,US,USA,2,,,,,,,21281,11686,9595,2110,2517,3017,2769,2724,2844,2619,1688,993,1800896,38.09,-89.37,1157,77.283333,,,,,,17.26,,25.89,9.25,40.06,2.866667,0.616667,5.272222,0.423333,,0.361111,83.765576
US_IL_17145,2020-01-05,ChIJOzyYV4j4dogROqJd9oluTWo,Q486517,geoId/17145,US,United States of America,IL,Illinois,17145,Perry County,US,USA,2,,,,,,,21281,11686,9595,2110,2517,3017,2769,2724,2844,2619,1688,993,1800896,38.09,-89.37,1157,77.283333,,,,,11.36,16.74,12.55,21.52,,47.22,2.727778,-3.177778,12.338889,0.0254,,-2.155556,70.350228
US_IL_17145,2020-01-06,ChIJOzyYV4j4dogROqJd9oluTWo,Q486517,geoId/17145,US,United States of America,IL,Illinois,17145,Perry County,US,USA,2,,,,,,,21281,11686,9595,2110,2517,3017,2769,2724,2844,2619,1688,993,1800896,38.09,-89.37,1157,77.283333,,,,,,14.62,16.63,15.12,9.58,44.36,3.611111,-3.255556,9.644444,0.0,,-3.088889,61.661805
US_IL_17145,2020-01-07,ChIJOzyYV4j4dogROqJd9oluTWo,Q486517,geoId/17145,US,United States of America,IL,Illinois,17145,Perry County,US,USA,2,,,,,,,21281,11686,9595,2110,2517,3017,2769,2724,2844,2619,1688,993,1800896,38.09,-89.37,1157,77.283333,,,,,12.87,15.96,,20.6,9.78,39.65,2.422222,-3.633333,8.972222,0.0,,-3.2,66.607589
US_IL_17145,2020-01-08,ChIJOzyYV4j4dogROqJd9oluTWo,Q486517,geoId/17145,US,United States of America,IL,Illinois,17145,Perry County,US,USA,2,,,,,,,21281,11686,9595,2110,2517,3017,2769,2724,2844,2619,1688,993,1800896,38.09,-89.37,1157,77.283333,,,,,8.88,16.19,13.58,24.54,,32.38,3.211111,-1.466667,8.105556,0.0,,-6.155556,50.407964
US_IL_17145,2020-01-09,ChIJOzyYV4j4dogROqJd9oluTWo,Q486517,geoId/17145,US,United States of America,IL,Illinois,17145,Perry County,US,USA,2,,,,,,,21281,11686,9595,2110,2517,3017,2769,2724,2844,2619,1688,993,1800896,38.09,-89.37,1157,77.283333,,,,,12.76,14.8,13.27,17.86,,37.26,7.977778,1.838889,13.833333,0.108857,,-0.688889,54.414286
US_IL_17145,2020-01-10,ChIJOzyYV4j4dogROqJd9oluTWo,Q486517,geoId/17145,US,United States of America,IL,Illinois,17145,Perry County,US,USA,2,,,,,,,21281,11686,9595,2110,2517,3017,2769,2724,2844,2619,1688,993,1800896,38.09,-89.37,1157,77.283333,,,,,9.03,9.51,9.98,25.67,8.08,38.98,12.672222,9.088889,14.711111,25.7302,,11.277778,91.285923
US_IL_17145,2020-01-11,ChIJOzyYV4j4dogROqJd9oluTWo,Q486517,geoId/17145,US,United States of America,IL,Illinois,17145,Perry County,US,USA,2,,,,,,,21281,11686,9595,2110,2517,3017,2769,2724,2844,2619,1688,993,1800896,38.09,-89.37,1157,77.283333,,,,,9.1,13.35,11.53,13.35,10.31,34.58,9.377778,2.1,17.3,51.1302,,8.627778,95.09025
US_IL_17145,2020-01-12,ChIJOzyYV4j4dogROqJd9oluTWo,Q486517,geoId/17145,US,United States of America,IL,Illinois,17145,Perry County,US,USA,2,,,,,,,21281,11686,9595,2110,2517,3017,2769,2724,2844,2619,1688,993,1800896,38.09,-89.37,1157,77.283333,,,,,9.14,,12.19,26.2,9.75,40.21,0.244444,-1.438889,2.355556,12.7,,-1.2,90.051702
US_IL_17145,2020-01-13,ChIJOzyYV4j4dogROqJd9oluTWo,Q486517,geoId/17145,US,United States of America,IL,Illinois,17145,Perry County,US,USA,2,,,,,,,21281,11686,9595,2110,2517,3017,2769,2724,2844,2619,1688,993,1800896,38.09,-89.37,1157,77.283333,,,,,12.43,11.93,7.96,15.91,,33.31,2.227778,-0.977778,5.155556,0.0508,,0.655556,89.380048
