location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_FL_12049,2020-01-01,ChIJEewZJFLD3IgR7MDdgOV_dsw,Q488792,geoId/12049,US,United States of America,FL,Florida,12049,Hardee County,US,USA,2,,,,,,,27154,14366,12788,3927,4032,3971,3145,3219,3150,2664,1928,1118,1210738,27.49,-81.81,1653,79.533333,,,,,,13.72,,,,20.0,,8.57,28.0,8.57,10.29,48.0,,,15.5,10.783951,22.666667,0.0,7.230159,57.79317
US_FL_12049,2020-01-02,ChIJEewZJFLD3IgR7MDdgOV_dsw,Q488792,geoId/12049,US,United States of America,FL,Florida,12049,Hardee County,US,USA,2,,,,,,,27154,14366,12788,3927,4032,3971,3145,3219,3150,2664,1928,1118,1210738,27.49,-81.81,1653,79.533333,,,,,,9.74,9.74,,,25.43,8.66,8.12,37.88,11.36,12.45,46.54,9.2,,18.524691,11.493827,27.796296,0.0635,12.904762,69.916168
US_FL_12049,2020-01-03,ChIJEewZJFLD3IgR7MDdgOV_dsw,Q488792,geoId/12049,US,United States of America,FL,Florida,12049,Hardee County,US,USA,2,,,,,,,27154,14366,12788,3927,4032,3971,3145,3219,3150,2664,1928,1118,1210738,27.49,-81.81,1653,79.533333,,,,,,11.44,13.62,,8.17,13.08,,8.72,31.61,,8.17,41.96,,,23.314815,17.117284,29.487654,0.0,20.142857,82.142106
US_FL_12049,2020-01-04,ChIJEewZJFLD3IgR7MDdgOV_dsw,Q488792,geoId/12049,US,United States of America,FL,Florida,12049,Hardee County,US,USA,2,,,,,,,27154,14366,12788,3927,4032,3971,3145,3219,3150,2664,1928,1118,1210738,27.49,-81.81,1653,79.533333,,,,,,,12.08,12.63,,19.22,9.34,,24.16,,12.08,40.64,,,22.592593,18.339506,27.574074,0.762,20.603175,88.780296
US_FL_12049,2020-01-05,ChIJEewZJFLD3IgR7MDdgOV_dsw,Q488792,geoId/12049,US,United States of America,FL,Florida,12049,Hardee County,US,USA,2,,,,,,,27154,14366,12788,3927,4032,3971,3145,3219,3150,2664,1928,1118,1210738,27.49,-81.81,1653,79.533333,,,,,,,13.18,,10.88,17.19,14.32,12.03,33.23,9.17,,49.27,9.74,,14.425926,8.567901,20.141975,5.870222,4.650794,52.099002
US_FL_12049,2020-01-06,ChIJEewZJFLD3IgR7MDdgOV_dsw,Q488792,geoId/12049,US,United States of America,FL,Florida,12049,Hardee County,US,USA,2,,,,,,,27154,14366,12788,3927,4032,3971,3145,3219,3150,2664,1928,1118,1210738,27.49,-81.81,1653,79.533333,,,,,,,12.61,,,24.13,19.19,9.87,24.13,,10.42,43.87,,,11.777778,5.111111,20.469136,0.028222,4.18254,59.446038
US_FL_12049,2020-01-07,ChIJEewZJFLD3IgR7MDdgOV_dsw,Q488792,geoId/12049,US,United States of America,FL,Florida,12049,Hardee County,US,USA,2,,,,,,,27154,14366,12788,3927,4032,3971,3145,3219,3150,2664,1928,1118,1210738,27.49,-81.81,1653,79.533333,,,,,,10.9,13.74,7.58,,12.79,10.43,,21.32,7.11,9.0,47.39,8.06,,13.574074,6.37037,22.185185,0.028222,7.333333,66.665506
US_FL_12049,2020-01-08,ChIJEewZJFLD3IgR7MDdgOV_dsw,Q488792,geoId/12049,US,United States of America,FL,Florida,12049,Hardee County,US,USA,2,,,,,,,27154,14366,12788,3927,4032,3971,3145,3219,3150,2664,1928,1118,1210738,27.49,-81.81,1653,79.533333,,,,,,10.36,12.09,12.52,,16.41,,7.77,30.65,7.34,7.77,38.85,21.59,9.07,14.858025,8.814815,21.098765,0.028222,7.47619,61.792432
US_FL_12049,2020-01-09,ChIJEewZJFLD3IgR7MDdgOV_dsw,Q488792,geoId/12049,US,United States of America,FL,Florida,12049,Hardee County,US,USA,2,,,,,,,27154,14366,12788,3927,4032,3971,3145,3219,3150,2664,1928,1118,1210738,27.49,-81.81,1653,79.533333,,,,,,8.64,9.88,,6.59,13.17,9.47,10.29,29.64,7.82,,41.58,17.29,,17.0,10.364198,25.716049,0.0,10.063492,63.841939
US_FL_12049,2020-01-10,ChIJEewZJFLD3IgR7MDdgOV_dsw,Q488792,geoId/12049,US,United States of America,FL,Florida,12049,Hardee County,US,USA,2,,,,,,,27154,14366,12788,3927,4032,3971,3145,3219,3150,2664,1928,1118,1210738,27.49,-81.81,1653,79.533333,,,,,,7.13,12.16,6.29,,13.0,6.71,7.97,29.77,9.65,8.81,38.16,13.84,,20.506173,13.802469,26.864198,0.0,15.698413,73.912051
