location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_GA_13137,2020-01-01,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,6.83,10.13,6.17,11.67,6.39,4.84,,5.5,3.08,3.3,,15.63,7.93,13.87,3.52,3.96,9.91,3.08,8.37,3.52,5.29,3.96,5.07,4.18,6.39,30.61,5.5,4.4,9.03,4.84,,4.62,5.72,39.64,3.08,7.49,6.17,3.52,,4.18,3.96,6.166667,0.527778,13.038889,0.0,,-4.205556,47.938254
US_GA_13137,2020-01-02,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,6.87,11.66,6.25,13.74,8.75,5.21,2.92,7.71,5.42,,4.58,24.99,4.37,14.16,2.92,4.37,8.54,4.58,6.66,9.37,4.17,4.79,8.54,6.25,10.83,29.78,4.79,4.58,8.96,3.96,4.17,7.71,4.17,49.15,4.37,8.96,6.46,3.54,6.66,3.75,,5.688889,2.011111,10.294444,11.393714,,0.494444,70.015665
US_GA_13137,2020-01-03,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,6.2,8.68,3.93,9.71,10.13,8.27,3.31,6.61,4.13,3.93,,19.84,6.2,13.23,3.51,3.93,8.06,3.72,5.58,4.34,5.37,5.37,5.99,3.31,9.3,24.59,4.96,,6.41,,4.55,7.03,5.99,45.88,4.75,4.96,7.85,4.13,3.93,3.72,4.55,9.944444,6.272222,14.311111,27.613429,,9.355556,96.158314
US_GA_13137,2020-01-04,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,5.86,11.05,5.86,15.34,7.67,5.19,3.61,6.99,5.19,3.83,3.38,24.58,6.54,13.31,,4.06,4.06,6.09,7.67,3.38,3.61,5.19,3.38,3.61,7.44,27.74,8.34,,7.22,4.74,4.06,4.96,5.64,42.85,4.96,6.99,6.77,3.16,3.16,,3.16,12.033333,5.244444,14.722222,22.460857,,9.027778,82.034501
US_GA_13137,2020-01-05,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,7.48,9.98,7.48,9.53,7.48,6.58,4.76,4.99,4.54,,,18.37,5.44,13.83,3.17,5.44,8.16,3.63,5.44,7.71,4.54,4.99,5.22,3.17,7.03,27.89,8.39,5.22,9.53,,3.4,4.99,3.63,43.32,6.58,7.26,6.58,6.35,5.44,,,4.538889,-0.127778,12.744444,0.979714,,-3.233333,57.41157
US_GA_13137,2020-01-06,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,5.83,6.04,5.0,10.2,6.45,7.91,3.54,9.37,5.0,2.91,2.91,21.02,4.58,11.24,,5.2,9.57,6.04,3.33,6.04,2.91,6.24,7.7,4.79,10.82,28.72,8.53,5.83,7.28,,5.2,5.62,5.2,51.61,3.12,7.7,5.41,5.41,7.7,3.12,3.75,6.85,-0.455556,15.761111,0.0,,-1.272222,56.702702
US_GA_13137,2020-01-07,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,5.11,7.36,4.5,7.98,7.98,6.75,4.09,6.34,4.7,,,23.32,3.07,12.47,3.68,5.73,7.57,,5.73,7.57,7.98,4.5,4.29,5.73,10.43,28.22,6.54,3.89,8.38,3.27,5.32,6.13,8.79,44.79,5.11,6.34,6.34,,8.38,3.48,4.29,8.566667,2.833333,13.916667,1.705429,,1.777778,62.61404
US_GA_13137,2020-01-08,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,5.64,7.94,4.59,13.16,7.52,10.03,5.22,6.68,6.47,,3.13,19.01,4.59,10.65,,3.55,11.07,5.85,5.22,7.94,3.97,4.39,4.18,,10.23,32.79,6.27,4.59,8.36,3.55,5.43,6.06,7.31,43.66,7.31,13.16,4.39,2.92,5.43,3.55,3.34,6.716667,-1.072222,15.85,0.4318,,-4.405556,45.976922
US_GA_13137,2020-01-09,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,4.12,9.28,6.39,10.11,7.22,7.84,3.71,7.42,,2.89,5.57,17.53,5.36,8.87,4.74,4.12,8.04,5.98,8.66,5.57,5.98,4.74,3.71,3.71,8.66,38.77,6.81,3.71,9.28,3.51,4.12,3.09,9.9,48.46,4.12,11.96,8.46,5.98,5.36,3.51,,6.672222,-1.15,16.022222,0.0,,-1.777778,55.385388
US_GA_13137,2020-01-10,ChIJxZH_pFFIX4gRVY9HP52Y-2A,Q501096,geoId/13137,US,United States of America,GA,Georgia,13137,Habersham County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44535,21062,23473,5396,5888,5759,5413,5585,5731,5286,3659,1818,452153,34.63,-83.53,723,78.275,,,,,8.57,8.17,3.59,10.37,8.77,5.38,,6.78,4.19,,3.39,18.34,,10.56,5.78,4.19,11.16,2.79,7.58,8.17,3.59,4.98,7.38,5.38,10.37,29.11,4.39,2.99,7.18,,4.39,5.18,7.97,40.27,5.18,8.37,8.97,4.78,3.99,6.38,3.79,12.288889,7.15,17.172222,0.0,,4.272222,58.236903
