location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48401,2020-01-11,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,4.88,10.69,3.25,6.74,4.88,6.27,6.27,5.34,13.24,,7.43,,4.18,7.67,5.81,,3.95,4.65,4.41,5.58,,7.43,21.61,4.65,,5.34,,6.04,4.18,40.2,6.27,6.74,7.2,5.34,4.88,,11.266667,2.422222,22.166667,28.54325,,9.577778,89.427898
US_TX_48401,2020-01-12,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,6.67,9.19,,11.03,8.28,6.9,4.6,4.37,15.63,5.06,6.44,5.98,4.83,10.11,4.14,6.21,7.13,,4.37,4.6,4.14,11.72,25.05,5.29,7.36,8.04,6.44,4.83,4.37,40.69,5.29,10.11,5.52,4.6,5.06,,2.666667,-1.5,11.183333,6.914444,,0.294444,84.503954
US_TX_48401,2020-01-13,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,5.1,7.28,,9.83,8.74,4.01,6.01,,10.2,5.46,7.83,,3.46,7.46,,4.73,4.19,3.46,4.37,4.92,3.64,7.28,24.58,4.92,4.55,5.64,3.28,4.19,5.46,32.77,4.01,5.46,6.92,3.46,4.92,4.19,8.305556,2.961111,16.922222,0.0,,5.338889,81.886241
US_TX_48401,2020-01-14,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,2.74,7.04,4.11,8.41,8.6,3.32,5.67,3.52,15.83,3.32,6.45,3.71,2.93,9.38,3.71,6.26,6.65,4.3,3.13,4.5,4.11,9.58,26.78,6.26,4.5,6.26,3.91,3.91,5.67,35.77,3.52,6.06,5.47,5.67,5.28,2.93,15.138889,13.166667,18.872222,6.688667,,14.227778,94.355104
US_TX_48401,2020-01-15,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,,5.28,3.77,9.05,7.36,4.53,5.28,4.9,10.19,3.58,8.68,3.02,5.28,10.75,3.02,6.41,4.72,2.83,3.4,3.77,2.64,10.37,23.77,7.36,3.96,6.79,2.64,6.04,5.85,35.27,,5.66,3.96,3.96,5.28,,19.972222,17.122222,24.511111,2.003778,,18.666667,91.939626
US_TX_48401,2020-01-16,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,4.1,8.01,3.91,8.01,7.26,5.96,5.21,5.59,11.17,,8.19,,5.4,7.82,,3.54,3.72,2.98,3.91,3.54,3.91,10.8,23.65,5.21,3.35,7.08,4.1,3.91,5.4,36.87,5.21,7.63,4.84,3.72,5.96,,16.827778,11.877778,21.722222,2.257778,,15.905556,94.337893
US_TX_48401,2020-01-17,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,3.99,7.42,6.09,7.23,5.13,4.75,5.33,3.8,8.94,3.23,6.66,,4.95,7.61,3.04,7.04,4.38,,5.52,4.75,,6.28,22.63,9.51,4.57,6.66,4.38,4.57,5.52,29.86,2.66,4.57,5.33,3.42,4.18,,11.616667,9.588889,16.061111,16.086667,,9.444444,86.62864
US_TX_48401,2020-01-18,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,3.81,5.95,,7.86,5.95,5.24,4.76,3.81,15.0,,8.81,3.57,3.33,9.05,4.52,4.29,5.0,,3.81,4.52,,6.67,28.34,6.67,,6.43,4.52,,,35.72,3.33,5.71,5.95,8.1,7.38,,17.027778,12.638889,19.116667,4.628444,,14.527778,85.29851
US_TX_48401,2020-01-19,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,3.63,9.53,6.81,8.39,4.99,8.17,4.76,5.22,11.34,4.31,7.03,,4.08,9.3,,6.13,6.81,,4.31,,3.4,7.03,23.37,4.08,3.18,6.58,,4.31,5.22,37.21,4.31,5.67,4.08,3.63,4.31,3.86,7.622222,1.3,13.961111,3.1242,,-3.627778,45.060237
US_TX_48401,2020-01-20,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,6.43,10.43,3.33,9.76,7.1,5.55,5.99,7.76,16.19,,5.99,3.11,4.66,9.98,4.21,8.21,5.55,,5.77,4.66,3.99,7.54,23.07,6.21,3.77,5.99,3.11,5.99,5.1,41.04,4.66,6.66,6.43,5.32,4.44,,6.0,0.188889,13.294444,0.0,,-3.622222,50.443059
