location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WI_55099,2020-01-01,ChIJue8_0VTKq1IR7Noo50TSr04,Q505644,geoId/55099,US,United States of America,WI,Wisconsin,55099,Price County,US,USA,2,,,,,,,13380,6818,6562,1184,1472,1100,1162,1486,2318,2442,1410,806,270798,45.68,-90.36,3311,,,,,26.88,53.76,-10.822222,-17.205556,-2.994444,0.169333,299.72,-12.427778,88.009816
US_WI_55099,2020-01-02,ChIJue8_0VTKq1IR7Noo50TSr04,Q505644,geoId/55099,US,United States of America,WI,Wisconsin,55099,Price County,US,USA,2,,,,,,,13380,6818,6562,1184,1472,1100,1162,1486,2318,2442,1410,806,270798,45.68,-90.36,3311,,,,,59.22,37.37,-1.016667,-3.911111,0.911111,0.0,299.72,-2.2,91.795157
US_WI_55099,2020-01-03,ChIJue8_0VTKq1IR7Noo50TSr04,Q505644,geoId/55099,US,United States of America,WI,Wisconsin,55099,Price County,US,USA,2,,,,,,,13380,6818,6562,1184,1472,1100,1162,1486,2318,2442,1410,806,270798,45.68,-90.36,3311,,,,,60.14,42.02,-2.588889,-4.555556,-0.45,0.0,279.4,-5.077778,83.170763
US_WI_55099,2020-01-04,ChIJue8_0VTKq1IR7Noo50TSr04,Q505644,geoId/55099,US,United States of America,WI,Wisconsin,55099,Price County,US,USA,2,,,,,,,13380,6818,6562,1184,1472,1100,1162,1486,2318,2442,1410,806,270798,45.68,-90.36,3311,,,,,28.2,42.76,-5.466667,-6.827778,-3.477778,0.0,279.4,-7.044444,88.748149
US_WI_55099,2020-01-05,ChIJue8_0VTKq1IR7Noo50TSr04,Q505644,geoId/55099,US,United States of America,WI,Wisconsin,55099,Price County,US,USA,2,,,,,,,13380,6818,6562,1184,1472,1100,1162,1486,2318,2442,1410,806,270798,45.68,-90.36,3311,,,,,29.56,38.85,-4.333333,-5.572222,-1.038889,0.580571,248.92,-5.855556,89.279081
US_WI_55099,2020-01-06,ChIJue8_0VTKq1IR7Noo50TSr04,Q505644,geoId/55099,US,United States of America,WI,Wisconsin,55099,Price County,US,USA,2,,,,,,,13380,6818,6562,1184,1472,1100,1162,1486,2318,2442,1410,806,270798,45.68,-90.36,3311,,,,,34.69,38.38,-4.7,-8.894444,-0.327778,0.6096,330.2,-8.466667,74.983846
US_WI_55099,2020-01-07,ChIJue8_0VTKq1IR7Noo50TSr04,Q505644,geoId/55099,US,United States of America,WI,Wisconsin,55099,Price County,US,USA,2,,,,,,,13380,6818,6562,1184,1472,1100,1162,1486,2318,2442,1410,806,270798,45.68,-90.36,3311,,,,,44.81,38.2,-4.255556,-9.416667,-1.166667,0.0,299.72,-8.505556,72.327073
US_WI_55099,2020-01-08,ChIJue8_0VTKq1IR7Noo50TSr04,Q505644,geoId/55099,US,United States of America,WI,Wisconsin,55099,Price County,US,USA,2,,,,,,,13380,6818,6562,1184,1472,1100,1162,1486,2318,2442,1410,806,270798,45.68,-90.36,3311,,,,12.05,46.68,39.91,-15.861111,-20.922222,-9.066667,0.036286,299.72,-20.516667,67.496109
US_WI_55099,2020-01-09,ChIJue8_0VTKq1IR7Noo50TSr04,Q505644,geoId/55099,US,United States of America,WI,Wisconsin,55099,Price County,US,USA,2,,,,,,,13380,6818,6562,1184,1472,1100,1162,1486,2318,2442,1410,806,270798,45.68,-90.36,3311,,,,,43.54,33.01,-7.388889,-13.877778,-0.222222,0.1016,279.4,-10.75,77.040461
US_WI_55099,2020-01-10,ChIJue8_0VTKq1IR7Noo50TSr04,Q505644,geoId/55099,US,United States of America,WI,Wisconsin,55099,Price County,US,USA,2,,,,,,,13380,6818,6562,1184,1472,1100,1162,1486,2318,2442,1410,806,270798,45.68,-90.36,3311,,,,,30.96,39.32,-3.777778,-7.355556,0.222222,0.036286,248.92,-6.427778,81.976267
US_WI_55099,2020-01-11,ChIJue8_0VTKq1IR7Noo50TSr04,Q505644,geoId/55099,US,United States of America,WI,Wisconsin,55099,Price County,US,USA,2,,,,,,,13380,6818,6562,1184,1472,1100,1162,1486,2318,2442,1410,806,270798,45.68,-90.36,3311,,,,,23.61,34.51,-10.327778,-13.872222,-5.538889,0.0,248.92,-15.061111,68.320608
US_WI_55099,2020-01-12,ChIJue8_0VTKq1IR7Noo50TSr04,Q505644,geoId/55099,US,United States of America,WI,Wisconsin,55099,Price County,US,USA,2,,,,,,,13380,6818,6562,1184,1472,1100,1162,1486,2318,2442,1410,806,270798,45.68,-90.36,3311,,,,,22.68,55.34,-13.205556,-21.422222,-7.855556,0.0,248.92,-16.438889,76.696049
US_WI_55099,2020-01-13,ChIJue8_0VTKq1IR7Noo50TSr04,Q505644,geoId/55099,US,United States of America,WI,Wisconsin,55099,Price County,US,USA,2,,,,,,,13380,6818,6562,1184,1472,1100,1162,1486,2318,2442,1410,806,270798,45.68,-90.36,3311,,,,11.36,37.88,40.15,-7.555556,-10.572222,-3.883333,0.399143,279.4,-9.783333,84.099729
