location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TN_47055,2020-01-01,ChIJoc3Y_kkBY4gRTBBmck1uM4A,Q502479,geoId/47055,US,United States of America,TN,Tennessee,47055,Giles County,US,USA,2,,,,,,,29379,14281,15098,3334,3599,3511,3151,3443,4413,3979,2619,1330,1848176,35.2,-87.04,1583,74.8,,,,,,9.4,10.97,9.4,10.19,6.27,21.16,9.8,,7.45,30.17,10.19,,,42.32,,9.8,4.544444,-1.433333,11.95,0.0,,-3.076389,58.025973
US_TN_47055,2020-01-02,ChIJoc3Y_kkBY4gRTBBmck1uM4A,Q502479,geoId/47055,US,United States of America,TN,Tennessee,47055,Giles County,US,USA,2,,,,,,,29379,14281,15098,3334,3599,3511,3151,3443,4413,3979,2619,1330,1848176,35.2,-87.04,1583,74.8,,,,,,7.69,10.49,8.39,7.69,6.99,22.03,7.34,5.59,,28.67,9.09,6.29,8.74,41.95,5.59,5.94,9.211111,6.327778,12.016667,0.254,,3.958333,70.360098
US_TN_47055,2020-01-03,ChIJoc3Y_kkBY4gRTBBmck1uM4A,Q502479,geoId/47055,US,United States of America,TN,Tennessee,47055,Giles County,US,USA,2,,,,,,,29379,14281,15098,3334,3599,3511,3151,3443,4413,3979,2619,1330,1848176,35.2,-87.04,1583,74.8,,,,,,7.8,9.22,8.16,,5.32,20.93,11.35,4.96,10.64,28.02,6.03,7.8,5.67,38.3,6.74,7.8,12.755556,10.716667,15.577778,40.301333,,12.215278,96.984849
US_TN_47055,2020-01-04,ChIJoc3Y_kkBY4gRTBBmck1uM4A,Q502479,geoId/47055,US,United States of America,TN,Tennessee,47055,Giles County,US,USA,2,,,,,,,29379,14281,15098,3334,3599,3511,3151,3443,4413,3979,2619,1330,1848176,35.2,-87.04,1583,74.8,,,,,,10.98,10.98,,,7.57,9.09,7.95,,7.57,25.74,6.43,7.19,,37.85,6.43,6.81,9.433333,3.383333,14.355556,5.446889,,6.416667,81.610693
US_TN_47055,2020-01-05,ChIJoc3Y_kkBY4gRTBBmck1uM4A,Q502479,geoId/47055,US,United States of America,TN,Tennessee,47055,Giles County,US,USA,2,,,,,,,29379,14281,15098,3334,3599,3511,3151,3443,4413,3979,2619,1330,1848176,35.2,-87.04,1583,74.8,,,,,,9.95,10.34,7.66,,8.04,17.99,9.19,,,23.35,9.95,,,42.49,7.27,,3.477778,-2.577778,12.894444,1.6256,,-1.673611,69.32601
US_TN_47055,2020-01-06,ChIJoc3Y_kkBY4gRTBBmck1uM4A,Q502479,geoId/47055,US,United States of America,TN,Tennessee,47055,Giles County,US,USA,2,,,,,,,29379,14281,15098,3334,3599,3511,3151,3443,4413,3979,2619,1330,1848176,35.2,-87.04,1583,74.8,,,,,,8.24,14.76,10.98,7.89,7.55,14.76,8.24,,9.61,26.77,5.49,10.64,7.55,41.18,7.89,5.83,6.355556,-0.772222,15.022222,0.0,,1.590278,71.777368
US_TN_47055,2020-01-07,ChIJoc3Y_kkBY4gRTBBmck1uM4A,Q502479,geoId/47055,US,United States of America,TN,Tennessee,47055,Giles County,US,USA,2,,,,,,,29379,14281,15098,3334,3599,3511,3151,3443,4413,3979,2619,1330,1848176,35.2,-87.04,1583,74.8,,,,,,7.39,8.68,5.79,,8.68,14.78,9.0,,8.68,30.53,10.61,7.07,4.5,45.96,7.39,7.07,9.461111,4.222222,13.0,0.451556,,2.243056,61.105575
US_TN_47055,2020-01-08,ChIJoc3Y_kkBY4gRTBBmck1uM4A,Q502479,geoId/47055,US,United States of America,TN,Tennessee,47055,Giles County,US,USA,2,,,,,,,29379,14281,15098,3334,3599,3511,3151,3443,4413,3979,2619,1330,1848176,35.2,-87.04,1583,74.8,,,,,,7.33,14.03,7.01,5.42,4.46,13.71,10.2,6.06,,23.59,6.7,5.1,,41.45,10.52,6.06,5.477778,-2.061111,15.555556,0.0,,-2.722222,55.629981
US_TN_47055,2020-01-09,ChIJoc3Y_kkBY4gRTBBmck1uM4A,Q502479,geoId/47055,US,United States of America,TN,Tennessee,47055,Giles County,US,USA,2,,,,,,,29379,14281,15098,3334,3599,3511,3151,3443,4413,3979,2619,1330,1848176,35.2,-87.04,1583,74.8,,,,,,9.0,9.0,8.03,5.46,,13.82,7.07,4.82,9.32,40.17,7.39,6.43,7.71,36.31,12.85,6.11,6.861111,-0.4,16.05,0.0,,-1.763889,53.999144
US_TN_47055,2020-01-10,ChIJoc3Y_kkBY4gRTBBmck1uM4A,Q502479,geoId/47055,US,United States of America,TN,Tennessee,47055,Giles County,US,USA,2,,,,,,,29379,14281,15098,3334,3599,3511,3151,3443,4413,3979,2619,1330,1848176,35.2,-87.04,1583,74.8,,,,,,6.33,8.54,6.64,4.43,,11.07,10.12,4.43,11.39,20.88,7.28,6.64,5.06,41.44,8.86,6.64,15.722222,13.488889,18.422222,0.0,,8.777778,63.602982
US_TN_47055,2020-01-11,ChIJoc3Y_kkBY4gRTBBmck1uM4A,Q502479,geoId/47055,US,United States of America,TN,Tennessee,47055,Giles County,US,USA,2,,,,,,,29379,14281,15098,3334,3599,3511,3151,3443,4413,3979,2619,1330,1848176,35.2,-87.04,1583,74.8,,,,,,7.82,9.59,6.75,,4.97,14.21,9.24,,6.39,21.67,,8.53,7.1,31.61,8.53,4.97,17.822222,15.094444,20.9,4.120444,,15.361111,85.686738
US_TN_47055,2020-01-12,ChIJoc3Y_kkBY4gRTBBmck1uM4A,Q502479,geoId/47055,US,United States of America,TN,Tennessee,47055,Giles County,US,USA,2,,,,,,,29379,14281,15098,3334,3599,3511,3151,3443,4413,3979,2619,1330,1848176,35.2,-87.04,1583,74.8,,,,,,5.78,11.94,6.16,8.09,6.93,15.79,13.48,,,26.57,14.63,9.63,6.93,44.29,6.93,6.93,9.894444,6.327778,16.811111,31.891111,,6.916667,81.019951
US_TN_47055,2020-01-13,ChIJoc3Y_kkBY4gRTBBmck1uM4A,Q502479,geoId/47055,US,United States of America,TN,Tennessee,47055,Giles County,US,USA,2,,,,,,,29379,14281,15098,3334,3599,3511,3151,3443,4413,3979,2619,1330,1848176,35.2,-87.04,1583,74.8,,,,,,7.48,16.2,5.3,4.36,8.72,6.86,12.15,6.54,6.23,28.35,4.99,5.3,5.61,44.24,4.36,4.36,8.377778,4.066667,15.677778,0.0,,6.936508,88.090794
US_TN_47055,2020-01-14,ChIJoc3Y_kkBY4gRTBBmck1uM4A,Q502479,geoId/47055,US,United States of America,TN,Tennessee,47055,Giles County,US,USA,2,,,,,,,29379,14281,15098,3334,3599,3511,3151,3443,4413,3979,2619,1330,1848176,35.2,-87.04,1583,74.8,,,,,,7.64,13.68,7.0,6.68,9.86,15.27,9.55,,4.46,33.73,8.59,7.32,7.0,44.87,6.05,7.96,15.872222,13.35,17.494444,9.426222,,14.881944,94.042692
US_TN_47055,2020-01-15,ChIJoc3Y_kkBY4gRTBBmck1uM4A,Q502479,geoId/47055,US,United States of America,TN,Tennessee,47055,Giles County,US,USA,2,,,,,,,29379,14281,15098,3334,3599,3511,3151,3443,4413,3979,2619,1330,1848176,35.2,-87.04,1583,74.8,,,,,,4.99,9.36,5.93,5.62,6.24,17.16,4.68,,10.29,29.01,,7.49,6.86,38.68,5.93,,16.955556,15.377778,19.283333,10.329333,,15.819444,93.525769
US_TN_47055,2020-01-16,ChIJoc3Y_kkBY4gRTBBmck1uM4A,Q502479,geoId/47055,US,United States of America,TN,Tennessee,47055,Giles County,US,USA,2,,,,,,,29379,14281,15098,3334,3599,3511,3151,3443,4413,3979,2619,1330,1848176,35.2,-87.04,1583,74.8,,,,,,5.24,9.82,6.22,5.56,6.87,16.03,8.83,4.58,9.82,29.45,5.89,7.85,6.22,33.7,4.91,,13.138889,8.533333,18.8,10.752667,,8.791667,76.083629
US_TN_47055,2020-01-17,ChIJoc3Y_kkBY4gRTBBmck1uM4A,Q502479,geoId/47055,US,United States of America,TN,Tennessee,47055,Giles County,US,USA,2,,,,,,,29379,14281,15098,3334,3599,3511,3151,3443,4413,3979,2619,1330,1848176,35.2,-87.04,1583,74.8,,,,,,6.19,10.75,5.87,6.19,,15.64,4.89,7.5,6.19,20.2,,10.75,,41.38,7.17,6.19,6.727778,3.4,12.377778,0.0762,,-2.888889,51.00963
US_TN_47055,2020-01-18,ChIJoc3Y_kkBY4gRTBBmck1uM4A,Q502479,geoId/47055,US,United States of America,TN,Tennessee,47055,Giles County,US,USA,2,,,,,,,29379,14281,15098,3334,3599,3511,3151,3443,4413,3979,2619,1330,1848176,35.2,-87.04,1583,74.8,,,,,,6.02,7.15,5.27,8.28,,16.94,6.4,,8.28,28.61,,6.78,,42.53,,6.02,10.994444,7.872222,13.822222,0.790222,,3.381944,60.619069
US_TN_47055,2020-01-19,ChIJoc3Y_kkBY4gRTBBmck1uM4A,Q502479,geoId/47055,US,United States of America,TN,Tennessee,47055,Giles County,US,USA,2,,,,,,,29379,14281,15098,3334,3599,3511,3151,3443,4413,3979,2619,1330,1848176,35.2,-87.04,1583,74.8,,,,,,7.81,7.42,10.94,,8.2,16.8,6.64,6.64,8.2,26.95,6.25,,,45.7,7.03,7.03,5.127778,-0.633333,13.316667,2.4638,,-3.340278,55.084505
