location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MO_29167,2020-01-01,ChIJYz4T6_y_xYcRl7j_-EnOR7Y,Q489861,geoId/29167,US,United States of America,MO,Missouri,29167,Polk County,US,USA,2,,,,,,,31742,15542,16200,3837,4690,4584,3376,3518,4168,3559,2503,1507,1180479,37.62,-93.4,1664,77.85,,,,,,6.96,12.18,10.09,11.48,,7.31,18.79,10.44,4.87,7.31,,,5.22,9.05,22.62,9.4,8.7,6.96,29.93,,,4.475309,-1.32716,13.67284,0.0,,-5.152778,49.410612
US_MO_29167,2020-01-02,ChIJYz4T6_y_xYcRl7j_-EnOR7Y,Q489861,geoId/29167,US,United States of America,MO,Missouri,29167,Polk County,US,USA,2,,,,,,,31742,15542,16200,3837,4690,4584,3376,3518,4168,3559,2503,1507,1180479,37.62,-93.4,1664,77.85,,,,,,7.67,7.99,9.91,6.07,5.75,5.75,24.61,12.78,4.79,13.42,,7.03,5.75,11.19,26.53,,5.43,9.59,39.95,7.35,10.55,7.697531,3.722222,12.283951,0.0,,2.444444,69.067399
US_MO_29167,2020-01-03,ChIJYz4T6_y_xYcRl7j_-EnOR7Y,Q489861,geoId/29167,US,United States of America,MO,Missouri,29167,Polk County,US,USA,2,,,,,,,31742,15542,16200,3837,4690,4584,3376,3518,4168,3559,2503,1507,1180479,37.62,-93.4,1664,77.85,,,,,,,10.93,9.41,8.5,6.68,8.19,15.17,6.07,5.46,11.23,,4.25,5.77,9.71,22.76,12.14,5.77,5.46,40.97,4.25,4.25,6.037037,2.617284,9.981481,0.0,,4.256944,88.563883
US_MO_29167,2020-01-04,ChIJYz4T6_y_xYcRl7j_-EnOR7Y,Q489861,geoId/29167,US,United States of America,MO,Missouri,29167,Polk County,US,USA,2,,,,,,,31742,15542,16200,3837,4690,4584,3376,3518,4168,3559,2503,1507,1180479,37.62,-93.4,1664,77.85,,,,,,5.64,9.62,8.29,5.97,4.64,,14.26,7.63,,5.97,,7.63,,7.96,24.87,5.64,8.62,,30.51,,4.97,2.259259,-1.41358,6.5,0.0,,-4.333333,62.150305
US_MO_29167,2020-01-05,ChIJYz4T6_y_xYcRl7j_-EnOR7Y,Q489861,geoId/29167,US,United States of America,MO,Missouri,29167,Polk County,US,USA,2,,,,,,,31742,15542,16200,3837,4690,4584,3376,3518,4168,3559,2503,1507,1180479,37.62,-93.4,1664,77.85,,,,,,8.94,8.25,9.63,6.88,,,18.92,6.19,,14.79,5.16,6.88,5.16,5.85,23.73,11.01,6.54,9.29,44.37,6.88,,4.666667,-0.864198,13.006173,0.0,,-5.541667,47.714445
US_MO_29167,2020-01-06,ChIJYz4T6_y_xYcRl7j_-EnOR7Y,Q489861,geoId/29167,US,United States of America,MO,Missouri,29167,Polk County,US,USA,2,,,,,,,31742,15542,16200,3837,4690,4584,3376,3518,4168,3559,2503,1507,1180479,37.62,-93.4,1664,77.85,,,,,,,10.22,7.01,5.25,4.67,5.25,12.85,11.09,4.67,14.6,4.38,4.38,7.88,12.55,32.7,11.97,7.59,9.63,35.91,4.38,9.93,3.364198,-3.753086,11.067901,0.0,,-5.291667,52.860946
US_MO_29167,2020-01-07,ChIJYz4T6_y_xYcRl7j_-EnOR7Y,Q489861,geoId/29167,US,United States of America,MO,Missouri,29167,Polk County,US,USA,2,,,,,,,31742,15542,16200,3837,4690,4584,3376,3518,4168,3559,2503,1507,1180479,37.62,-93.4,1664,77.85,,,,,,7.87,7.6,10.31,7.87,4.07,4.88,13.84,10.86,,12.76,,7.87,,10.58,30.12,8.14,5.43,11.94,31.21,9.77,5.7,3.919753,-1.524691,10.895062,0.0,,-4.520833,54.212462
US_MO_29167,2020-01-08,ChIJYz4T6_y_xYcRl7j_-EnOR7Y,Q489861,geoId/29167,US,United States of America,MO,Missouri,29167,Polk County,US,USA,2,,,,,,,31742,15542,16200,3837,4690,4584,3376,3518,4168,3559,2503,1507,1180479,37.62,-93.4,1664,77.85,,,,,,,8.0,8.55,7.45,,5.79,14.35,9.38,5.52,9.66,,6.35,4.69,8.28,30.63,6.9,5.79,5.52,39.46,9.66,,6.425926,-0.111111,16.203704,0.0,,-5.694444,41.667922
US_MO_29167,2020-01-09,ChIJYz4T6_y_xYcRl7j_-EnOR7Y,Q489861,geoId/29167,US,United States of America,MO,Missouri,29167,Polk County,US,USA,2,,,,,,,31742,15542,16200,3837,4690,4584,3376,3518,4168,3559,2503,1507,1180479,37.62,-93.4,1664,77.85,,,,,,3.65,12.24,9.64,5.47,4.17,7.03,11.72,4.43,4.43,9.9,,4.43,5.21,9.12,29.7,5.73,8.08,3.91,35.95,8.6,5.99,11.858025,9.12963,14.567901,0.0,,2.486111,53.091818
US_MO_29167,2020-01-10,ChIJYz4T6_y_xYcRl7j_-EnOR7Y,Q489861,geoId/29167,US,United States of America,MO,Missouri,29167,Polk County,US,USA,2,,,,,,,31742,15542,16200,3837,4690,4584,3376,3518,4168,3559,2503,1507,1180479,37.62,-93.4,1664,77.85,,,,,,6.12,5.87,8.67,6.89,4.34,4.85,10.21,4.34,3.83,9.95,,,9.44,6.89,27.55,4.08,4.59,6.38,34.44,8.42,6.12,13.858025,8.376543,17.895062,10.287,,13.020833,95.354691
