location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48503,2020-01-01,ChIJ-W9Ho-64U4YRMslWWi7fV58,Q156613,geoId/48503,US,United States of America,TX,Texas,48503,Young County,US,USA,2,,,,,,,17922,8855,9067,2324,2374,1926,2057,2022,2380,2351,1506,982,1827113,33.18,-98.7,2411,75.275,,,,,11.38,23.35,,37.12,,46.7,9.58,8.388889,2.759259,14.265432,0.0,,-1.08642,51.572391
US_TX_48503,2020-01-02,ChIJ-W9Ho-64U4YRMslWWi7fV58,Q156613,geoId/48503,US,United States of America,TX,Texas,48503,Young County,US,USA,2,,,,,,,17922,8855,9067,2324,2374,1926,2057,2022,2380,2351,1506,982,1827113,33.18,-98.7,2411,75.275,,,,11.15,9.48,21.18,,32.89,11.71,41.81,,12.839506,9.740741,17.845679,0.0,,6.62963,66.232541
US_TX_48503,2020-01-03,ChIJ-W9Ho-64U4YRMslWWi7fV58,Q156613,geoId/48503,US,United States of America,TX,Texas,48503,Young County,US,USA,2,,,,,,,17922,8855,9067,2324,2374,1926,2057,2022,2380,2351,1506,982,1827113,33.18,-98.7,2411,75.275,,,,8.3,11.62,24.9,12.18,21.58,,44.27,9.41,10.0,6.117284,15.604938,0.0,,3.339506,63.549564
US_TX_48503,2020-01-04,ChIJ-W9Ho-64U4YRMslWWi7fV58,Q156613,geoId/48503,US,United States of America,TX,Texas,48503,Young County,US,USA,2,,,,,,,17922,8855,9067,2324,2374,1926,2057,2022,2380,2351,1506,982,1827113,33.18,-98.7,2411,75.275,,,,9.88,12.78,24.4,10.46,31.96,,43.0,,7.32716,0.024691,16.580247,0.0,,-1.333333,54.285446
US_TX_48503,2020-01-05,ChIJ-W9Ho-64U4YRMslWWi7fV58,Q156613,geoId/48503,US,United States of America,TX,Texas,48503,Young County,US,USA,2,,,,,,,17922,8855,9067,2324,2374,1926,2057,2022,2380,2351,1506,982,1827113,33.18,-98.7,2411,75.275,,,,8.67,14.44,22.53,,17.33,,41.59,,10.839506,3.432099,18.888889,0.0,,-0.154321,46.811462
US_TX_48503,2020-01-06,ChIJ-W9Ho-64U4YRMslWWi7fV58,Q156613,geoId/48503,US,United States of America,TX,Texas,48503,Young County,US,USA,2,,,,,,,17922,8855,9067,2324,2374,1926,2057,2022,2380,2351,1506,982,1827113,33.18,-98.7,2411,75.275,,,,10.24,16.7,13.47,,29.63,,33.94,,7.91358,-0.135802,17.697531,0.0,,-0.037037,57.486616
US_TX_48503,2020-01-07,ChIJ-W9Ho-64U4YRMslWWi7fV58,Q156613,geoId/48503,US,United States of America,TX,Texas,48503,Young County,US,USA,2,,,,,,,17922,8855,9067,2324,2374,1926,2057,2022,2380,2351,1506,982,1827113,33.18,-98.7,2411,75.275,,,,,14.07,15.94,11.25,32.82,7.5,42.67,,7.716049,-1.783951,18.833333,0.0,,-4.592593,41.610655
US_TX_48503,2020-01-08,ChIJ-W9Ho-64U4YRMslWWi7fV58,Q156613,geoId/48503,US,United States of America,TX,Texas,48503,Young County,US,USA,2,,,,,,,17922,8855,9067,2324,2374,1926,2057,2022,2380,2351,1506,982,1827113,33.18,-98.7,2411,75.275,,,,11.01,16.28,22.02,9.57,37.34,8.62,35.42,11.97,9.407407,0.17284,18.734568,0.0,,-4.425926,37.641567
US_TX_48503,2020-01-09,ChIJ-W9Ho-64U4YRMslWWi7fV58,Q156613,geoId/48503,US,United States of America,TX,Texas,48503,Young County,US,USA,2,,,,,,,17922,8855,9067,2324,2374,1926,2057,2022,2380,2351,1506,982,1827113,33.18,-98.7,2411,75.275,,,,8.55,17.59,19.96,,30.89,8.08,46.58,16.16,16.611111,13.240741,23.024691,0.0,,9.962963,64.895885
US_TX_48503,2020-01-10,ChIJ-W9Ho-64U4YRMslWWi7fV58,Q156613,geoId/48503,US,United States of America,TX,Texas,48503,Young County,US,USA,2,,,,,,,17922,8855,9067,2324,2374,1926,2057,2022,2380,2351,1506,982,1827113,33.18,-98.7,2411,75.275,,,,,11.38,18.21,9.56,32.32,9.56,30.5,8.65,18.240741,14.358025,22.679012,0.0,,14.728395,80.132196
