location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MS_28029,2020-01-12,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,9.28,7.51,,10.16,,16.35,,26.95,7.51,9.314815,5.925926,15.975309,23.142222,,6.512346,82.902101
US_MS_28029,2020-01-13,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,9.73,8.34,,8.69,9.39,17.38,,33.03,,12.67284,9.061728,16.469136,0.931333,,11.395062,92.019374
US_MS_28029,2020-01-14,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,5.37,,,6.71,,24.84,6.71,34.92,,19.215278,16.590278,21.888889,14.393333,,18.340278,94.727298
US_MS_28029,2020-01-15,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,,5.86,6.2,6.55,8.62,23.44,,23.78,5.86,20.277778,18.148148,24.407407,58.528857,,18.308642,88.57918
US_MS_28029,2020-01-16,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,8.47,,8.13,7.11,6.77,18.29,,27.43,,17.432099,13.950617,22.074074,0.362857,,16.080247,91.980765
US_MS_28029,2020-01-17,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,5.96,5.96,5.61,7.72,6.67,15.79,,25.27,,13.216049,10.37037,17.530864,5.362222,,5.851852,61.202469
US_MS_28029,2020-01-18,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,8.59,8.16,,7.3,,27.91,11.16,29.63,8.59,17.580247,14.364198,21.641975,0.762,,14.987654,84.888892
US_MS_28029,2020-01-19,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,,7.67,,8.52,,17.89,,33.23,,9.790123,3.691358,19.160494,9.779,,0.209877,51.407067
US_MS_28029,2020-01-20,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,8.29,7.46,,9.54,13.27,25.3,8.71,30.28,,3.592593,-0.055556,8.506173,0.0,,-4.833333,54.300174
US_MS_28029,2020-01-21,ChIJ48uaw29nKIYRPyvCb5XqzUo,Q485420,geoId/28029,US,United States of America,MS,Mississippi,28029,Copiah County,US,USA,2,,,,,,,28528,13719,14809,3591,4091,3667,3336,3122,3920,3593,2061,1147,1833620,31.86,-90.44,2019,74.0,,,,10.89,8.71,,13.43,7.62,19.61,8.71,36.31,,1.240741,-2.728395,6.697531,0.0,,-4.746914,64.608726
