location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TX_48321,2020-01-01,ChIJ0V1_xx_FQYYRxIETqQAVJ_Q,Q485910,geoId/48321,US,United States of America,TX,Texas,48321,Matagorda County,US,USA,2,,,,,,,36805,18511,18294,5367,4995,4663,4406,3851,5000,4505,2570,1448,1837779,28.78,-96.0,4174,76.36,,,,,,4.65,6.1,6.97,10.46,6.1,6.97,7.55,4.36,20.63,12.78,6.68,9.59,4.94,7.84,4.07,,6.39,7.55,9.01,20.92,7.84,7.26,,,,40.68,5.52,11.04,6.97,4.36,,14.427778,12.444444,17.788889,0.2286,6.746032,60.085783
US_TX_48321,2020-01-02,ChIJ0V1_xx_FQYYRxIETqQAVJ_Q,Q485910,geoId/48321,US,United States of America,TX,Texas,48321,Matagorda County,US,USA,2,,,,,,,36805,18511,18294,5367,4995,4663,4406,3851,5000,4505,2570,1448,1837779,28.78,-96.0,4174,76.36,,,,,,4.51,12.47,,8.22,7.69,8.22,6.9,7.69,18.84,10.08,,7.16,3.98,5.84,,3.71,4.25,6.1,8.22,22.55,5.57,10.88,5.84,5.57,5.84,44.57,5.31,7.69,4.25,,,16.711111,14.988889,18.822222,2.413,15.785714,92.682717
US_TX_48321,2020-01-03,ChIJ0V1_xx_FQYYRxIETqQAVJ_Q,Q485910,geoId/48321,US,United States of America,TX,Texas,48321,Matagorda County,US,USA,2,,,,,,,36805,18511,18294,5367,4995,4663,4406,3851,5000,4505,2570,1448,1837779,28.78,-96.0,4174,76.36,,,,,,6.58,9.6,4.66,12.06,7.95,5.21,5.76,5.48,15.35,12.61,,10.14,,8.77,4.11,6.85,,6.85,9.87,26.05,9.05,6.03,,4.93,5.21,40.03,5.48,4.93,4.66,6.58,6.58,16.35,13.094444,20.788889,0.8128,12.404762,77.08527
US_TX_48321,2020-01-04,ChIJ0V1_xx_FQYYRxIETqQAVJ_Q,Q485910,geoId/48321,US,United States of America,TX,Texas,48321,Matagorda County,US,USA,2,,,,,,,36805,18511,18294,5367,4995,4663,4406,3851,5000,4505,2570,1448,1837779,28.78,-96.0,4174,76.36,,,,,,,11.98,4.67,11.1,5.84,7.3,5.55,,17.24,13.15,,5.26,,5.55,,4.38,4.38,,6.72,30.38,8.18,6.72,,4.09,,40.9,6.43,,6.43,,,13.044444,6.244444,20.105556,0.0254,4.388889,55.513786
US_TX_48321,2020-01-05,ChIJ0V1_xx_FQYYRxIETqQAVJ_Q,Q485910,geoId/48321,US,United States of America,TX,Texas,48321,Matagorda County,US,USA,2,,,,,,,36805,18511,18294,5367,4995,4663,4406,3851,5000,4505,2570,1448,1837779,28.78,-96.0,4174,76.36,,,,,,6.86,13.71,7.43,12.0,5.43,4.86,6.86,4.86,16.85,12.57,5.71,9.14,,4.57,4.86,,4.0,9.71,8.0,33.13,4.57,8.86,,,5.43,42.56,,4.57,8.0,,,14.377778,7.544444,21.711111,0.0,7.690476,65.326924
US_TX_48321,2020-01-06,ChIJ0V1_xx_FQYYRxIETqQAVJ_Q,Q485910,geoId/48321,US,United States of America,TX,Texas,48321,Matagorda County,US,USA,2,,,,,,,36805,18511,18294,5367,4995,4663,4406,3851,5000,4505,2570,1448,1837779,28.78,-96.0,4174,76.36,,,,,,7.39,8.92,,14.78,6.62,3.57,5.86,6.37,19.62,9.94,,11.72,6.88,4.33,3.82,5.61,6.37,,11.97,25.22,6.11,7.64,3.82,3.82,5.61,42.29,,7.13,7.64,8.15,5.61,16.388889,11.366667,22.738889,0.0,11.68254,74.902505
US_TX_48321,2020-01-07,ChIJ0V1_xx_FQYYRxIETqQAVJ_Q,Q485910,geoId/48321,US,United States of America,TX,Texas,48321,Matagorda County,US,USA,2,,,,,,,36805,18511,18294,5367,4995,4663,4406,3851,5000,4505,2570,1448,1837779,28.78,-96.0,4174,76.36,,,,,,4.08,10.55,5.75,11.03,6.95,5.75,5.75,,14.87,8.63,4.56,9.83,8.63,6.24,6.24,3.36,4.08,3.6,6.0,30.21,7.43,7.67,,4.08,5.04,43.88,4.08,9.83,6.47,4.32,4.8,15.216667,9.461111,20.316667,0.0,5.404762,52.146646
US_TX_48321,2020-01-08,ChIJ0V1_xx_FQYYRxIETqQAVJ_Q,Q485910,geoId/48321,US,United States of America,TX,Texas,48321,Matagorda County,US,USA,2,,,,,,,36805,18511,18294,5367,4995,4663,4406,3851,5000,4505,2570,1448,1837779,28.78,-96.0,4174,76.36,,,,,,5.94,6.17,,13.02,4.11,4.34,6.62,5.02,13.7,8.22,4.8,8.68,5.48,4.34,5.02,,3.2,6.85,9.36,34.94,6.62,6.17,3.65,7.76,8.68,40.42,,16.67,8.45,,4.11,12.661111,5.994444,20.977778,0.0,5.309524,65.088043
US_TX_48321,2020-01-09,ChIJ0V1_xx_FQYYRxIETqQAVJ_Q,Q485910,geoId/48321,US,United States of America,TX,Texas,48321,Matagorda County,US,USA,2,,,,,,,36805,18511,18294,5367,4995,4663,4406,3851,5000,4505,2570,1448,1837779,28.78,-96.0,4174,76.36,,,,,,4.94,10.33,4.94,12.13,6.74,5.17,8.09,,13.7,7.86,3.59,9.66,7.19,6.06,4.27,5.62,3.37,4.94,9.21,31.44,6.51,7.86,4.04,4.04,4.49,33.69,5.84,14.82,6.06,5.39,5.39,20.127778,17.127778,23.538889,0.0508,16.706349,78.744842
US_TX_48321,2020-01-10,ChIJ0V1_xx_FQYYRxIETqQAVJ_Q,Q485910,geoId/48321,US,United States of America,TX,Texas,48321,Matagorda County,US,USA,2,,,,,,,36805,18511,18294,5367,4995,4663,4406,3851,5000,4505,2570,1448,1837779,28.78,-96.0,4174,76.36,,,,,,4.85,8.32,3.24,9.71,6.47,3.93,4.62,5.78,7.4,9.01,,10.63,,,,7.4,3.47,3.24,9.48,29.12,3.93,5.08,,4.62,5.32,28.43,3.7,9.48,5.32,6.47,4.62,21.666667,20.3,23.205556,0.0254,20.031746,87.387175
