location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48171,2020-01-11,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,5.8,11.24,23.57,,7.25,7.98,14.5,10.51,,7.61,,,6.89,,8.34,21.75,,11.6,5.8,8.7,33.36,,7.61,7.98,,11.216667,4.672222,20.244444,8.9154,,3.12963,57.699344
US_TX_48171,2020-01-12,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,5.86,9.88,19.77,12.08,6.96,7.69,17.57,6.59,,,6.22,,5.13,5.49,8.79,26.73,6.22,10.25,,5.49,39.91,,,9.52,,7.277778,1.244444,17.283333,0.0254,,1.925926,68.833213
US_TX_48171,2020-01-13,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,5.36,9.14,21.12,9.46,7.88,6.94,14.82,10.4,,13.87,5.99,5.99,8.83,5.36,7.25,26.17,7.57,7.57,6.3,4.41,45.4,,7.57,6.62,6.3,12.622222,6.227778,18.333333,0.0,,9.524691,81.641335
US_TX_48171,2020-01-14,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,5.63,11.89,19.41,10.96,8.14,5.63,11.58,6.26,,10.96,,4.38,6.89,5.63,11.27,23.79,6.57,11.27,,8.76,41.94,,7.51,6.26,,16.927778,12.294444,25.727778,0.2794,,14.179012,84.00536
US_TX_48171,2020-01-15,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,,8.44,21.56,6.56,5.31,7.5,13.43,7.81,,10.31,,,5.94,,8.75,20.31,6.87,6.87,,6.87,38.43,,8.12,7.18,,20.238889,15.755556,25.544444,0.0508,,17.222222,83.107863
US_TX_48171,2020-01-16,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,5.25,11.42,15.74,,8.03,8.95,12.97,7.72,4.32,12.35,,,6.48,,9.57,24.7,,6.79,4.32,7.1,46.92,4.94,8.03,6.48,,16.0,10.483333,22.761111,0.112889,,13.771605,86.643324
US_TX_48171,2020-01-17,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,7.27,6.06,15.46,5.76,6.97,,11.21,10.31,,14.55,5.46,,10.31,6.37,4.85,21.22,7.58,4.55,5.46,5.46,35.46,,10.0,,4.55,8.827778,6.333333,13.183333,7.337778,,8.018519,95.183952
US_TX_48171,2020-01-18,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,,6.19,12.73,,,6.19,12.04,6.19,,9.63,,,7.22,,8.26,23.05,6.19,,4.82,,39.55,,5.16,6.88,5.85,15.011111,9.944444,18.244444,3.8608,,11.302469,78.65289
US_TX_48171,2020-01-19,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,5.67,11.0,20.67,6.33,5.67,,19.0,9.34,5.67,8.0,6.67,,7.0,,6.33,21.34,,5.33,,4.67,41.34,,7.67,,7.67,7.605556,1.366667,14.638889,0.0,,-4.08642,43.423176
US_TX_48171,2020-01-20,ChIJyRJESRDpW4YR5s7Z0RlB6DQ,Q27024,geoId/48171,US,United States of America,TX,Texas,48171,Gillespie County,US,USA,2,,,,,,,26483,12838,13645,2815,2995,2353,2461,2525,3435,4296,3414,2189,1827125,30.31,-98.95,2749,80.46,,,,,,4.69,11.06,12.4,8.72,7.71,7.38,13.74,7.71,,12.07,8.38,5.7,7.04,,10.39,25.14,5.03,5.7,4.69,,50.62,4.69,9.05,5.36,,7.077778,0.716667,15.394444,0.0,,-4.209877,45.020665
