location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_FL_12093,2020-01-01,ChIJTwto7i8h3IgRwUNzWnROsEU,Q501123,geoId/12093,US,United States of America,FL,Florida,12093,Okeechobee County,US,USA,2,,,,,,,41275,22148,19127,4885,4908,5198,5056,5226,5384,4846,3721,2051,1210747,27.39,-80.89,2309,77.055556,,,,,,,,10.93,,7.68,8.56,5.91,5.02,4.43,13.29,,10.04,5.02,7.68,,4.72,,4.43,,7.09,5.61,21.86,4.13,9.75,,,5.91,30.71,5.32,,5.02,,4.43,15.617284,10.759259,22.018519,0.0,8.301587,61.541765
US_FL_12093,2020-01-02,ChIJTwto7i8h3IgRwUNzWnROsEU,Q501123,geoId/12093,US,United States of America,FL,Florida,12093,Okeechobee County,US,USA,2,,,,,,,41275,22148,19127,4885,4908,5198,5056,5226,5384,4846,3721,2051,1210747,27.39,-80.89,2309,77.055556,,,,,,,4.18,8.37,4.74,13.95,7.25,5.02,8.09,,9.76,,9.76,4.18,11.44,6.42,6.97,,5.3,4.74,5.3,7.53,29.57,6.42,11.44,4.74,4.18,4.46,44.63,,9.76,5.86,5.58,5.3,18.716049,12.302469,26.679012,0.056444,13.825397,74.428431
US_FL_12093,2020-01-03,ChIJTwto7i8h3IgRwUNzWnROsEU,Q501123,geoId/12093,US,United States of America,FL,Florida,12093,Okeechobee County,US,USA,2,,,,,,,41275,22148,19127,4885,4908,5198,5056,5226,5384,4846,3721,2051,1210747,27.39,-80.89,2309,77.055556,,,,,,,4.71,10.8,4.16,9.42,5.54,4.16,8.31,,11.63,4.16,5.54,5.26,8.59,8.31,7.76,4.16,6.37,5.54,4.16,9.97,24.38,8.59,9.42,,4.43,5.82,43.77,,6.92,6.92,,5.82,23.469136,18.098765,29.444444,0.0,19.984127,80.397414
US_FL_12093,2020-01-04,ChIJTwto7i8h3IgRwUNzWnROsEU,Q501123,geoId/12093,US,United States of America,FL,Florida,12093,Okeechobee County,US,USA,2,,,,,,,41275,22148,19127,4885,4908,5198,5056,5226,5384,4846,3721,2051,1210747,27.39,-80.89,2309,77.055556,,,,,,,4.69,10.75,,8.0,7.45,4.14,4.41,4.14,11.03,4.41,6.62,,5.51,3.86,5.79,,,7.72,,6.89,19.3,6.62,7.17,,5.51,5.51,37.22,7.17,4.96,8.82,3.86,6.89,23.611111,19.339506,29.858025,1.669143,20.825397,83.981618
US_FL_12093,2020-01-05,ChIJTwto7i8h3IgRwUNzWnROsEU,Q501123,geoId/12093,US,United States of America,FL,Florida,12093,Okeechobee County,US,USA,2,,,,,,,41275,22148,19127,4885,4908,5198,5056,5226,5384,4846,3721,2051,1210747,27.39,-80.89,2309,77.055556,,,,,,,4.86,12.28,,9.42,5.43,,4.57,5.43,12.56,,10.28,,5.14,4.57,,,4.0,6.28,4.0,8.0,20.56,4.0,9.71,,4.86,4.0,36.84,5.43,9.14,4.0,6.57,6.28,14.530864,9.160494,19.024691,1.27,7.119048,60.783881
US_FL_12093,2020-01-06,ChIJTwto7i8h3IgRwUNzWnROsEU,Q501123,geoId/12093,US,United States of America,FL,Florida,12093,Okeechobee County,US,USA,2,,,,,,,41275,22148,19127,4885,4908,5198,5056,5226,5384,4846,3721,2051,1210747,27.39,-80.89,2309,77.055556,,,,,,,4.92,9.84,4.64,10.11,9.29,9.02,6.83,,18.3,5.19,12.02,3.83,13.39,,3.83,,6.83,,4.37,5.46,21.58,4.92,8.74,7.65,4.92,7.1,44.8,5.19,7.1,4.1,5.46,6.83,12.166667,6.265432,19.932099,0.028222,5.047619,61.448782
US_FL_12093,2020-01-07,ChIJTwto7i8h3IgRwUNzWnROsEU,Q501123,geoId/12093,US,United States of America,FL,Florida,12093,Okeechobee County,US,USA,2,,,,,,,41275,22148,19127,4885,4908,5198,5056,5226,5384,4846,3721,2051,1210747,27.39,-80.89,2309,77.055556,,,,,,,3.87,6.97,7.49,10.59,8.52,3.87,7.75,,16.78,,9.81,8.52,9.81,,3.61,3.87,3.87,3.61,4.39,9.04,27.11,,8.78,4.13,4.65,,39.76,3.87,7.23,5.42,3.87,5.94,14.790123,8.333333,22.679012,0.028222,7.595238,62.612374
US_FL_12093,2020-01-08,ChIJTwto7i8h3IgRwUNzWnROsEU,Q501123,geoId/12093,US,United States of America,FL,Florida,12093,Okeechobee County,US,USA,2,,,,,,,41275,22148,19127,4885,4908,5198,5056,5226,5384,4846,3721,2051,1210747,27.39,-80.89,2309,77.055556,,,,,,,4.13,7.28,3.64,12.14,11.41,6.8,5.83,5.1,11.41,,5.58,6.55,9.22,3.4,5.34,4.86,4.13,,,8.74,32.77,8.74,5.34,5.83,4.13,4.37,34.47,3.64,16.51,5.58,4.86,6.31,15.598765,9.981481,22.253086,0.028222,9.865079,68.798672
US_FL_12093,2020-01-09,ChIJTwto7i8h3IgRwUNzWnROsEU,Q501123,geoId/12093,US,United States of America,FL,Florida,12093,Okeechobee County,US,USA,2,,,,,,,41275,22148,19127,4885,4908,5198,5056,5226,5384,4846,3721,2051,1210747,27.39,-80.89,2309,77.055556,,,,,,,,3.98,,12.45,5.73,6.22,4.73,3.73,17.93,4.48,5.73,4.73,8.96,,5.48,,4.23,5.73,6.22,8.96,33.62,4.23,8.22,4.48,,17.68,41.09,3.98,14.44,6.72,3.98,4.98,19.888889,13.598765,24.907407,0.0,12.214286,60.88011
US_FL_12093,2020-01-10,ChIJTwto7i8h3IgRwUNzWnROsEU,Q501123,geoId/12093,US,United States of America,FL,Florida,12093,Okeechobee County,US,USA,2,,,,,,,41275,22148,19127,4885,4908,5198,5056,5226,5384,4846,3721,2051,1210747,27.39,-80.89,2309,77.055556,,,,,,,,6.0,4.25,9.74,8.24,7.0,4.75,,12.74,,6.5,,9.49,5.25,4.5,,,3.5,5.0,7.5,26.98,9.24,11.99,5.25,,7.5,38.98,6.75,9.49,6.0,5.75,,22.154321,19.111111,25.728395,0.0,16.333333,68.665289
