location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_dizziness,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_hypothyroidism,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_paresthesia,search_trends_perspiration,search_trends_scar,search_trends_sinusitis,search_trends_skin_condition,search_trends_skin_rash,search_trends_skin_ulcer,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_NC_37141,2020-01-01,ChIJeYHpTuZiqYkR9N2LDwDefB0,Q507826,geoId/37141,US,United States of America,NC,North Carolina,37141,Pender County,US,USA,2,,,,,,,60719,30216,30503,7239,7609,6212,7317,8182,8973,8205,4812,2170,2528732,34.51,-77.89,2416,77.238462,,,,,,4.06,6.91,10.06,6.76,12.02,3.0,8.26,6.61,3.0,3.91,7.96,4.96,,,,,21.18,5.11,9.76,2.7,2.4,4.36,2.1,7.66,5.86,,,2.85,3.6,,3.76,7.06,5.56,,4.96,,4.51,10.37,,27.04,8.11,,7.96,4.06,3.6,4.51,2.55,3.0,7.06,46.27,,2.1,3.76,4.81,3.76,6.46,3.15,2.55,,3.46,6.76,4.66,5.26,2.25,3.91,3.6,2.7,8.715278,3.201389,14.555556,0.0,1.047619,59.745154
US_NC_37141,2020-01-02,ChIJeYHpTuZiqYkR9N2LDwDefB0,Q507826,geoId/37141,US,United States of America,NC,North Carolina,37141,Pender County,US,USA,2,,,,,,,60719,30216,30503,7239,7609,6212,7317,8182,8973,8205,4812,2170,2528732,34.51,-77.89,2416,77.238462,,,,,,3.1,5.01,9.73,7.82,11.21,2.8,6.34,7.82,3.1,2.95,8.4,3.39,,3.39,,2.65,18.58,3.24,12.09,3.98,2.21,2.95,,8.26,3.98,2.21,2.65,3.39,7.22,4.87,3.24,4.87,4.13,2.95,4.87,3.39,2.95,9.29,2.65,28.75,6.63,2.8,4.28,4.87,3.83,5.16,,4.42,5.75,43.79,2.36,,2.95,4.72,5.01,7.82,2.36,2.65,2.06,2.21,4.28,4.57,4.28,2.65,5.46,4.72,,8.090278,3.444444,14.409722,0.0,2.65873,70.240158
US_NC_37141,2020-01-03,ChIJeYHpTuZiqYkR9N2LDwDefB0,Q507826,geoId/37141,US,United States of America,NC,North Carolina,37141,Pender County,US,USA,2,,,,,,,60719,30216,30503,7239,7609,6212,7317,8182,8973,8205,4812,2170,2528732,34.51,-77.89,2416,77.238462,,,,,,3.91,5.56,8.57,5.86,12.78,,12.78,5.41,,2.1,6.46,3.61,,3.16,,3.76,16.38,3.46,7.82,3.01,2.4,3.46,2.71,9.32,4.51,2.56,,2.71,5.56,4.81,,4.06,5.11,,6.46,2.25,2.71,9.32,3.31,27.35,5.26,,8.42,3.46,4.06,5.11,2.25,2.56,4.51,41.33,2.25,,3.91,2.71,5.56,7.82,,3.16,2.71,2.86,8.12,4.51,4.66,,3.31,5.41,2.25,17.728395,8.080247,25.567901,0.0,13.506944,76.510929
US_NC_37141,2020-01-04,ChIJeYHpTuZiqYkR9N2LDwDefB0,Q507826,geoId/37141,US,United States of America,NC,North Carolina,37141,Pender County,US,USA,2,,,,,,,60719,30216,30503,7239,7609,6212,7317,8182,8973,8205,4812,2170,2528732,34.51,-77.89,2416,77.238462,,,,,,3.41,6.08,11.42,5.19,10.83,,6.08,5.49,,4.89,6.67,4.6,,4.0,2.52,2.82,15.87,4.15,10.68,4.0,,6.23,,9.64,3.86,2.08,,4.15,5.64,5.64,2.82,5.93,8.46,,5.93,2.37,3.56,8.31,,22.4,6.82,3.41,8.16,4.3,4.0,6.23,,,5.93,42.57,2.97,2.23,3.86,2.97,4.15,6.53,2.23,2.37,2.23,2.08,5.79,3.56,5.19,,4.45,4.15,,19.191358,14.32716,22.95679,2.8575,17.1875,88.251857
US_NC_37141,2020-01-05,ChIJeYHpTuZiqYkR9N2LDwDefB0,Q507826,geoId/37141,US,United States of America,NC,North Carolina,37141,Pender County,US,USA,2,,,,,,,60719,30216,30503,7239,7609,6212,7317,8182,8973,8205,4812,2170,2528732,34.51,-77.89,2416,77.238462,,,,,,3.19,4.71,9.87,6.07,11.84,,6.83,7.89,,,8.2,5.46,2.58,3.79,,3.04,17.61,3.49,10.63,3.49,3.34,4.71,2.73,6.98,3.95,,2.58,4.55,4.86,3.95,2.88,6.22,4.1,,6.68,,3.34,6.68,,20.65,6.98,3.34,8.05,4.55,4.1,3.19,,,5.77,41.45,3.04,,2.88,3.19,5.31,6.38,2.28,2.12,5.31,3.04,6.07,3.79,2.28,3.64,2.88,4.86,2.28,9.518519,3.91358,19.030864,3.81,-0.527778,49.822406
US_NC_37141,2020-01-06,ChIJeYHpTuZiqYkR9N2LDwDefB0,Q507826,geoId/37141,US,United States of America,NC,North Carolina,37141,Pender County,US,USA,2,,,,,,,60719,30216,30503,7239,7609,6212,7317,8182,8973,8205,4812,2170,2528732,34.51,-77.89,2416,77.238462,,,,,,2.48,5.74,8.21,5.48,13.43,3.13,9.91,5.61,3.39,4.96,6.13,3.78,,7.96,,,14.61,3.78,9.91,3.13,3.26,4.56,,10.82,3.26,,3.0,2.61,5.87,4.3,3.0,1.96,4.3,1.83,5.74,1.96,3.13,10.17,1.83,35.6,8.74,4.43,6.52,4.04,5.87,5.48,3.39,2.74,8.21,44.73,2.74,,2.74,,5.61,6.52,,2.35,2.22,3.26,5.35,5.61,5.61,2.22,3.26,5.87,2.61,7.308642,1.981481,15.993827,0.0,0.604167,64.017277
US_NC_37141,2020-01-07,ChIJeYHpTuZiqYkR9N2LDwDefB0,Q507826,geoId/37141,US,United States of America,NC,North Carolina,37141,Pender County,US,USA,2,,,,,,,60719,30216,30503,7239,7609,6212,7317,8182,8973,8205,4812,2170,2528732,34.51,-77.89,2416,77.238462,,,,,,2.06,3.98,7.32,4.11,11.3,3.34,8.48,4.62,3.72,5.78,5.52,4.37,,1.8,,2.83,14.64,3.08,9.38,3.85,3.98,5.39,1.8,8.09,3.34,2.83,2.31,1.8,2.7,5.14,,5.91,4.24,,5.91,3.85,,9.89,2.18,30.31,6.04,3.21,6.42,2.18,3.98,4.88,2.44,2.57,5.91,39.81,2.06,2.06,2.95,1.93,4.75,8.99,1.8,2.83,4.75,3.6,3.98,4.5,2.44,2.44,3.34,3.72,,8.537037,1.851852,18.475309,0.290286,3.770833,74.57745
US_NC_37141,2020-01-08,ChIJeYHpTuZiqYkR9N2LDwDefB0,Q507826,geoId/37141,US,United States of America,NC,North Carolina,37141,Pender County,US,USA,2,,,,,,,60719,30216,30503,7239,7609,6212,7317,8182,8973,8205,4812,2170,2528732,34.51,-77.89,2416,77.238462,,,,,,2.69,5.0,8.08,3.85,11.8,2.82,8.98,4.88,2.69,6.42,5.77,6.42,2.57,4.75,,3.46,16.42,2.69,9.37,3.46,4.49,4.23,,8.98,5.26,1.93,2.44,2.69,5.13,4.11,2.69,4.23,3.85,,5.52,,2.95,8.6,,33.87,7.44,2.95,7.57,2.05,5.52,4.75,2.05,2.69,5.9,41.83,,,2.57,2.57,4.62,11.04,2.18,4.75,,2.95,5.65,4.36,6.54,2.95,3.21,3.59,5.0,7.530864,-0.179012,16.938272,0.028222,-0.451389,58.603578
US_NC_37141,2020-01-09,ChIJeYHpTuZiqYkR9N2LDwDefB0,Q507826,geoId/37141,US,United States of America,NC,North Carolina,37141,Pender County,US,USA,2,,,,,,,60719,30216,30503,7239,7609,6212,7317,8182,8973,8205,4812,2170,2528732,34.51,-77.89,2416,77.238462,,,,,,,4.1,9.22,5.0,11.53,2.56,8.07,5.51,2.18,4.87,4.1,4.61,2.56,3.59,2.69,,13.32,2.95,9.73,2.43,3.07,3.59,1.92,11.53,4.1,,2.05,2.69,4.36,5.51,2.56,3.71,5.76,,5.38,2.05,2.69,8.32,2.56,32.15,6.4,3.07,6.53,3.2,4.1,4.48,,2.56,4.48,37.27,2.95,2.05,2.56,3.33,5.51,10.38,,3.33,2.95,3.07,5.64,4.87,3.46,3.2,2.56,4.36,2.05,7.166667,0.888889,14.765432,0.0,-0.173611,61.426221
US_NC_37141,2020-01-10,ChIJeYHpTuZiqYkR9N2LDwDefB0,Q507826,geoId/37141,US,United States of America,NC,North Carolina,37141,Pender County,US,USA,2,,,,,,,60719,30216,30503,7239,7609,6212,7317,8182,8973,8205,4812,2170,2528732,34.51,-77.89,2416,77.238462,,,,,,1.92,3.83,8.3,4.98,8.18,2.94,6.39,6.64,1.79,3.19,5.88,2.68,2.68,,,2.43,13.16,3.58,7.41,4.09,2.17,3.45,2.43,7.92,4.34,2.68,3.19,3.32,5.62,3.58,3.45,4.22,3.07,,5.62,2.94,2.81,6.39,2.43,23.77,8.56,2.04,7.54,4.98,3.71,7.79,2.17,1.79,5.24,37.95,,3.07,2.17,3.45,5.37,8.3,,2.3,,2.68,6.9,3.71,4.47,2.17,3.83,2.3,1.79,11.901235,4.018519,20.759259,0.0,7.180556,73.374785
