location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MS_28057,2020-01-01,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,,17.85,8.93,26.78,,53.55,13.39,5.288889,-0.7,12.611111,0.0,,-2.174603,57.613491
US_MS_28057,2020-01-02,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,17.55,17.0,,33.45,,46.61,10.42,10.1,6.077778,14.172222,1.27,,5.634921,73.2895
US_MS_28057,2020-01-03,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,10.39,14.03,10.39,24.42,,41.57,,14.072222,11.561111,16.233333,46.863,,12.555556,89.762754
US_MS_28057,2020-01-04,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,14.5,14.5,,20.95,,47.27,,10.022222,4.277778,14.922222,5.81025,,5.293651,71.78892
US_MS_28057,2020-01-05,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,14.7,15.26,,26.57,,41.83,10.18,4.1,-2.161111,14.338889,1.5748,,-1.246032,66.813732
US_MS_28057,2020-01-06,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,10.49,14.68,14.68,24.65,11.54,44.57,,8.122222,0.344444,17.105556,0.0,,3.579365,71.390736
US_MS_28057,2020-01-07,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,11.22,13.36,11.22,25.64,,52.35,,10.383333,3.7,14.761111,0.310444,,2.531746,57.42494
US_MS_28057,2020-01-08,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,9.92,16.37,10.42,34.73,,35.72,12.4,5.716667,-2.266667,16.588889,0.0,,-1.880952,57.140785
US_MS_28057,2020-01-09,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,10.9,11.94,9.86,29.59,7.79,43.6,10.38,8.411111,1.7,16.738889,0.0,,-0.111111,53.243874
US_MS_28057,2020-01-10,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,8.74,16.96,11.31,34.44,,35.98,7.71,16.277778,13.188889,19.505556,1.74625,,10.277778,67.009809
US_MS_28057,2020-01-11,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,9.0,,,20.01,,38.01,8.0,18.116667,13.894444,21.411111,13.335,,15.468254,84.575935
US_MS_28057,2020-01-12,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,11.67,16.44,14.85,18.03,10.61,40.84,,9.006173,5.04321,14.487654,51.670857,,4.962963,76.924892
US_MS_28057,2020-01-13,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,9.12,13.44,9.6,28.33,,48.97,,8.339506,4.314815,15.117284,0.036286,,5.787037,83.546218
US_MS_28057,2020-01-14,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,6.3,18.05,13.86,32.33,,30.23,7.14,16.12963,13.160494,17.67284,9.144,,13.777778,87.185529
US_MS_28057,2020-01-15,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,9.02,13.03,16.03,31.56,,28.55,8.52,17.716049,15.524691,20.944444,17.55775,,15.268519,85.478028
US_MS_28057,2020-01-16,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,10.67,16.77,11.18,29.97,,44.2,8.13,14.861111,10.227778,19.733333,14.38275,,10.190476,72.448682
US_MS_28057,2020-01-17,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,,12.63,,22.34,,38.85,,9.3,5.522222,15.788889,0.0,,-0.539683,48.014778
US_MS_28057,2020-01-18,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,,11.44,14.55,19.23,,38.99,7.8,13.238889,9.177778,15.772222,1.124857,,6.126984,60.446068
US_MS_28057,2020-01-19,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,,13.14,10.52,22.08,,44.17,,6.288889,0.233333,14.644444,3.725333,,-3.277778,49.478715
US_MS_28057,2020-01-20,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,11.75,11.75,15.84,18.91,,43.44,,-1.905556,-5.166667,4.016667,0.0,,-8.587302,58.383914
US_MS_28057,2020-01-21,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,12.25,20.73,10.36,41.93,9.42,29.21,10.84,-1.977778,-4.588889,3.722222,0.056444,,-8.785714,58.008838
US_MS_28057,2020-01-22,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,11.79,25.46,11.32,36.78,9.43,39.61,9.43,-0.211111,-5.527778,7.594444,0.0,,-7.412698,57.483229
US_MS_28057,2020-01-23,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,8.92,19.62,17.84,28.54,6.69,35.23,10.7,5.0,2.138889,7.2,1.87325,,-1.380952,62.9749
US_MS_28057,2020-01-24,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,6.82,20.01,16.38,26.84,,34.12,7.28,7.183333,4.666667,9.288889,18.034,,4.15873,81.794785
US_MS_28057,2020-01-25,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,11.18,25.01,,32.99,,43.1,10.11,4.788889,2.472222,8.361111,0.34925,,0.31746,71.159415
US_MS_28057,2020-01-26,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,8.18,21.16,9.62,27.89,7.21,45.69,,4.838889,0.005556,11.977778,0.028222,,1.912698,77.958577
US_MS_28057,2020-01-27,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,10.82,20.81,12.07,32.05,,34.96,7.49,10.072222,7.2,15.183333,0.9525,,6.111111,75.074952
US_MS_28057,2020-01-28,ChIJmZEjB25lh4gRuPuzOmATQQM,Q490852,geoId/28057,US,United States of America,MS,Mississippi,28057,Itawamba County,US,USA,2,,,,,,,23499,11589,11910,2735,3364,3242,2596,3012,3063,2637,1908,942,1833627,34.28,-88.36,1400,74.96,,,,9.53,20.0,9.05,38.58,12.86,39.53,9.05,6.772222,-0.772222,16.272222,0.112889,,2.063492,69.829223
