location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51173,2020-01-11,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,4.89,7.68,8.73,6.29,5.59,,15.72,11.53,6.64,,7.68,8.03,25.15,7.33,6.64,5.24,38.42,,,14.261111,7.838889,19.316667,4.275667,,11.061111,82.689712
US_VA_51173,2020-01-12,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,6.99,11.18,9.43,14.32,,8.38,14.32,7.69,7.34,,4.89,,21.66,9.43,,5.59,39.48,5.59,7.69,13.333333,7.683333,18.572222,36.83,,8.5,72.581256
US_VA_51173,2020-01-13,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,6.59,,9.42,7.85,6.59,5.34,27.62,10.67,16.01,8.16,5.65,7.53,25.74,9.73,7.85,6.59,41.75,6.28,9.1,9.033333,5.0,15.238889,0.225778,,4.95,76.407336
US_VA_51173,2020-01-14,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,10.0,5.15,10.91,6.97,7.88,5.76,13.94,10.61,13.94,,5.76,5.15,32.44,7.88,8.49,5.76,43.04,7.88,4.85,11.177778,6.944444,15.322222,0.635,,9.722222,90.848419
US_VA_51173,2020-01-15,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,7.37,8.9,11.36,10.13,7.37,7.98,22.11,10.75,12.59,10.13,,7.68,25.18,6.76,7.37,,46.37,7.37,5.22,11.166667,7.933333,15.466667,2.286,,10.177778,93.720013
US_VA_51173,2020-01-16,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,4.3,7.68,10.45,7.68,,7.07,15.98,5.53,7.99,5.84,,11.37,33.49,8.3,6.14,,39.64,9.53,6.14,10.388889,4.85,14.994444,0.874889,,3.744444,63.575711
US_VA_51173,2020-01-17,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,5.59,4.66,10.24,,5.28,5.9,17.07,9.93,9.0,4.66,,13.03,25.14,4.66,5.59,5.9,45.0,5.59,7.14,0.244444,-3.972222,4.772222,0.0,,-11.138889,42.932303
US_VA_51173,2020-01-18,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,6.44,6.12,5.15,11.92,4.83,6.44,11.6,6.12,11.6,6.76,9.02,5.15,29.96,7.41,7.73,,43.49,9.34,,2.95,-0.822222,6.877778,2.866571,,-6.005556,52.534236
US_VA_51173,2020-01-19,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,6.36,9.54,6.04,9.86,7.31,6.36,18.44,8.58,8.58,5.72,5.4,6.36,26.07,6.04,8.27,,48.32,,5.4,3.05,-3.788889,8.427778,0.9652,,-1.966667,69.759212
US_VA_51173,2020-01-20,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,4.64,6.96,12.19,7.84,7.84,,20.02,9.0,10.16,5.51,,6.09,27.57,5.8,8.71,6.38,37.44,8.42,,-5.933333,-8.466667,-3.272222,0.0,,-11.588889,64.787517
US_VA_51173,2020-01-21,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,,7.5,12.51,7.5,8.89,,18.34,9.73,9.73,5.56,3.89,7.78,28.35,6.95,6.11,,43.35,6.95,,-6.938272,-10.259259,-1.401235,0.0,,-11.944444,67.880946
US_VA_51173,2020-01-22,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,4.52,5.36,7.91,6.78,7.62,,18.63,10.16,12.42,5.36,,8.75,29.08,5.93,10.73,3.95,40.94,7.34,5.65,-3.851852,-10.635802,6.969136,0.0,,-11.290123,56.812464
US_VA_51173,2020-01-23,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,5.44,8.43,12.51,5.71,5.44,5.98,21.75,11.96,8.16,4.08,6.25,8.97,31.27,6.25,6.8,,34.53,6.53,5.44,0.95679,-5.283951,7.709877,0.0,,-9.969136,45.51168
US_VA_51173,2020-01-24,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,7.45,7.74,7.15,8.04,,5.36,31.57,5.96,8.34,6.25,5.36,10.13,37.53,5.06,8.04,4.77,33.36,8.04,5.06,4.37037,-0.438272,7.95679,2.963333,,0.302469,75.012355
US_VA_51173,2020-01-25,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,,,10.77,8.16,4.57,,27.42,9.46,8.49,7.51,7.18,8.16,37.53,5.55,7.18,,38.51,7.18,8.49,3.512346,0.37037,7.91358,25.0444,,1.932099,89.433116
US_VA_51173,2020-01-26,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,7.27,8.54,6.32,8.54,6.32,4.74,32.56,5.06,10.75,5.38,,8.22,43.0,5.06,8.85,,43.31,7.9,4.74,0.598765,-1.469136,5.228395,0.03175,,-3.080247,76.463247
US_VA_51173,2020-01-27,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,5.94,8.2,9.61,11.88,7.92,5.94,37.33,15.27,4.81,7.63,7.63,9.05,39.87,4.52,8.2,6.22,39.59,4.52,4.24,1.938272,-1.154321,4.808642,0.0,,0.314815,89.170886
US_VA_51173,2020-01-28,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,8.04,9.53,8.34,10.42,6.85,,36.02,14.88,12.21,11.01,9.82,5.66,36.32,6.85,8.34,,42.87,6.25,,2.444444,0.572222,5.055556,0.1524,,-1.477778,76.231797
US_VA_51173,2020-01-29,ChIJp8qdv-MxUIgRtvxQr_mM1Dw,Q378896,geoId/51173,US,United States of America,VA,Virginia,51173,Smyth County,US,USA,2,,,,,,,30731,15095,15636,3098,3550,3484,3202,4029,4481,4245,2907,1735,2532637,36.84,-81.53,1171,74.45,,,,,,5.75,6.66,8.47,10.29,,5.14,28.44,13.01,7.87,5.45,7.87,8.17,41.45,6.96,7.26,7.87,41.75,7.87,5.75,1.472222,-1.872222,6.294444,0.0,,-2.005556,77.844895
