location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TN_47029,2020-01-11,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,5.64,8.02,9.8,4.75,4.46,4.75,13.96,8.02,5.94,6.54,,5.05,7.72,5.35,26.14,4.75,9.51,6.24,5.64,34.16,4.16,7.13,6.54,5.05,16.694444,9.994444,21.661111,4.064,,12.319444,73.127759
US_TN_47029,2020-01-12,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,8.32,6.83,9.51,8.62,5.05,5.94,11.59,4.75,,8.02,,4.16,,9.51,21.4,,5.05,,6.83,38.93,,5.35,4.16,5.35,13.394444,6.844444,20.405556,22.987,,8.097222,70.788949
US_TN_47029,2020-01-13,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,6.95,7.72,11.33,7.47,6.18,7.21,11.59,8.75,4.38,11.59,4.89,5.92,,8.75,26.52,5.41,11.59,,5.67,32.19,,6.44,5.92,,8.783333,4.927778,16.027778,0.0,,6.319444,85.347339
US_TN_47029,2020-01-14,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,3.74,7.72,7.23,7.97,4.98,,10.96,4.98,5.23,10.46,3.74,,,8.47,26.41,4.49,8.22,3.99,4.73,28.9,3.99,5.23,6.48,,13.188889,8.277778,15.961111,5.461,,12.097222,92.562544
US_TN_47029,2020-01-15,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,4.86,5.63,8.19,5.88,5.63,5.37,17.4,9.98,4.86,10.75,7.42,7.67,,8.19,24.82,5.88,6.4,,7.16,35.05,5.37,9.47,4.35,4.61,13.697531,10.685185,17.703704,9.144,,13.15873,93.54811
US_TN_47029,2020-01-16,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,3.69,8.16,6.06,5.53,6.85,,16.33,8.43,6.32,10.8,4.21,5.27,9.74,8.95,25.28,6.32,8.43,4.74,5.27,35.55,4.48,4.21,7.9,4.74,12.308642,7.567901,17.067901,0.762,,5.722222,62.920767
US_TN_47029,2020-01-17,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,4.07,5.6,7.38,5.6,4.33,6.11,15.78,11.97,,10.69,,5.35,,6.87,20.88,5.09,5.09,3.82,5.35,32.08,,8.66,6.87,7.64,3.308642,-0.808642,8.419753,0.056444,,-7.349206,46.707116
US_TN_47029,2020-01-18,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,4.33,7.8,8.96,,,4.05,12.71,7.8,6.36,9.25,,7.8,6.36,4.33,24.85,4.91,,5.78,4.33,42.77,,7.51,4.05,5.2,5.0,1.975309,8.703704,0.798286,,-2.571429,56.1232
US_TN_47029,2020-01-19,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,5.19,8.37,10.1,5.77,,5.19,16.16,7.79,4.04,7.5,,,,6.64,24.24,6.35,6.64,5.77,6.64,40.4,4.91,7.21,5.19,,4.407407,-0.814815,8.950617,6.858,,-1.714286,64.518892
US_TN_47029,2020-01-20,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,5.19,6.92,14.13,6.05,4.9,4.04,17.01,9.8,,11.25,6.63,4.9,4.9,13.26,19.9,5.77,7.21,4.9,5.77,41.23,,5.77,8.36,4.61,-3.95679,-6.074074,0.179012,0.036286,,-10.793651,58.499232
US_TN_47029,2020-01-21,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,,6.9,9.82,6.64,6.37,4.78,15.66,9.56,3.72,15.4,5.04,,8.23,9.03,23.63,4.25,5.04,8.23,9.03,35.84,,7.43,4.51,4.25,-3.616667,-5.877778,0.561111,0.0,,-11.347222,53.651818
US_TN_47029,2020-01-22,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,,3.64,11.19,5.99,5.99,4.68,16.39,8.59,5.46,11.19,5.21,4.42,7.29,7.29,23.94,5.72,7.29,6.51,6.51,32.01,4.42,11.97,5.99,,-3.066667,-9.405556,6.755556,0.0,,-9.576389,60.579061
US_TN_47029,2020-01-23,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,4.05,8.11,6.08,5.32,5.58,4.56,25.6,11.15,3.8,10.39,3.55,4.31,6.59,8.11,26.86,5.58,5.83,5.58,3.8,35.74,,4.82,4.56,,1.944444,-5.116667,10.255556,0.0,,-5.055556,58.835609
US_TN_47029,2020-01-24,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,3.45,7.4,10.11,5.67,5.92,6.41,24.91,7.65,5.43,5.67,4.93,4.93,7.65,9.62,31.82,6.17,7.15,4.44,6.17,37.74,6.41,4.69,3.7,4.44,6.65,2.616667,10.055556,8.35025,,4.645833,83.626823
US_TN_47029,2020-01-25,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,4.92,6.08,10.42,7.24,,4.63,25.77,6.66,,9.27,7.53,5.79,6.08,8.98,33.01,6.95,6.66,4.92,4.92,35.62,,7.53,4.34,6.08,4.15,1.644444,7.944444,17.11325,,0.868056,77.582352
US_TN_47029,2020-01-26,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,7.01,7.57,13.18,4.77,5.05,5.33,23.27,12.9,5.05,6.45,6.73,5.89,7.57,8.97,39.25,12.06,6.45,6.17,4.21,36.45,,5.33,5.05,4.49,2.527778,-1.044444,7.016667,0.056444,,-2.715278,66.970574
US_TN_47029,2020-01-27,ChIJ_zwevg1fWYgRIWgbctZ_vcU,Q488943,geoId/47029,US,United States of America,TN,Tennessee,47029,Cocke County,US,USA,2,,,,,,,35528,17217,18311,3848,4085,3931,3721,4528,5372,5183,3367,1493,1848170,35.93,-83.12,1148,72.7,,,,,,,4.46,8.67,11.4,6.44,3.47,3.47,33.2,9.42,3.72,3.72,4.96,4.96,,7.19,46.34,5.7,8.18,3.72,6.44,35.93,,9.42,7.19,4.21,4.494444,0.716667,8.633333,0.92075,,2.173611,82.408164
