location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WI_55075,2020-01-01,ChIJs2iNNYjCUk0R93BieWqSDEk,Q1130480,geoId/55075,US,United States of America,WI,Wisconsin,55075,Marinette County,US,USA,2,,,,,,,40300,20206,20094,3976,4542,3707,4277,4286,6657,6425,3997,2433,1798742,45.34,-88.0,4015,,,,,,7.19,8.29,6.63,5.53,8.29,,4.7,6.36,19.35,8.02,7.74,5.53,11.06,,5.8,,4.97,,4.42,4.7,19.9,4.97,5.25,,,4.42,35.38,,5.25,,7.46,,-7.240741,-12.259259,-0.691358,0.0,,-9.659722,84.912644
US_WI_55075,2020-01-02,ChIJs2iNNYjCUk0R93BieWqSDEk,Q1130480,geoId/55075,US,United States of America,WI,Wisconsin,55075,Marinette County,US,USA,2,,,,,,,40300,20206,20094,3976,4542,3707,4277,4286,6657,6425,3997,2433,1798742,45.34,-88.0,4015,,,,,,4.36,8.25,5.96,12.38,7.56,6.42,5.73,3.9,15.13,4.58,10.77,4.81,6.65,5.27,,3.67,6.88,5.5,4.81,6.88,23.61,7.11,5.5,4.36,3.21,3.67,34.84,3.21,6.65,5.27,,,1.345679,-1.783951,4.277778,0.09525,,-1.131944,84.559141
US_WI_55075,2020-01-03,ChIJs2iNNYjCUk0R93BieWqSDEk,Q1130480,geoId/55075,US,United States of America,WI,Wisconsin,55075,Marinette County,US,USA,2,,,,,,,40300,20206,20094,3976,4542,3707,4277,4286,6657,6425,3997,2433,1798742,45.34,-88.0,4015,,,,,,4.71,4.93,4.93,8.74,5.61,4.93,3.59,3.59,17.04,,7.62,4.71,7.62,6.95,,4.49,6.73,4.71,,5.38,23.77,5.16,6.05,5.61,4.49,3.36,36.33,4.71,5.38,4.26,3.59,3.81,0.092593,-1.746914,2.888889,1.072444,,-3.784722,75.690682
US_WI_55075,2020-01-04,ChIJs2iNNYjCUk0R93BieWqSDEk,Q1130480,geoId/55075,US,United States of America,WI,Wisconsin,55075,Marinette County,US,USA,2,,,,,,,40300,20206,20094,3976,4542,3707,4277,4286,6657,6425,3997,2433,1798742,45.34,-88.0,4015,,,,,,6.03,6.86,6.03,8.23,7.95,5.49,6.58,4.39,15.9,,12.62,4.66,9.32,,5.21,4.39,3.84,6.31,,4.94,21.66,7.95,7.4,6.31,,5.21,41.41,3.84,8.23,7.95,,5.49,-2.641975,-3.888889,-0.462963,0.0,,-5.673611,80.204993
US_WI_55075,2020-01-05,ChIJs2iNNYjCUk0R93BieWqSDEk,Q1130480,geoId/55075,US,United States of America,WI,Wisconsin,55075,Marinette County,US,USA,2,,,,,,,40300,20206,20094,3976,4542,3707,4277,4286,6657,6425,3997,2433,1798742,45.34,-88.0,4015,,,,,,5.64,8.59,,9.66,8.05,5.1,6.44,4.29,18.25,5.64,13.69,4.03,10.47,7.25,6.98,,5.1,5.37,5.64,6.71,22.82,6.44,9.66,5.91,,8.05,41.6,4.83,5.64,5.64,4.83,6.17,-2.796296,-5.938272,0.5,0.127,,-5.458333,82.98619
US_WI_55075,2020-01-06,ChIJs2iNNYjCUk0R93BieWqSDEk,Q1130480,geoId/55075,US,United States of America,WI,Wisconsin,55075,Marinette County,US,USA,2,,,,,,,40300,20206,20094,3976,4542,3707,4277,4286,6657,6425,3997,2433,1798742,45.34,-88.0,4015,,,,,,5.21,9.05,7.02,12.45,8.15,4.53,5.89,4.08,15.39,4.3,9.73,4.08,8.6,5.43,3.85,9.96,4.98,,,6.11,23.32,9.51,5.89,4.08,5.21,5.66,38.49,,6.11,3.85,6.11,,-1.777778,-5.407407,1.888889,0.282222,,-7.611111,65.098873
US_WI_55075,2020-01-07,ChIJs2iNNYjCUk0R93BieWqSDEk,Q1130480,geoId/55075,US,United States of America,WI,Wisconsin,55075,Marinette County,US,USA,2,,,,,,,40300,20206,20094,3976,4542,3707,4277,4286,6657,6425,3997,2433,1798742,45.34,-88.0,4015,,,,,,4.28,6.08,4.5,7.43,9.23,6.98,5.63,3.15,12.6,,7.88,4.05,6.75,6.08,4.28,3.15,3.83,,,5.18,23.63,7.88,4.5,8.33,3.83,6.08,36.01,3.83,3.15,6.53,,3.6,-1.061728,-4.160494,1.432099,0.0,,-7.4375,62.962688
US_WI_55075,2020-01-08,ChIJs2iNNYjCUk0R93BieWqSDEk,Q1130480,geoId/55075,US,United States of America,WI,Wisconsin,55075,Marinette County,US,USA,2,,,,,,,40300,20206,20094,3976,4542,3707,4277,4286,6657,6425,3997,2433,1798742,45.34,-88.0,4015,,,,,,4.27,7.2,3.37,8.99,7.87,4.27,3.37,4.5,17.99,,5.85,5.85,5.62,4.95,4.72,3.82,5.17,4.5,3.6,6.97,24.74,6.3,6.3,4.95,5.17,4.95,39.35,,6.07,3.15,4.27,3.37,-10.716049,-15.055556,-3.691358,0.0,,-17.409722,59.44884
US_WI_55075,2020-01-09,ChIJs2iNNYjCUk0R93BieWqSDEk,Q1130480,geoId/55075,US,United States of America,WI,Wisconsin,55075,Marinette County,US,USA,2,,,,,,,40300,20206,20094,3976,4542,3707,4277,4286,6657,6425,3997,2433,1798742,45.34,-88.0,4015,,,,,,4.68,5.79,6.01,8.91,6.68,6.91,3.56,,15.81,,10.91,7.57,7.35,5.79,10.47,6.68,4.46,3.56,3.34,6.68,27.18,7.8,4.9,4.46,3.56,4.23,40.32,4.9,6.68,6.24,4.46,,-4.302469,-12.796296,2.820988,0.112889,,-7.493056,78.910879
US_WI_55075,2020-01-10,ChIJs2iNNYjCUk0R93BieWqSDEk,Q1130480,geoId/55075,US,United States of America,WI,Wisconsin,55075,Marinette County,US,USA,2,,,,,,,40300,20206,20094,3976,4542,3707,4277,4286,6657,6425,3997,2433,1798742,45.34,-88.0,4015,,,,,,,7.67,4.41,9.29,7.9,4.65,7.43,,9.29,4.88,6.5,5.58,3.95,5.34,5.81,,4.88,3.48,4.18,3.72,21.83,6.04,4.65,5.58,4.41,4.88,35.31,5.58,5.58,7.9,5.11,4.88,1.117284,-2.728395,4.333333,0.451556,,-1.555556,83.363336
