location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IA_19179,2020-01-01,ChIJQ1Vf0min6IcRcaEcFmdTbg4,Q485467,geoId/19179,US,United States of America,IA,Iowa,19179,Wapello County,US,USA,2,,,,,,,35022,17406,17616,4421,4315,4584,4273,4064,4705,4432,2530,1698,1790075,41.029444,-92.408889,436,77.309091,,,,,6.13,9.75,6.13,9.75,9.75,5.57,5.29,,16.16,,8.36,7.25,9.2,,6.97,,8.08,4.46,4.74,5.57,24.8,7.8,6.69,,,5.85,33.72,,4.74,,7.53,5.85,-0.105556,-5.716667,9.861111,0.0,-3.355556,78.89081
US_IA_19179,2020-01-02,ChIJQ1Vf0min6IcRcaEcFmdTbg4,Q485467,geoId/19179,US,United States of America,IA,Iowa,19179,Wapello County,US,USA,2,,,,,,,35022,17406,17616,4421,4315,4584,4273,4064,4705,4432,2530,1698,1790075,41.029444,-92.408889,436,77.309091,,,,,4.93,8.38,3.45,9.11,9.85,5.42,7.14,3.69,18.97,,10.1,5.67,7.14,4.43,3.94,,4.19,,5.91,8.87,28.08,5.67,7.39,7.39,5.67,4.43,41.13,5.17,7.64,5.17,,,5.983333,1.027778,10.433333,0.0,1.872222,75.090111
US_IA_19179,2020-01-03,ChIJQ1Vf0min6IcRcaEcFmdTbg4,Q485467,geoId/19179,US,United States of America,IA,Iowa,19179,Wapello County,US,USA,2,,,,,,,35022,17406,17616,4421,4315,4584,4273,4064,4705,4432,2530,1698,1790075,41.029444,-92.408889,436,77.309091,,,,,3.41,11.68,,8.03,6.82,7.3,7.06,,17.04,3.65,9.01,7.3,8.76,,,,3.9,4.14,4.14,6.57,20.45,6.57,5.6,6.33,,5.84,37.97,4.87,,7.79,4.14,5.84,1.427778,-0.4,5.127778,0.0,0.305556,92.341766
US_IA_19179,2020-01-04,ChIJQ1Vf0min6IcRcaEcFmdTbg4,Q485467,geoId/19179,US,United States of America,IA,Iowa,19179,Wapello County,US,USA,2,,,,,,,35022,17406,17616,4421,4315,4584,4273,4064,4705,4432,2530,1698,1790075,41.029444,-92.408889,436,77.309091,,,,,5.17,10.89,4.36,11.43,5.99,,4.36,,15.79,,8.44,4.63,8.17,6.26,4.08,4.08,4.36,,4.63,5.72,19.06,6.26,6.26,5.72,,3.81,33.21,,4.63,7.08,4.63,,-0.845679,-3.802469,1.944444,0.0,-2.030864,91.770617
US_IA_19179,2020-01-05,ChIJQ1Vf0min6IcRcaEcFmdTbg4,Q485467,geoId/19179,US,United States of America,IA,Iowa,19179,Wapello County,US,USA,2,,,,,,,35022,17406,17616,4421,4315,4584,4273,4064,4705,4432,2530,1698,1790075,41.029444,-92.408889,436,77.309091,,,,,8.18,7.66,4.22,7.66,8.98,3.96,4.49,3.96,17.69,,10.03,3.7,7.66,10.56,6.34,5.28,,3.7,,3.96,29.04,6.6,6.86,,4.22,5.28,36.17,,4.75,3.96,9.24,,2.122222,-4.016667,8.05,0.0,-2.622222,71.138199
US_IA_19179,2020-01-06,ChIJQ1Vf0min6IcRcaEcFmdTbg4,Q485467,geoId/19179,US,United States of America,IA,Iowa,19179,Wapello County,US,USA,2,,,,,,,35022,17406,17616,4421,4315,4584,4273,4064,4705,4432,2530,1698,1790075,41.029444,-92.408889,436,77.309091,,,,,3.17,7.81,5.91,10.55,8.23,5.91,9.07,2.96,12.03,3.38,7.18,6.75,7.6,3.38,4.64,3.59,3.8,3.17,4.01,6.54,22.16,6.54,5.7,4.85,5.07,5.49,35.46,5.49,7.18,6.12,4.64,,-0.45,-5.772222,5.633333,0.0,-4.355556,75.023442
US_IA_19179,2020-01-07,ChIJQ1Vf0min6IcRcaEcFmdTbg4,Q485467,geoId/19179,US,United States of America,IA,Iowa,19179,Wapello County,US,USA,2,,,,,,,35022,17406,17616,4421,4315,4584,4273,4064,4705,4432,2530,1698,1790075,41.029444,-92.408889,436,77.309091,,,,,2.86,6.54,4.5,8.59,5.72,7.97,5.11,2.86,11.45,4.09,8.59,5.32,7.77,5.52,4.29,4.7,4.29,2.86,6.34,4.5,27.19,7.97,7.36,5.52,7.77,7.56,36.38,4.09,8.79,4.5,5.93,5.93,0.672222,-3.3,5.727778,0.0,-4.35,69.199888
US_IA_19179,2020-01-08,ChIJQ1Vf0min6IcRcaEcFmdTbg4,Q485467,geoId/19179,US,United States of America,IA,Iowa,19179,Wapello County,US,USA,2,,,,,,,35022,17406,17616,4421,4315,4584,4273,4064,4705,4432,2530,1698,1790075,41.029444,-92.408889,436,77.309091,,,,,6.23,7.27,6.86,8.93,7.27,6.65,6.03,5.19,15.79,3.74,3.95,3.32,8.52,,5.82,6.03,4.57,3.53,9.14,6.65,29.08,6.23,6.23,6.44,4.16,5.4,38.43,5.82,11.01,4.78,7.27,5.19,-4.461111,-9.611111,2.305556,0.0,-10.977778,60.458475
US_IA_19179,2020-01-09,ChIJQ1Vf0min6IcRcaEcFmdTbg4,Q485467,geoId/19179,US,United States of America,IA,Iowa,19179,Wapello County,US,USA,2,,,,,,,35022,17406,17616,4421,4315,4584,4273,4064,4705,4432,2530,1698,1790075,41.029444,-92.408889,436,77.309091,,,,,6.49,4.61,5.02,11.93,9.84,5.23,4.4,3.98,13.81,3.98,5.44,5.86,8.79,9.0,4.19,6.49,,2.93,3.14,6.7,33.28,5.23,9.42,5.23,3.98,6.91,36.0,3.98,6.91,3.98,3.77,,4.955556,-4.561111,16.266667,0.0,-1.461111,63.287632
US_IA_19179,2020-01-10,ChIJQ1Vf0min6IcRcaEcFmdTbg4,Q485467,geoId/19179,US,United States of America,IA,Iowa,19179,Wapello County,US,USA,2,,,,,,,35022,17406,17616,4421,4315,4584,4273,4064,4705,4432,2530,1698,1790075,41.029444,-92.408889,436,77.309091,,,,,5.61,4.74,3.02,9.27,6.25,3.45,4.74,4.1,13.58,,6.68,4.96,7.55,4.96,3.45,3.45,3.45,3.02,5.17,4.96,23.07,4.53,7.76,3.67,4.1,3.23,32.13,,5.39,4.96,,4.96,0.322222,-3.2,9.45,2.54,-1.455556,87.930112
