location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MN_27055,2020-01-01,ChIJb5Hi5drg-4cReyUQpO3sXVM,Q486288,geoId/27055,US,United States of America,MN,Minnesota,27055,Houston County,US,USA,2,,,,,,,18677,9365,9312,2126,2269,1788,2137,2028,2936,2700,1552,1141,1792815,43.67,-91.49,1473,82.88,,,,,6.96,9.27,7.88,20.86,,19.01,,28.28,7.42,-5.761111,-12.494444,4.127778,0.0254,64.77,-9.077778,77.633213
US_MN_27055,2020-01-02,ChIJb5Hi5drg-4cReyUQpO3sXVM,Q486288,geoId/27055,US,United States of America,MN,Minnesota,27055,Houston County,US,USA,2,,,,,,,18677,9365,9312,2126,2269,1788,2137,2028,2936,2700,1552,1141,1792815,43.67,-91.49,1473,82.88,,,,,,9.71,8.82,16.77,7.5,24.27,,33.09,,2.477778,-0.261111,5.061111,0.197556,64.77,-0.433333,81.461357
US_MN_27055,2020-01-03,ChIJb5Hi5drg-4cReyUQpO3sXVM,Q486288,geoId/27055,US,United States of America,MN,Minnesota,27055,Houston County,US,USA,2,,,,,,,18677,9365,9312,2126,2269,1788,2137,2028,2936,2700,1552,1141,1792815,43.67,-91.49,1473,82.88,,,,,12.09,10.75,,18.81,9.85,29.11,8.51,29.11,,0.338889,-1.211111,2.283333,0.0,50.8,-2.272222,82.95208
US_MN_27055,2020-01-04,ChIJb5Hi5drg-4cReyUQpO3sXVM,Q486288,geoId/27055,US,United States of America,MN,Minnesota,27055,Houston County,US,USA,2,,,,,,,18677,9365,9312,2126,2269,1788,2137,2028,2936,2700,1552,1141,1792815,43.67,-91.49,1473,82.88,,,,,9.9,,,18.8,,27.21,,28.7,,-2.111111,-4.75,0.505556,0.338667,30.48,-4.605556,83.278836
US_MN_27055,2020-01-05,ChIJb5Hi5drg-4cReyUQpO3sXVM,Q486288,geoId/27055,US,United States of America,MN,Minnesota,27055,Houston County,US,USA,2,,,,,,,18677,9365,9312,2126,2269,1788,2137,2028,2936,2700,1552,1141,1792815,43.67,-91.49,1473,82.88,,,,,,,,23.72,7.74,24.2,,39.69,,-1.227778,-4.722222,3.922222,0.028222,30.48,-4.311111,79.861397
US_MN_27055,2020-01-06,ChIJb5Hi5drg-4cReyUQpO3sXVM,Q486288,geoId/27055,US,United States of America,MN,Minnesota,27055,Houston County,US,USA,2,,,,,,,18677,9365,9312,2126,2269,1788,2137,2028,2936,2700,1552,1141,1792815,43.67,-91.49,1473,82.88,,,,,6.53,7.4,6.53,16.11,8.28,22.21,,34.41,,-1.505556,-6.061111,3.5,0.254,,-6.6,68.544733
US_MN_27055,2020-01-07,ChIJb5Hi5drg-4cReyUQpO3sXVM,Q486288,geoId/27055,US,United States of America,MN,Minnesota,27055,Houston County,US,USA,2,,,,,,,18677,9365,9312,2126,2269,1788,2137,2028,2936,2700,1552,1141,1792815,43.67,-91.49,1473,82.88,,,,,,7.86,,20.96,,23.14,,31.0,,-1.072222,-4.127778,1.466667,0.0,,-4.811111,76.087878
US_MN_27055,2020-01-08,ChIJb5Hi5drg-4cReyUQpO3sXVM,Q486288,geoId/27055,US,United States of America,MN,Minnesota,27055,Houston County,US,USA,2,,,,,,,18677,9365,9312,2126,2269,1788,2137,2028,2936,2700,1552,1141,1792815,43.67,-91.49,1473,82.88,,,,,,,8.25,15.64,6.95,29.54,6.52,31.28,6.95,-11.016667,-16.061111,-2.961111,0.0508,,-16.888889,62.405967
US_MN_27055,2020-01-09,ChIJb5Hi5drg-4cReyUQpO3sXVM,Q486288,geoId/27055,US,United States of America,MN,Minnesota,27055,Houston County,US,USA,2,,,,,,,18677,9365,9312,2126,2269,1788,2137,2028,2936,2700,1552,1141,1792815,43.67,-91.49,1473,82.88,,,,,,14.9,,11.74,9.93,25.29,,27.09,7.22,-2.211111,-9.75,7.177778,0.0,30.48,-7.533333,67.323026
US_MN_27055,2020-01-10,ChIJb5Hi5drg-4cReyUQpO3sXVM,Q486288,geoId/27055,US,United States of America,MN,Minnesota,27055,Houston County,US,USA,2,,,,,,,18677,9365,9312,2126,2269,1788,2137,2028,2936,2700,1552,1141,1792815,43.67,-91.49,1473,82.88,,,,,6.58,6.58,7.02,15.79,8.77,25.44,,33.77,,-1.855556,-4.977778,5.188889,0.0508,30.48,-4.811111,80.6184
US_MN_27055,2020-01-11,ChIJb5Hi5drg-4cReyUQpO3sXVM,Q486288,geoId/27055,US,United States of America,MN,Minnesota,27055,Houston County,US,USA,2,,,,,,,18677,9365,9312,2126,2269,1788,2137,2028,2936,2700,1552,1141,1792815,43.67,-91.49,1473,82.88,,,,,8.6,,,19.23,,17.71,,39.47,,-7.183333,-10.194444,-3.277778,0.127,,-12.711111,64.953991
