location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TX_48249,2020-01-01,ChIJ6z1Ny13LZ4YRzgZWZypH290,Q111753,geoId/48249,US,United States of America,TX,Texas,48249,Jim Wells County,US,USA,2,,,,,,,40920,20223,20697,6410,6209,5392,5205,4535,4736,4224,2653,1556,1828392,27.73,-98.09,2248,76.628571,,,,,5.47,8.81,4.56,10.64,5.47,6.69,6.38,6.38,20.97,18.23,4.86,4.86,,4.56,4.25,9.72,4.56,,4.56,30.09,7.9,6.08,4.56,4.25,5.17,49.54,,5.17,6.69,,6.38,13.8125,12.354167,15.416667,0.41275,8.888889,73.056713
US_TX_48249,2020-01-02,ChIJ6z1Ny13LZ4YRzgZWZypH290,Q111753,geoId/48249,US,United States of America,TX,Texas,48249,Jim Wells County,US,USA,2,,,,,,,40920,20223,20697,6410,6209,5392,5205,4535,4736,4224,2653,1556,1828392,27.73,-98.09,2248,76.628571,,,,,4.15,11.34,3.87,13.55,6.91,5.53,5.25,6.36,21.01,18.25,,7.74,4.42,5.25,4.7,5.25,3.87,5.81,8.02,34.01,3.87,6.64,,6.64,7.46,42.86,,6.91,7.74,5.53,4.98,15.388889,13.277778,18.506944,3.14325,14.047619,92.28421
US_TX_48249,2020-01-03,ChIJ6z1Ny13LZ4YRzgZWZypH290,Q111753,geoId/48249,US,United States of America,TX,Texas,48249,Jim Wells County,US,USA,2,,,,,,,40920,20223,20697,6410,6209,5392,5205,4535,4736,4224,2653,1556,1828392,27.73,-98.09,2248,76.628571,,,,,6.04,10.92,5.17,12.07,7.18,5.17,8.62,5.46,22.13,12.93,6.32,9.2,5.75,,5.75,,4.6,8.05,8.33,30.75,4.89,13.79,4.89,5.75,8.05,43.4,5.17,10.35,7.76,4.02,5.46,16.055556,11.861111,21.979167,0.762,9.746032,66.768346
US_TX_48249,2020-01-04,ChIJ6z1Ny13LZ4YRzgZWZypH290,Q111753,geoId/48249,US,United States of America,TX,Texas,48249,Jim Wells County,US,USA,2,,,,,,,40920,20223,20697,6410,6209,5392,5205,4535,4736,4224,2653,1556,1828392,27.73,-98.09,2248,76.628571,,,,,7.84,8.47,,18.82,7.53,6.27,5.96,,22.27,11.92,5.02,8.47,5.02,4.7,4.39,5.96,6.9,,10.66,31.05,9.1,10.04,,,5.64,42.02,,7.84,,6.9,6.9,14.236111,6.291667,22.444444,0.0,2.642857,46.010909
US_TX_48249,2020-01-05,ChIJ6z1Ny13LZ4YRzgZWZypH290,Q111753,geoId/48249,US,United States of America,TX,Texas,48249,Jim Wells County,US,USA,2,,,,,,,40920,20223,20697,6410,6209,5392,5205,4535,4736,4224,2653,1556,1828392,27.73,-98.09,2248,76.628571,,,,,10.54,12.95,5.72,12.35,6.63,5.72,7.53,,26.21,13.86,7.83,9.94,6.33,,7.83,,4.52,5.72,8.13,28.92,7.23,11.75,,4.52,6.33,41.57,6.63,9.34,7.83,7.23,7.83,13.75,5.847222,24.111111,0.0,5.888889,60.984558
US_TX_48249,2020-01-06,ChIJ6z1Ny13LZ4YRzgZWZypH290,Q111753,geoId/48249,US,United States of America,TX,Texas,48249,Jim Wells County,US,USA,2,,,,,,,40920,20223,20697,6410,6209,5392,5205,4535,4736,4224,2653,1556,1828392,27.73,-98.09,2248,76.628571,,,,,3.74,10.95,,14.96,8.28,,4.81,,21.1,12.02,6.14,9.35,4.27,6.14,4.81,4.01,,4.81,14.69,29.11,6.41,9.62,,5.34,7.75,43.8,5.34,6.94,8.81,5.61,5.08,15.895833,8.819444,25.111111,0.0,9.97619,69.758692
US_TX_48249,2020-01-07,ChIJ6z1Ny13LZ4YRzgZWZypH290,Q111753,geoId/48249,US,United States of America,TX,Texas,48249,Jim Wells County,US,USA,2,,,,,,,40920,20223,20697,6410,6209,5392,5205,4535,4736,4224,2653,1556,1828392,27.73,-98.09,2248,76.628571,,,,,5.21,10.69,,11.99,7.82,7.3,6.26,4.95,16.94,9.9,,10.95,,7.56,6.0,5.74,4.43,6.26,10.43,29.98,8.08,9.12,5.74,3.91,6.78,44.31,5.21,9.9,6.0,8.08,4.43,15.965278,11.493056,21.486111,0.0,6.119048,52.654904
US_TX_48249,2020-01-08,ChIJ6z1Ny13LZ4YRzgZWZypH290,Q111753,geoId/48249,US,United States of America,TX,Texas,48249,Jim Wells County,US,USA,2,,,,,,,40920,20223,20697,6410,6209,5392,5205,4535,4736,4224,2653,1556,1828392,27.73,-98.09,2248,76.628571,,,,,,12.76,,12.25,10.98,6.89,7.4,4.59,15.32,7.4,,13.53,3.83,7.15,6.13,4.59,,6.13,9.7,43.91,4.34,7.91,4.34,5.36,9.19,43.65,3.83,22.46,9.45,7.91,4.34,13.583333,6.673611,22.555556,0.0,6.396825,63.730365
US_TX_48249,2020-01-09,ChIJ6z1Ny13LZ4YRzgZWZypH290,Q111753,geoId/48249,US,United States of America,TX,Texas,48249,Jim Wells County,US,USA,2,,,,,,,40920,20223,20697,6410,6209,5392,5205,4535,4736,4224,2653,1556,1828392,27.73,-98.09,2248,76.628571,,,,,8.01,7.26,,14.27,6.01,6.76,6.51,,14.52,10.01,6.51,13.27,5.51,4.5,3.75,5.01,4.5,6.51,14.52,34.79,6.01,7.51,4.0,8.26,8.01,40.8,5.26,19.52,4.76,4.0,6.26,20.965278,17.958333,26.75,0.03175,16.960317,77.261757
US_TX_48249,2020-01-10,ChIJ6z1Ny13LZ4YRzgZWZypH290,Q111753,geoId/48249,US,United States of America,TX,Texas,48249,Jim Wells County,US,USA,2,,,,,,,40920,20223,20697,6410,6209,5392,5205,4535,4736,4224,2653,1556,1828392,27.73,-98.09,2248,76.628571,,,,,3.98,9.46,6.72,10.71,4.98,4.48,6.97,3.74,13.45,8.47,3.74,10.21,,6.23,4.23,,7.22,6.97,12.95,27.64,7.72,7.72,,4.48,4.98,38.6,4.98,11.95,9.46,5.73,3.74,22.270833,19.826389,26.194444,0.0635,18.809524,80.187969
