location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MN_27015,2020-01-11,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,,8.94,8.01,5.55,6.78,4.62,13.56,6.47,5.86,6.47,,,,4.93,6.16,25.88,7.09,7.09,4.31,,31.43,,7.7,6.47,7.7,-17.951389,-21.361111,-14.645833,0.0,-21.479167,73.981395
US_MN_27015,2020-01-12,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,,8.6,8.89,4.74,4.45,4.45,15.12,7.41,6.22,6.52,6.52,,4.74,4.74,4.45,26.08,7.11,4.45,,5.04,36.46,4.15,7.41,6.82,,-13.277778,-19.284722,-6.402778,0.0,-15.576389,82.881397
US_MN_27015,2020-01-13,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,,7.57,6.1,7.32,4.15,5.37,16.35,9.76,4.39,6.1,4.88,4.15,6.59,,5.61,23.67,5.61,,4.15,5.86,34.41,3.9,6.59,,,-6.340278,-10.305556,-3.520833,0.127,-7.361111,92.475703
US_MN_27015,2020-01-14,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,4.91,5.89,7.6,7.85,4.66,4.42,15.21,7.11,6.87,7.6,6.87,4.42,6.38,,4.66,20.36,4.17,,3.43,4.66,36.79,3.68,5.89,,,-4.222222,-10.888889,-0.340278,0.0,-5.916667,88.004715
US_MN_27015,2020-01-15,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,4.24,5.23,7.48,6.73,5.73,3.74,13.71,8.72,6.98,10.72,,6.98,5.23,4.74,6.23,20.69,4.74,,,5.98,30.66,,3.74,3.99,5.23,-11.729167,-18.152778,-8.875,0.169333,-13.993056,83.330312
US_MN_27015,2020-01-16,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,,5.17,5.42,6.41,,6.65,15.03,9.86,6.16,3.7,4.43,4.68,5.17,,,18.97,5.91,4.19,,3.7,24.89,3.7,3.94,,5.91,-21.402778,-24.520833,-17.722222,0.03175,-25.631944,68.708265
US_MN_27015,2020-01-17,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,,6.7,8.65,4.47,,,17.31,9.21,8.37,5.3,,7.54,7.26,,6.7,22.61,,,5.58,,33.5,,5.03,4.19,5.03,-13.423611,-20.027778,-5.875,0.0,-16.458333,77.922827
US_MN_27015,2020-01-18,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,4.83,10.27,4.53,8.15,6.64,4.83,16.91,9.66,7.25,,5.74,,5.43,,,23.25,4.23,5.43,,4.83,32.61,6.34,5.74,4.23,,-10.027778,-18.972222,-3.138889,0.508,-11.8125,86.798094
US_MN_27015,2020-01-19,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,5.07,7.45,7.75,5.96,4.47,5.07,15.5,9.54,7.45,5.66,4.17,5.07,6.26,5.37,7.15,22.95,4.47,4.47,5.37,5.96,39.34,6.26,6.56,5.37,,-19.069444,-20.638889,-16.805556,2.0828,-22.340278,75.375403
US_MN_27015,2020-01-20,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,,9.23,5.16,6.79,,4.34,19.82,10.05,10.32,6.52,4.07,,4.07,,,18.73,,8.42,,5.97,32.31,6.25,5.16,4.89,4.07,-18.0625,-21.944444,-14.472222,0.0,-20.8125,79.062871
US_MN_27015,2020-01-21,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,4.78,7.55,6.79,5.54,4.03,4.28,19.12,7.04,7.55,,5.03,,5.03,7.3,3.77,32.71,,5.79,6.29,3.52,27.93,,7.04,,3.77,-15.881944,-20.666667,-8.590278,0.0,-18.534722,80.07856
US_MN_27015,2020-01-22,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,,4.07,6.87,10.44,4.07,9.42,24.18,8.4,4.58,6.62,,4.84,5.34,3.82,5.09,26.98,,5.34,4.07,5.09,30.54,,7.13,3.82,4.07,-1.592593,-7.796296,1.679012,0.290286,-3.154321,89.158505
US_MN_27015,2020-01-23,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,,6.72,6.97,6.72,4.65,7.49,17.82,9.81,4.13,6.46,,5.68,6.72,3.87,3.62,30.22,6.2,5.94,7.49,4.65,36.68,,6.46,4.65,4.39,-0.246914,-1.734568,0.888889,0.635,-0.734568,96.549179
US_MN_27015,2020-01-24,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,4.29,,9.38,8.85,5.9,4.83,24.93,9.11,5.9,6.7,4.29,,3.75,7.24,3.75,27.07,5.36,5.63,,,29.75,,,4.83,,-1.604167,-2.555556,-0.8125,0.127,-2.652778,92.620697
US_MN_27015,2020-01-25,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,5.77,6.45,8.83,6.11,5.43,8.15,23.77,9.85,5.77,,6.45,5.09,6.11,,,24.79,5.09,5.43,4.75,,34.29,5.77,7.81,,,-2.5625,-3.458333,-1.479167,0.0,-4.4375,87.009608
US_MN_27015,2020-01-26,ChIJ5b9XZBw-9YcRL5bVrsrmvmQ,Q110900,geoId/27015,US,United States of America,MN,Minnesota,27015,Brown County,US,USA,2,,,,,,,25172,12569,12603,3007,3240,3017,2872,2477,3589,3247,2025,1698,1795841,44.23,-94.72,1602,81.3125,,,,,4.32,8.95,9.88,5.25,,5.55,24.69,9.88,5.55,5.25,,,4.32,,,25.0,4.63,5.86,,,41.04,,6.17,5.55,4.94,-3.75,-7.041667,-0.770833,0.0,-5.083333,90.472296
