location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IA_19123,2020-01-11,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,,,,,14.59,,10.16,25.19,,,41.1,6.63,,-6.483333,-8.844444,-2.05,6.604,-7.660494,90.124013
US_IA_19123,2020-01-12,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,9.5,12.95,6.91,,25.91,6.48,8.2,33.68,,9.93,40.59,8.64,,-5.483333,-7.361111,-2.838889,0.254,-6.728395,90.627688
US_IA_19123,2020-01-13,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,11.32,8.3,26.41,6.04,22.64,10.56,5.28,28.3,6.41,,45.65,11.7,,-1.9,-3.744444,0.011111,0.889,-2.47619,95.153431
US_IA_19123,2020-01-14,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,5.18,12.59,22.95,,24.43,11.11,6.66,35.91,5.92,7.78,43.69,7.41,,0.233333,-3.333333,1.95,1.693333,-0.481481,94.376401
US_IA_19123,2020-01-15,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,5.29,9.87,12.34,,22.91,10.57,5.99,34.89,,7.4,41.59,4.93,6.7,-2.938889,-5.594444,-0.811111,0.036286,-3.197531,96.517229
US_IA_19123,2020-01-16,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,7.29,8.75,8.39,,21.51,15.68,6.56,26.25,7.29,5.47,41.57,,6.56,-13.316667,-17.972222,-4.905556,0.0635,-16.67284,74.936008
US_IA_19123,2020-01-17,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,8.76,7.16,6.77,6.77,15.12,7.16,8.76,22.29,11.94,,40.6,6.77,5.57,-9.033333,-13.933333,-3.194444,0.254,-10.604938,87.273329
US_IA_19123,2020-01-18,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,,8.15,7.29,6.44,18.45,,,20.6,,7.72,38.19,,,-4.655556,-13.666667,0.672222,3.217333,-6.080247,88.971895
US_IA_19123,2020-01-19,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,7.8,,,,22.99,8.21,,26.28,,,34.49,,,-16.561111,-18.833333,-13.505556,0.254,-20.302469,72.317874
US_IA_19123,2020-01-20,ChIJScYuIh1O74cRP2QPSKgx6VQ,Q485922,geoId/19123,US,United States of America,IA,Iowa,19123,Mahaska County,US,USA,2,,,,,,,22211,11247,10964,3002,3039,2698,2637,2522,2879,2722,1591,1121,1790344,41.333889,-92.645556,1485,78.228571,,,,8.48,7.26,13.72,8.88,22.2,7.26,6.05,25.43,8.48,9.28,47.63,5.65,6.05,-14.416667,-16.588889,-11.044444,0.0,-16.345679,84.745323
