location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MN_27041,2020-01-11,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,2.53,5.07,2.53,4.64,3.52,4.22,,2.11,,,,11.54,2.96,6.19,,2.53,3.38,3.8,,1.97,3.38,,2.96,2.96,1.97,3.38,17.03,3.52,,2.96,,,3.1,,20.98,3.1,3.94,2.96,,4.08,2.67,,-21.644444,-26.772222,-15.238889,0.0,-25.416667,71.607513
US_MN_27041,2020-01-12,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,4.18,5.39,2.56,5.67,4.32,2.56,2.83,2.83,2.43,2.16,,10.93,,5.12,2.7,2.29,4.45,4.32,,2.7,2.43,3.37,2.16,4.18,2.16,2.7,16.05,4.45,2.29,3.64,,3.37,2.29,4.05,25.36,,2.97,4.32,2.02,2.56,2.29,,-12.567901,-18.012346,-8.820988,0.0,-15.549383,78.450811
US_MN_27041,2020-01-13,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,2.93,4.06,5.18,6.76,5.07,2.37,,3.83,2.48,1.58,,14.2,1.69,6.31,2.25,3.15,5.07,1.69,,2.59,4.39,3.61,,2.48,,3.61,18.03,2.7,1.58,2.59,,2.82,2.82,3.94,21.86,1.69,4.84,2.03,2.93,3.49,1.58,2.14,-7.759259,-9.864198,-4.833333,0.0,-9.12963,89.958299
US_MN_27041,2020-01-14,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,2.36,5.29,2.36,5.85,3.6,3.49,2.14,4.05,3.26,1.69,,10.24,,6.87,,2.93,5.74,2.48,1.69,2.7,3.15,3.04,2.81,2.93,1.69,4.95,17.89,2.81,,4.16,2.14,2.48,2.81,4.16,24.42,3.26,5.07,3.26,3.26,2.48,2.03,,-7.617284,-16.345679,-2.962963,0.0,-8.944444,90.221202
US_MN_27041,2020-01-15,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,3.81,3.92,3.0,5.31,4.04,3.35,2.77,2.77,4.16,2.65,,10.27,1.85,7.62,,2.88,5.42,3.58,,3.69,3.69,,1.73,2.54,,5.89,19.5,3.35,,3.46,2.19,2.77,2.42,4.27,23.31,2.42,4.85,3.12,3.81,,2.42,,-15.345679,-21.123457,-12.191358,0.508,-17.537037,83.307349
US_MN_27041,2020-01-16,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,2.66,4.99,2.66,6.54,5.76,2.55,2.44,4.66,2.11,2.77,1.77,10.42,2.11,7.87,2.44,1.88,4.88,3.77,,3.21,2.88,,2.0,3.88,,3.66,20.4,2.33,1.55,4.66,,3.55,3.1,2.11,21.73,2.0,5.54,3.21,2.66,,3.99,,-25.012346,-30.32716,-20.660494,0.1905,-28.58642,72.099243
US_MN_27041,2020-01-17,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,,4.82,3.95,5.93,4.57,2.84,1.73,3.46,2.1,2.6,,9.64,2.22,5.07,,2.6,3.83,2.22,2.22,3.21,2.47,3.58,2.84,,2.47,4.94,16.31,3.09,,3.46,1.85,,,4.08,21.25,,4.45,3.83,,3.21,2.35,,-15.395062,-22.895062,-7.5,0.0,-18.790123,75.275736
US_MN_27041,2020-01-18,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,3.48,4.45,,5.01,4.45,2.64,,,,,2.23,10.71,,4.31,,3.34,3.06,4.04,,4.45,2.92,2.37,2.09,,1.95,2.64,14.33,3.48,,3.76,,,2.92,2.64,19.34,2.09,4.04,3.34,,,,,-11.635802,-18.802469,-6.117284,1.524,-13.5,86.061515
US_MN_27041,2020-01-19,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,2.89,6.74,,3.16,3.44,2.06,,5.23,2.89,2.48,2.06,10.59,1.93,5.37,,2.48,4.54,5.09,,2.2,3.3,,,,3.03,5.37,15.41,4.13,,4.4,,2.61,1.93,3.3,23.8,,2.89,2.75,,2.2,,,-19.302469,-21.469136,-17.074074,0.254,-22.160494,78.098817
US_MN_27041,2020-01-20,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,2.69,5.5,2.3,4.61,3.33,2.94,2.43,4.74,2.3,2.43,,11.26,2.94,4.22,2.05,1.79,5.5,5.5,2.18,1.79,2.94,,3.71,2.94,,3.71,15.49,2.94,2.3,2.18,2.69,2.94,2.69,2.94,25.21,3.84,2.94,2.18,2.05,2.3,2.94,,-19.197531,-25.12963,-13.820988,0.0,-21.432099,82.450954
US_MN_27041,2020-01-21,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,2.26,3.5,2.93,6.88,6.09,4.29,2.71,2.37,1.58,2.14,1.58,11.85,3.27,4.06,2.03,3.16,4.74,2.26,2.03,2.26,3.05,3.39,1.92,4.63,,4.29,16.59,3.72,2.6,3.5,2.26,3.61,4.85,2.37,25.17,3.27,3.72,3.39,3.05,,1.81,,-16.037037,-21.740741,-7.216049,0.0,-18.395062,82.075553
US_MN_27041,2020-01-22,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,3.33,4.95,2.88,3.91,5.29,4.14,2.99,2.19,2.65,1.96,2.19,10.58,,4.95,,3.8,3.68,4.95,,1.96,3.22,2.3,2.07,3.91,1.61,4.14,17.14,3.8,2.19,3.68,1.73,2.65,3.68,4.37,20.13,2.99,4.49,3.22,3.91,2.42,1.73,,-5.339506,-9.166667,0.290123,0.310444,-7.024691,87.93649
US_MN_27041,2020-01-23,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,1.79,4.64,2.14,6.43,5.0,3.93,2.86,2.98,2.62,1.79,1.91,13.46,,5.12,,2.74,6.31,2.38,,3.1,4.05,2.26,,3.21,2.26,6.43,19.65,5.48,1.67,3.93,,3.33,4.05,3.33,21.79,2.5,3.93,2.98,2.26,2.5,1.67,2.74,-1.512346,-3.611111,-0.240741,0.0,-2.234568,94.859648
US_MN_27041,2020-01-24,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,3.73,5.54,2.29,5.06,4.94,1.69,3.61,1.81,2.53,1.81,,17.59,2.41,4.94,2.41,2.53,4.22,2.53,1.69,2.53,3.01,1.81,2.17,2.17,1.69,2.65,21.08,4.34,,,,3.85,1.69,4.82,18.43,2.05,3.13,1.93,2.29,2.41,2.41,,-2.844444,-4.388889,-1.594444,0.0,-4.361111,89.365862
US_MN_27041,2020-01-25,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,3.69,5.39,5.54,6.77,5.08,3.69,,5.39,3.08,2.31,,13.7,2.77,5.39,,2.62,5.08,2.31,,,4.0,3.23,2.31,2.46,,3.39,20.01,5.69,2.46,3.54,,2.92,3.69,2.77,29.24,2.31,2.62,4.31,2.62,2.31,2.77,,-3.55,-4.8,-2.405556,0.0,-5.494444,86.49958
US_MN_27041,2020-01-26,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,1.92,3.57,2.2,5.49,3.98,3.29,,3.43,3.02,2.88,,17.02,3.43,5.49,,2.06,5.35,2.47,1.92,3.71,3.57,2.61,2.88,3.02,,3.84,20.72,2.61,2.2,3.57,2.2,,2.33,,26.9,3.02,5.49,3.16,3.84,,,,-5.411111,-7.194444,-2.711111,0.0,-6.555556,91.706462
US_MN_27041,2020-01-27,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,3.31,3.42,2.76,3.97,5.63,4.96,3.09,2.87,2.76,3.53,,15.56,2.1,5.08,1.66,3.2,4.52,3.31,2.65,3.09,3.75,2.21,,2.98,,3.42,17.43,2.32,,3.31,,3.2,2.76,4.96,22.07,1.99,3.09,2.43,3.09,2.87,2.54,1.88,-6.566667,-9.266667,-3.983333,0.0,-7.238889,95.034831
US_MN_27041,2020-01-28,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,2.85,4.22,4.79,3.42,4.79,2.51,1.71,2.74,3.08,2.06,,14.27,2.06,5.94,,2.51,4.22,3.65,,3.2,3.88,2.4,1.83,2.4,2.17,3.77,18.72,3.31,1.94,5.14,2.06,2.63,2.17,3.2,23.75,4.57,5.59,4.11,2.51,,2.85,1.94,-11.444444,-13.638889,-9.161111,0.0,-12.683333,90.58345
US_MN_27041,2020-01-29,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,3.7,4.05,2.08,3.94,4.05,3.94,2.55,3.59,2.43,1.62,,13.66,2.78,5.21,,3.36,4.86,2.08,1.74,2.43,3.59,3.01,2.08,2.78,,4.98,18.4,3.24,1.62,4.17,2.78,1.62,3.01,2.43,22.45,1.97,4.86,3.24,2.2,,1.62,2.55,-10.566667,-13.111111,-8.161111,0.0,-11.866667,90.192942
US_MN_27041,2020-01-30,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,2.92,4.45,2.69,5.85,5.38,3.04,3.04,5.5,2.22,2.11,1.87,17.2,3.28,3.74,,4.33,4.33,2.34,,2.81,3.04,1.99,,2.46,,4.56,18.72,3.04,2.22,3.16,2.81,3.51,4.21,2.81,23.52,2.57,4.45,,,,1.99,,-8.072222,-9.094444,-5.827778,0.0,-8.844444,94.194127
US_MN_27041,2020-01-31,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,3.19,4.42,3.44,5.28,5.53,,3.07,3.56,2.21,,,16.7,,3.69,2.46,2.7,3.07,2.09,,2.46,2.58,,1.97,2.58,,4.3,20.64,3.81,2.21,2.58,1.72,2.09,,1.84,21.5,1.97,3.93,3.07,1.97,3.07,2.46,,-4.05,-5.916667,-1.5,0.635,-4.422222,97.27256
US_MN_27041,2020-02-01,ChIJTfsW-FEaylIRLahc9CV-u-Q,Q109981,geoId/27041,US,United States of America,MN,Minnesota,27041,Douglas County,US,USA,2,,,,,,,37520,18731,18789,4365,4391,4072,4417,3981,5145,5346,3490,2313,1795711,45.94,-95.45,1865,81.733333,,,,,,,2.98,4.92,2.38,4.77,,2.98,,2.68,3.28,2.98,,13.7,2.08,5.21,,,5.51,4.32,,3.42,4.77,,2.23,2.83,2.68,2.98,16.68,4.77,,5.21,2.53,,3.87,2.53,24.42,3.28,3.13,2.98,,2.53,2.53,,-3.405556,-10.255556,1.55,0.1016,-4.938889,89.167089
