location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_CA_06009,2020-01-01,ChIJgQMawEWokIARUF3VYX30ANw,Q271613,geoId/06009,US,United States of America,CA,California,06009,Calaveras County,US,USA,2,,,,,,,45681,22762,22919,3970,4608,4179,4448,4534,7174,8625,5637,2506,396470,38.21,-120.55,2685,80.833333,,,,,,4.81,10.66,8.99,10.24,8.78,5.02,2.93,8.36,,3.97,23.0,3.55,12.33,3.97,6.69,7.32,3.97,4.6,6.48,5.43,8.15,3.97,3.97,3.35,30.73,7.74,3.76,7.74,4.39,3.97,2.93,7.53,41.18,,5.64,5.64,,3.76,3.35,,8.302469,3.104938,14.308642,0.0,4.650794,77.944014
US_CA_06009,2020-01-02,ChIJgQMawEWokIARUF3VYX30ANw,Q271613,geoId/06009,US,United States of America,CA,California,06009,Calaveras County,US,USA,2,,,,,,,45681,22762,22919,3970,4608,4179,4448,4534,7174,8625,5637,2506,396470,38.21,-120.55,2685,80.833333,,,,,,5.41,7.57,9.3,11.24,7.35,6.7,,3.89,,,18.81,,7.13,4.32,5.84,9.51,5.41,4.97,3.46,4.54,3.89,5.19,,7.78,26.81,6.27,,7.35,,,3.03,6.7,37.84,5.84,7.13,5.62,4.11,7.13,,3.89,8.074074,2.851852,14.95679,0.0,4.993056,78.737339
US_CA_06009,2020-01-03,ChIJgQMawEWokIARUF3VYX30ANw,Q271613,geoId/06009,US,United States of America,CA,California,06009,Calaveras County,US,USA,2,,,,,,,45681,22762,22919,3970,4608,4179,4448,4534,7174,8625,5637,2506,396470,38.21,-120.55,2685,80.833333,,,,,,3.55,6.66,7.77,4.44,10.22,6.66,,4.44,,3.78,15.99,,9.11,,6.44,5.77,4.66,5.11,3.78,3.55,3.33,4.22,,7.77,26.65,6.0,4.0,8.44,,,3.78,4.0,35.09,4.44,6.88,8.0,3.78,3.55,4.44,,8.709877,3.648148,15.882716,0.0,4.916667,77.4673
US_CA_06009,2020-01-04,ChIJgQMawEWokIARUF3VYX30ANw,Q271613,geoId/06009,US,United States of America,CA,California,06009,Calaveras County,US,USA,2,,,,,,,45681,22762,22919,3970,4608,4179,4448,4534,7174,8625,5637,2506,396470,38.21,-120.55,2685,80.833333,,,,,,4.71,8.75,8.52,11.22,6.28,6.28,,7.18,,3.59,20.86,4.04,13.23,3.59,8.52,6.73,4.71,5.83,5.38,3.37,5.61,4.04,4.49,6.5,26.02,7.85,,9.2,,,,4.04,39.93,3.81,10.32,8.08,,,3.14,,9.030864,3.938272,14.907407,0.0,5.798611,78.958521
US_CA_06009,2020-01-05,ChIJgQMawEWokIARUF3VYX30ANw,Q271613,geoId/06009,US,United States of America,CA,California,06009,Calaveras County,US,USA,2,,,,,,,45681,22762,22919,3970,4608,4179,4448,4534,7174,8625,5637,2506,396470,38.21,-120.55,2685,80.833333,,,,,,5.02,8.45,6.16,10.96,10.5,6.16,,7.76,,6.62,17.8,5.71,11.87,,6.39,5.48,4.34,4.79,5.71,4.34,4.57,3.65,3.2,4.34,25.34,5.93,,7.53,4.57,,,5.02,34.47,5.02,7.99,8.22,,,3.42,,7.358025,2.882716,13.771605,0.3175,5.708333,85.768236
US_CA_06009,2020-01-06,ChIJgQMawEWokIARUF3VYX30ANw,Q271613,geoId/06009,US,United States of America,CA,California,06009,Calaveras County,US,USA,2,,,,,,,45681,22762,22919,3970,4608,4179,4448,4534,7174,8625,5637,2506,396470,38.21,-120.55,2685,80.833333,,,,,,6.21,7.45,5.46,9.68,7.7,4.22,,5.46,,,17.63,,13.41,,3.97,10.92,4.97,9.19,5.21,,3.72,,,7.45,29.05,6.7,,9.44,,4.22,,7.45,36.5,,7.7,7.7,5.21,3.72,,,6.641975,1.141975,13.135802,0.0,2.402778,74.167381
US_CA_06009,2020-01-07,ChIJgQMawEWokIARUF3VYX30ANw,Q271613,geoId/06009,US,United States of America,CA,California,06009,Calaveras County,US,USA,2,,,,,,,45681,22762,22919,3970,4608,4179,4448,4534,7174,8625,5637,2506,396470,38.21,-120.55,2685,80.833333,,,,,,5.8,6.81,3.78,8.83,5.8,6.81,3.53,10.34,,3.53,16.64,3.78,12.36,,5.04,6.81,6.05,4.54,4.04,4.54,5.3,4.79,,6.81,23.2,6.56,,9.84,5.55,3.78,5.8,5.55,43.88,3.78,8.83,6.56,,,4.54,,6.049383,2.012346,13.382716,0.0,3.194444,84.212065
US_CA_06009,2020-01-08,ChIJgQMawEWokIARUF3VYX30ANw,Q271613,geoId/06009,US,United States of America,CA,California,06009,Calaveras County,US,USA,2,,,,,,,45681,22762,22919,3970,4608,4179,4448,4534,7174,8625,5637,2506,396470,38.21,-120.55,2685,80.833333,,,,,,,6.86,4.83,9.14,7.87,7.87,3.56,5.59,5.33,7.11,18.29,,8.38,,5.08,10.92,5.33,5.59,5.33,5.33,3.81,6.35,,7.11,33.78,5.08,3.56,7.37,,3.56,4.57,9.4,41.66,5.84,18.8,6.35,6.86,,,4.57,6.104938,2.037037,11.037037,0.0,5.548611,91.630976
US_CA_06009,2020-01-09,ChIJgQMawEWokIARUF3VYX30ANw,Q271613,geoId/06009,US,United States of America,CA,California,06009,Calaveras County,US,USA,2,,,,,,,45681,22762,22919,3970,4608,4179,4448,4534,7174,8625,5637,2506,396470,38.21,-120.55,2685,80.833333,,,,,,5.48,9.22,5.73,8.72,12.71,7.23,4.73,10.71,3.99,,14.2,4.98,9.47,,5.23,12.21,4.24,3.99,4.73,,4.49,,4.24,12.21,33.88,7.72,3.99,7.97,3.49,4.98,4.98,6.23,40.61,4.24,11.71,7.72,5.98,5.98,,,6.308642,4.123457,9.240741,0.0,5.923611,90.253891
US_CA_06009,2020-01-10,ChIJgQMawEWokIARUF3VYX30ANw,Q271613,geoId/06009,US,United States of America,CA,California,06009,Calaveras County,US,USA,2,,,,,,,45681,22762,22919,3970,4608,4179,4448,4534,7174,8625,5637,2506,396470,38.21,-120.55,2685,80.833333,,,,,,7.96,7.71,6.47,8.96,8.96,5.72,,5.22,5.22,,15.67,,7.96,,3.98,10.45,,4.23,3.48,4.73,4.23,5.72,4.73,8.21,32.84,8.21,,8.21,3.98,,,4.98,46.03,4.73,10.95,7.21,4.23,4.98,,,4.91358,0.691358,11.166667,2.963333,2.743056,83.341428
