location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MN_27061,2020-01-01,ChIJfQYRjml4ulIRU-9TvbZsloU,Q486238,geoId/27061,US,United States of America,MN,Minnesota,27061,Itasca County,US,USA,2,,,,,,,45088,22776,22312,4909,5498,4241,4882,4935,6505,7383,4227,2508,1796049,47.51,-93.63,7583,79.890909,,,,,,4.0,5.33,10.66,10.13,6.66,5.86,5.33,,16.53,3.73,14.39,,5.86,7.46,8.53,4.0,5.33,,,,,21.59,8.8,7.46,3.73,4.26,5.86,40.78,7.73,7.46,7.46,,5.6,-11.522222,-17.911111,-4.15,0.0,-13.522222,85.112518
US_MN_27061,2020-01-02,ChIJfQYRjml4ulIRU-9TvbZsloU,Q486238,geoId/27061,US,United States of America,MN,Minnesota,27061,Itasca County,US,USA,2,,,,,,,45088,22776,22312,4909,5498,4241,4882,4935,6505,7383,4227,2508,1796049,47.51,-93.63,7583,79.890909,,,,,,3.45,12.32,5.42,8.87,8.87,6.41,5.67,4.93,20.21,4.68,12.08,,6.16,10.6,5.92,6.16,4.19,4.19,,3.45,7.89,30.8,7.89,5.92,3.94,,4.44,38.69,4.44,4.93,8.38,5.42,5.17,-3.705556,-5.072222,-1.966667,0.338667,-5.266667,88.937278
US_MN_27061,2020-01-03,ChIJfQYRjml4ulIRU-9TvbZsloU,Q486238,geoId/27061,US,United States of America,MN,Minnesota,27061,Itasca County,US,USA,2,,,,,,,45088,22776,22312,4909,5498,4241,4882,4935,6505,7383,4227,2508,1796049,47.51,-93.63,7583,79.890909,,,,,,4.23,8.72,6.48,12.45,7.97,7.22,5.23,,18.68,,6.48,,7.72,8.22,,4.48,,,4.23,4.73,8.72,26.65,5.23,4.98,8.22,4.48,7.47,36.36,6.23,5.48,6.97,5.23,3.74,-6.355556,-8.405556,-3.388889,0.145143,-7.916667,88.711773
US_MN_27061,2020-01-04,ChIJfQYRjml4ulIRU-9TvbZsloU,Q486238,geoId/27061,US,United States of America,MN,Minnesota,27061,Itasca County,US,USA,2,,,,,,,45088,22776,22312,4909,5498,4241,4882,4935,6505,7383,4227,2508,1796049,47.51,-93.63,7583,79.890909,,,,,,7.35,10.07,9.26,9.8,8.17,6.26,5.45,,18.24,4.63,6.26,,,6.81,5.99,,4.9,,,,6.26,34.31,4.63,8.71,3.81,4.9,4.9,43.84,7.08,8.44,4.08,,3.81,-4.955556,-6.583333,-2.988889,0.0,-6.361111,89.905327
US_MN_27061,2020-01-05,ChIJfQYRjml4ulIRU-9TvbZsloU,Q486238,geoId/27061,US,United States of America,MN,Minnesota,27061,Itasca County,US,USA,2,,,,,,,45088,22776,22312,4909,5498,4241,4882,4935,6505,7383,4227,2508,1796049,47.51,-93.63,7583,79.890909,,,,,,5.1,4.84,3.76,9.4,9.94,4.84,5.91,4.3,18.54,,7.79,,4.3,10.48,5.1,4.3,5.1,,3.76,,4.84,27.94,6.99,7.25,4.3,5.37,5.37,35.19,5.37,8.06,4.57,4.03,6.45,-3.511111,-4.916667,-1.133333,0.0,-6.033333,82.688739
US_MN_27061,2020-01-06,ChIJfQYRjml4ulIRU-9TvbZsloU,Q486238,geoId/27061,US,United States of America,MN,Minnesota,27061,Itasca County,US,USA,2,,,,,,,45088,22776,22312,4909,5498,4241,4882,4935,6505,7383,4227,2508,1796049,47.51,-93.63,7583,79.890909,,,,,,4.01,5.8,6.69,7.8,11.37,6.47,4.01,,13.16,4.01,9.81,,5.58,8.92,4.46,3.12,4.24,5.13,4.01,,4.01,29.88,6.24,6.24,4.46,5.13,8.7,39.02,5.8,9.14,4.24,3.79,,-6.266667,-13.205556,-0.061111,0.0,-9.45,78.179295
US_MN_27061,2020-01-07,ChIJfQYRjml4ulIRU-9TvbZsloU,Q486238,geoId/27061,US,United States of America,MN,Minnesota,27061,Itasca County,US,USA,2,,,,,,,45088,22776,22312,4909,5498,4241,4882,4935,6505,7383,4227,2508,1796049,47.51,-93.63,7583,79.890909,,,,,,6.13,5.47,6.79,7.66,8.32,4.82,7.22,,14.67,3.5,7.44,,6.13,8.76,5.91,3.06,3.72,,,,5.04,23.64,4.82,5.47,4.16,3.5,3.06,40.5,4.82,4.6,7.0,3.72,4.38,-8.95,-17.372222,-2.811111,0.0,-13.322222,70.641242
US_MN_27061,2020-01-08,ChIJfQYRjml4ulIRU-9TvbZsloU,Q486238,geoId/27061,US,United States of America,MN,Minnesota,27061,Itasca County,US,USA,2,,,,,,,45088,22776,22312,4909,5498,4241,4882,4935,6505,7383,4227,2508,1796049,47.51,-93.63,7583,79.890909,,,,,,6.62,5.96,7.07,6.85,7.73,5.74,5.08,,15.24,,7.95,,7.29,8.83,5.96,3.09,,3.98,,4.2,6.62,30.48,6.85,7.51,5.08,5.08,5.74,39.53,,8.39,4.42,4.2,3.98,-21.733333,-30.405556,-16.094444,0.0,-25.377778,72.364664
US_MN_27061,2020-01-09,ChIJfQYRjml4ulIRU-9TvbZsloU,Q486238,geoId/27061,US,United States of America,MN,Minnesota,27061,Itasca County,US,USA,2,,,,,,,45088,22776,22312,4909,5498,4241,4882,4935,6505,7383,4227,2508,1796049,47.51,-93.63,7583,79.890909,,,,,,,3.75,6.4,5.52,9.72,4.86,5.08,4.64,15.46,4.86,13.91,3.53,3.53,9.27,6.62,5.74,4.2,4.42,,4.2,5.74,22.96,4.42,5.52,5.52,4.64,3.98,35.55,3.31,4.2,7.51,4.2,3.09,-10.788889,-16.383333,-6.122222,0.2032,-14.8,72.345665
US_MN_27061,2020-01-10,ChIJfQYRjml4ulIRU-9TvbZsloU,Q486238,geoId/27061,US,United States of America,MN,Minnesota,27061,Itasca County,US,USA,2,,,,,,,45088,22776,22312,4909,5498,4241,4882,4935,6505,7383,4227,2508,1796049,47.51,-93.63,7583,79.890909,,,,,,6.37,6.81,4.17,11.2,7.47,6.37,7.25,3.73,12.96,,6.81,3.08,5.27,10.98,5.05,4.83,3.73,5.27,3.73,,4.39,25.48,5.49,6.37,5.93,3.08,6.15,38.66,5.71,4.83,6.15,5.49,,-13.272222,-19.127778,-7.055556,0.0,-17.016667,73.522449
