location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_GA_13211,2020-01-01,ChIJMfGs2ZZ99ogREnWb97r-BUw,Q493083,geoId/13211,US,United States of America,GA,Georgia,13211,Morgan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18373,8821,9552,2126,2463,1951,1960,2296,2698,2477,1605,797,1020507,33.59,-83.49,918,76.66,,,,,,,,22.67,,,26.79,,32.46,,7.255556,2.172222,13.233333,0.0,,-2.907407,48.548297
US_GA_13211,2020-01-02,ChIJMfGs2ZZ99ogREnWb97r-BUw,Q493083,geoId/13211,US,United States of America,GA,Georgia,13211,Morgan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18373,8821,9552,2126,2463,1951,1960,2296,2698,2477,1605,797,1020507,33.59,-83.49,918,76.66,,,,,,12.28,,18.89,12.28,8.03,19.36,,48.65,,7.072222,4.055556,10.777778,9.355667,,2.512346,73.032857
US_GA_13211,2020-01-03,ChIJMfGs2ZZ99ogREnWb97r-BUw,Q493083,geoId/13211,US,United States of America,GA,Georgia,13211,Morgan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18373,8821,9552,2126,2463,1951,1960,2296,2698,2477,1605,797,1020507,33.59,-83.49,918,76.66,,,,,7.54,12.42,,19.97,,,26.18,7.1,36.38,,11.144444,7.355556,16.688889,26.035,,10.598765,95.916458
US_GA_13211,2020-01-04,ChIJMfGs2ZZ99ogREnWb97r-BUw,Q493083,geoId/13211,US,United States of America,GA,Georgia,13211,Morgan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18373,8821,9552,2126,2463,1951,1960,2296,2698,2477,1605,797,1020507,33.59,-83.49,918,76.66,,,,,,7.81,,13.19,9.28,9.77,23.44,,41.51,,13.638889,8.377778,15.527778,26.204333,,9.901235,78.407384
US_GA_13211,2020-01-05,ChIJMfGs2ZZ99ogREnWb97r-BUw,Q493083,geoId/13211,US,United States of America,GA,Georgia,13211,Morgan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18373,8821,9552,2126,2463,1951,1960,2296,2698,2477,1605,797,1020507,33.59,-83.49,918,76.66,,,,,9.56,,7.55,22.65,11.58,,27.18,8.56,42.28,8.56,5.361111,-0.011111,12.566667,1.61925,,-2.191358,58.176458
US_GA_13211,2020-01-06,ChIJMfGs2ZZ99ogREnWb97r-BUw,Q493083,geoId/13211,US,United States of America,GA,Georgia,13211,Morgan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18373,8821,9552,2126,2463,1951,1960,2296,2698,2477,1605,797,1020507,33.59,-83.49,918,76.66,,,,,7.79,12.38,,13.29,11.92,10.54,25.67,11.0,47.21,,7.611111,1.216667,16.816667,0.0,,0.419753,60.659843
US_GA_13211,2020-01-07,ChIJMfGs2ZZ99ogREnWb97r-BUw,Q493083,geoId/13211,US,United States of America,GA,Georgia,13211,Morgan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18373,8821,9552,2126,2463,1951,1960,2296,2698,2477,1605,797,1020507,33.59,-83.49,918,76.66,,,,,7.12,9.21,,15.07,6.7,11.3,17.58,,28.05,7.12,10.366667,4.688889,15.6,0.072571,,3.641975,63.157585
US_GA_13211,2020-01-08,ChIJMfGs2ZZ99ogREnWb97r-BUw,Q493083,geoId/13211,US,United States of America,GA,Georgia,13211,Morgan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18373,8821,9552,2126,2463,1951,1960,2296,2698,2477,1605,797,1020507,33.59,-83.49,918,76.66,,,,,8.63,10.28,6.99,11.1,8.22,,22.19,9.86,35.35,9.04,7.994444,0.65,16.15,0.1524,,-3.166667,45.418366
US_GA_13211,2020-01-09,ChIJMfGs2ZZ99ogREnWb97r-BUw,Q493083,geoId/13211,US,United States of America,GA,Georgia,13211,Morgan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18373,8821,9552,2126,2463,1951,1960,2296,2698,2477,1605,797,1020507,33.59,-83.49,918,76.66,,,,,,11.56,,14.87,7.02,10.32,23.95,6.61,34.27,9.91,7.638889,-0.255556,17.5,0.0,,-0.314815,57.943952
US_GA_13211,2020-01-10,ChIJMfGs2ZZ99ogREnWb97r-BUw,Q493083,geoId/13211,US,United States of America,GA,Georgia,13211,Morgan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18373,8821,9552,2126,2463,1951,1960,2296,2698,2477,1605,797,1020507,33.59,-83.49,918,76.66,,,,,11.19,8.29,6.63,13.26,8.7,6.63,22.79,7.87,41.03,,13.211111,9.405556,17.805556,0.0,,6.271605,62.794225
