location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48217,2020-01-11,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,,7.32,13.91,9.15,,7.32,,14.28,5.86,5.49,17.21,8.05,5.86,5.49,,5.49,9.89,21.6,5.13,5.86,6.59,,8.05,43.21,,9.89,6.59,8.79,,8.016667,1.822222,20.588889,26.585333,,5.055556,81.761182
US_TX_48217,2020-01-12,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,,9.46,14.55,9.09,8.37,5.46,5.46,24.37,10.91,,12.73,5.09,7.64,5.09,,5.46,9.82,26.55,7.64,9.82,,,,45.83,,8.73,5.46,9.82,,4.522222,-1.005556,13.722222,0.4826,,1.188889,79.08876
US_TX_48217,2020-01-13,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,5.02,4.43,13.29,10.93,5.91,4.14,5.32,14.47,7.68,,10.34,,4.73,6.5,7.68,5.32,7.38,21.27,5.02,8.27,,5.61,5.61,44.9,5.02,4.43,7.68,6.5,,10.338889,5.366667,16.661111,0.0,,8.016667,85.639018
US_TX_48217,2020-01-14,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,4.66,6.99,7.28,12.53,6.99,6.12,5.24,17.77,4.08,5.54,9.61,,,6.12,4.95,5.24,9.32,22.72,6.41,8.45,6.99,4.08,4.66,44.28,4.08,7.28,7.87,9.9,,16.244444,13.7,22.055556,0.0762,,14.427778,89.178458
US_TX_48217,2020-01-15,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,5.22,9.58,14.22,9.29,5.51,6.09,4.64,17.7,10.45,7.26,6.96,4.06,6.09,,,6.09,11.03,27.28,6.38,6.09,11.32,4.06,4.93,42.66,,5.51,7.26,4.64,4.06,20.433333,17.0,25.583333,0.0,,18.944444,91.267802
US_TX_48217,2020-01-16,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,6.66,10.72,11.3,12.17,6.66,6.37,,16.22,8.69,8.98,13.61,4.34,,5.5,,5.21,10.14,26.94,4.63,10.43,10.14,12.17,6.66,42.58,,5.5,6.37,4.63,,15.122222,10.433333,22.294444,1.298222,,13.127778,87.964588
US_TX_48217,2020-01-17,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,7.74,4.01,8.32,8.03,4.59,6.02,,10.61,7.46,,8.6,5.16,,,5.16,,7.74,24.67,6.31,6.31,4.59,,4.59,41.01,4.88,7.17,4.59,,7.17,12.394444,9.572222,15.838889,4.6355,,11.9,96.851568
US_TX_48217,2020-01-18,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,6.27,9.22,7.75,5.17,,5.17,,18.45,9.22,,9.96,8.86,,5.9,8.12,,,25.09,6.64,5.9,5.9,6.27,,46.49,,7.38,,,,15.372222,11.111111,17.388889,2.2098,,11.833333,79.534268
US_TX_48217,2020-01-19,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,4.99,5.7,9.62,,,5.35,5.35,14.26,10.69,4.99,9.62,,7.49,,7.49,8.2,4.99,25.66,,6.42,,4.99,5.35,39.21,,,,,7.84,6.877778,0.466667,12.988889,0.0762,,-4.222222,45.293841
US_TX_48217,2020-01-20,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,,10.72,11.41,10.37,6.57,8.64,5.88,16.59,10.72,6.22,11.41,,6.92,,5.53,4.84,7.26,31.12,10.37,8.99,6.92,7.95,6.57,44.25,,6.92,6.92,5.19,,6.461111,0.05,14.227778,0.0,,-2.877778,51.522719
