location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_hypothyroidism,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_paresthesia,search_trends_perspiration,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_skin_ulcer,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18173,2020-01-01,ChIJpaqNNQdJbogRs_rV4JB22tE,Q503093,geoId/18173,US,United States of America,IN,Indiana,18173,Warrick County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62401,30710,31691,7759,8762,6558,7639,8176,8833,7648,4597,2429,1804403,38.1,-87.27,391,79.336364,,,,,3.42,6.83,7.78,6.6,11.19,1.89,7.89,5.18,2.59,3.42,6.6,4.24,1.65,3.77,,2.83,18.26,3.53,10.25,2.47,,4.95,1.89,7.3,6.13,2.12,2.94,2.71,4.48,2.94,4.36,3.3,1.65,6.13,3.42,4.01,7.54,1.65,24.15,5.42,2.47,8.84,4.01,2.94,7.3,,2.36,6.95,41.12,2.83,,2.94,5.3,6.36,,,2.24,3.65,4.83,3.65,4.95,2.59,4.95,4.48,3.53,4.037037,-1.092593,10.802469,0.0,,-2.092593,64.757992
US_IN_18173,2020-01-02,ChIJpaqNNQdJbogRs_rV4JB22tE,Q503093,geoId/18173,US,United States of America,IN,Indiana,18173,Warrick County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62401,30710,31691,7759,8762,6558,7639,8176,8833,7648,4597,2429,1804403,38.1,-87.27,391,79.336364,,,,,1.76,6.38,9.68,5.61,11.98,2.75,6.71,4.62,,4.84,6.6,5.17,2.31,4.07,2.64,2.86,19.79,4.62,12.97,4.18,2.2,5.94,3.52,9.02,7.04,2.42,3.52,4.84,7.37,2.42,5.28,6.38,2.09,6.27,3.52,3.74,11.21,2.75,28.69,7.15,3.52,6.38,3.08,3.08,5.72,2.75,3.63,4.84,41.67,2.53,1.65,2.2,3.63,6.93,,3.85,2.09,3.63,6.93,6.16,5.5,2.75,6.93,3.08,1.98,7.141975,2.32716,10.703704,0.973667,,1.339506,66.935118
US_IN_18173,2020-01-03,ChIJpaqNNQdJbogRs_rV4JB22tE,Q503093,geoId/18173,US,United States of America,IN,Indiana,18173,Warrick County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62401,30710,31691,7759,8762,6558,7639,8176,8833,7648,4597,2429,1804403,38.1,-87.27,391,79.336364,,,,,2.62,5.92,9.9,4.1,14.12,2.73,5.69,7.97,3.64,5.01,6.83,4.44,2.28,4.55,3.19,4.1,21.29,2.62,13.32,5.69,3.53,4.33,1.71,8.99,6.15,2.16,3.3,4.55,6.37,2.28,5.35,4.67,2.05,5.69,2.96,3.42,10.7,3.19,27.89,8.31,3.76,6.6,3.76,3.64,4.67,1.71,,7.51,44.28,2.16,2.16,2.5,3.76,7.97,1.82,2.96,2.85,2.96,7.4,4.55,4.89,2.05,3.3,2.85,3.19,9.567901,6.246914,10.728395,12.337143,,9.135802,97.175898
US_IN_18173,2020-01-04,ChIJpaqNNQdJbogRs_rV4JB22tE,Q503093,geoId/18173,US,United States of America,IN,Indiana,18173,Warrick County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62401,30710,31691,7759,8762,6558,7639,8176,8833,7648,4597,2429,1804403,38.1,-87.27,391,79.336364,,,,,3.33,3.09,9.28,6.18,10.59,1.78,7.14,4.76,1.78,3.09,6.07,3.57,2.38,3.92,2.38,3.69,20.58,3.33,10.59,3.81,2.38,3.81,2.5,6.42,4.88,2.14,3.09,4.52,4.4,3.33,4.76,5.0,1.67,4.88,2.14,3.92,7.14,1.9,26.52,7.14,1.78,6.78,2.02,3.69,5.71,,2.02,5.71,38.3,3.21,1.78,,3.57,7.37,,2.38,4.88,3.81,5.95,2.62,5.35,2.85,3.21,4.52,2.02,3.858025,1.722222,7.845679,3.193143,,1.87037,86.978834
US_IN_18173,2020-01-05,ChIJpaqNNQdJbogRs_rV4JB22tE,Q503093,geoId/18173,US,United States of America,IN,Indiana,18173,Warrick County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62401,30710,31691,7759,8762,6558,7639,8176,8833,7648,4597,2429,1804403,38.1,-87.27,391,79.336364,,,,,2.47,5.54,8.25,3.54,11.43,1.89,7.07,5.54,,2.95,4.95,4.48,1.89,5.66,1.89,2.71,17.44,4.59,10.37,3.54,2.83,4.59,1.77,7.19,5.07,3.42,3.18,4.24,4.71,,4.59,3.54,,7.3,2.36,4.01,6.13,2.24,21.09,7.54,4.01,8.6,3.65,3.3,6.25,1.89,2.71,4.71,40.88,1.77,,2.47,4.83,6.01,1.77,2.83,3.89,3.54,6.13,3.42,4.36,3.65,3.54,3.65,3.18,2.814815,-2.882716,11.481481,0.705556,,-1.314815,74.417818
US_IN_18173,2020-01-06,ChIJpaqNNQdJbogRs_rV4JB22tE,Q503093,geoId/18173,US,United States of America,IN,Indiana,18173,Warrick County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62401,30710,31691,7759,8762,6558,7639,8176,8833,7648,4597,2429,1804403,38.1,-87.27,391,79.336364,,,,,2.96,5.81,8.89,3.68,13.16,2.61,8.89,5.22,3.44,5.45,8.42,3.68,3.08,4.27,,3.68,17.9,3.68,8.18,2.61,2.02,4.74,2.13,10.79,5.34,2.13,2.25,6.76,5.93,2.73,5.57,4.51,,5.22,,3.44,9.6,3.32,28.22,5.93,4.03,7.83,4.15,5.22,5.34,3.2,3.2,5.22,46.24,2.73,,2.37,3.79,6.76,2.25,4.03,3.08,2.73,5.81,4.62,4.39,2.49,4.03,3.32,2.13,3.95679,-2.67284,9.759259,0.197556,,-2.432099,63.309035
US_IN_18173,2020-01-07,ChIJpaqNNQdJbogRs_rV4JB22tE,Q503093,geoId/18173,US,United States of America,IN,Indiana,18173,Warrick County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62401,30710,31691,7759,8762,6558,7639,8176,8833,7648,4597,2429,1804403,38.1,-87.27,391,79.336364,,,,,3.91,4.37,7.58,4.14,10.23,4.37,8.62,6.44,2.18,4.25,7.82,4.02,2.18,4.6,2.53,3.79,19.08,2.99,11.15,2.41,2.87,5.52,2.76,8.85,6.44,2.53,2.76,5.63,6.67,2.3,4.71,6.21,,5.06,2.64,4.14,9.65,2.99,32.87,6.78,4.48,7.12,2.41,5.4,5.29,2.3,2.07,10.23,45.05,1.72,2.07,2.3,4.02,5.86,,3.56,2.87,2.53,7.82,5.17,6.09,2.76,3.1,3.68,2.76,2.728395,-3.141975,9.098765,0.03175,,-3.148148,65.616693
US_IN_18173,2020-01-08,ChIJpaqNNQdJbogRs_rV4JB22tE,Q503093,geoId/18173,US,United States of America,IN,Indiana,18173,Warrick County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62401,30710,31691,7759,8762,6558,7639,8176,8833,7648,4597,2429,1804403,38.1,-87.27,391,79.336364,,,,,1.87,5.85,9.01,5.27,13.46,3.16,7.72,5.15,2.46,2.93,5.38,4.8,4.1,4.33,1.99,4.33,18.61,3.39,9.13,2.81,1.64,6.09,2.22,10.42,4.21,2.69,3.39,7.14,6.67,,4.1,5.85,1.87,5.62,,2.69,9.13,2.81,35.7,8.31,2.81,6.91,3.75,5.15,3.98,2.22,1.87,8.19,47.98,3.28,2.34,2.81,5.15,15.68,1.87,2.46,3.63,3.04,6.79,5.15,4.92,2.81,3.04,3.86,3.63,3.012346,-1.561728,7.796296,0.0,,-5.777778,52.679143
US_IN_18173,2020-01-09,ChIJpaqNNQdJbogRs_rV4JB22tE,Q503093,geoId/18173,US,United States of America,IN,Indiana,18173,Warrick County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62401,30710,31691,7759,8762,6558,7639,8176,8833,7648,4597,2429,1804403,38.1,-87.27,391,79.336364,,,,,2.45,5.48,8.05,2.68,14.0,1.75,7.47,6.88,2.1,5.37,6.07,5.25,2.1,4.32,,2.57,17.85,3.97,10.62,3.15,1.87,7.58,3.15,12.37,3.03,4.43,2.92,4.43,3.62,2.68,4.67,6.65,1.63,4.2,5.02,3.38,9.8,2.57,35.0,7.82,3.73,7.12,4.67,4.2,6.18,2.45,2.33,6.77,43.05,,1.98,2.57,6.18,12.25,,4.43,4.67,1.98,8.75,6.18,5.25,2.8,2.57,3.38,,6.135802,-0.061728,13.444444,0.0,,-3.617284,50.273696
US_IN_18173,2020-01-10,ChIJpaqNNQdJbogRs_rV4JB22tE,Q503093,geoId/18173,US,United States of America,IN,Indiana,18173,Warrick County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62401,30710,31691,7759,8762,6558,7639,8176,8833,7648,4597,2429,1804403,38.1,-87.27,391,79.336364,,,,,,5.29,7.77,3.46,13.6,3.02,7.23,6.05,2.38,5.4,6.58,3.46,2.92,3.02,,3.35,14.03,4.64,8.21,2.59,2.59,3.13,2.16,10.58,5.51,2.16,3.46,4.1,4.21,2.48,4.43,4.64,2.48,3.35,3.13,3.89,8.42,2.16,28.29,7.45,3.67,5.94,3.02,4.32,4.1,2.59,2.05,6.48,35.95,1.83,1.62,1.73,4.21,6.8,1.51,3.56,,3.46,7.99,4.97,5.29,2.92,2.38,3.13,,12.703704,8.135802,15.401235,12.627429,,7.969136,73.887654
