location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MI_26105,2020-01-01,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,6.94,8.45,9.65,9.05,,5.13,17.19,8.45,,7.84,,,,5.13,,5.43,22.02,7.24,5.73,,,4.53,39.21,,4.53,5.43,,6.03,-1.727778,-5.722222,2.494444,0.0,-5.777778,74.8298
US_MI_26105,2020-01-02,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,5.91,5.91,7.39,7.69,7.98,7.69,19.81,12.12,6.5,5.62,6.5,,,,5.91,5.62,23.95,5.03,6.21,4.14,10.35,8.57,37.55,4.43,7.69,7.1,4.14,4.14,4.066667,1.222222,5.55,0.0508,-0.381944,73.705493
US_MI_26105,2020-01-03,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,6.32,8.43,10.84,9.64,6.93,6.62,15.36,12.95,4.52,8.43,,5.12,,,,8.13,28.01,9.03,7.53,,,4.52,38.24,,6.32,6.62,,,2.172222,0.377778,4.85,0.0,-1.305556,78.203127
US_MI_26105,2020-01-04,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,,4.71,11.29,10.67,8.79,,18.51,10.04,,11.61,4.71,,4.71,,,9.1,22.27,,10.04,,,5.33,33.26,,8.16,7.53,,,-0.505556,-1.472222,0.466667,0.0508,-3.8125,78.916058
US_MI_26105,2020-01-05,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,,8.98,9.62,8.66,,8.98,17.64,11.22,,7.06,,,7.7,4.81,,8.34,18.92,,7.38,,4.49,6.74,41.37,,5.77,,,4.81,-0.416667,-1.822222,1.411111,0.0,-4.368056,75.788456
US_MI_26105,2020-01-06,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,6.31,6.03,7.68,7.4,6.58,8.77,17.55,9.05,4.39,7.4,7.13,6.85,,5.76,3.84,5.48,21.66,6.58,7.13,6.31,4.66,,37.29,4.93,6.58,4.11,,4.93,0.85,-1.45,2.772222,0.09525,-4.472222,68.227726
US_MI_26105,2020-01-07,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,5.45,,9.26,6.81,5.45,6.26,12.52,7.35,,8.71,4.9,6.53,6.53,5.17,,4.9,24.23,4.36,4.9,,,5.72,37.57,,6.53,6.81,4.63,4.9,1.45,-0.927778,2.988889,0.0,-2.951389,74.57108
US_MI_26105,2020-01-08,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,5.39,5.12,6.2,4.85,5.66,5.12,17.24,8.35,7.28,6.74,,4.31,8.89,,6.2,7.28,23.44,,,3.77,4.04,6.2,32.87,,7.0,5.93,4.04,4.58,-5.566667,-8.783333,1.155556,0.0,-11.881944,61.597074
US_MI_26105,2020-01-09,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,5.44,6.8,11.71,8.71,4.63,6.8,17.69,5.17,9.53,6.26,,,5.44,6.53,5.17,7.62,27.22,6.53,5.17,4.9,4.63,4.08,33.21,,7.62,,,,-4.811111,-9.772222,4.611111,0.211667,-10.284722,66.175319
US_MI_26105,2020-01-10,ChIJYxH9iSMUHIgRFW2Lv6ozBaA,Q63718,geoId/26105,US,United States of America,MI,Michigan,26105,Mason County,US,USA,2,,,,,,,28996,14416,14580,3128,3355,3086,3002,3073,4200,4730,2853,1569,1907322,44.02,-86.5,3216,77.9625,,,,,4.31,5.39,6.74,7.55,6.2,4.85,14.29,6.47,5.93,4.85,,6.2,5.66,,4.58,4.85,18.6,4.04,5.39,5.66,5.39,,31.81,5.39,6.74,,,4.31,5.077778,1.822222,7.905556,0.0,2.6875,83.817539
