location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_workplaces,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_SD_46101,2020-01-01,ChIJyfcp4yFyiYcRip4nIKymrG0,Q495219,geoId/46101,US,United States of America,SD,South Dakota,46101,Moody County,US,USA,2,,,,,,,6494,3266,3228,949,886,661,749,664,949,841,494,301,1739841,44.02,-96.67,487,1350,77.2,,,-5.533333,-9.9,0.416667,0.0,69.85,-7.728395,83.937433
US_SD_46101,2020-01-02,ChIJyfcp4yFyiYcRip4nIKymrG0,Q495219,geoId/46101,US,United States of America,SD,South Dakota,46101,Moody County,US,USA,2,,,,,,,6494,3266,3228,949,886,661,749,664,949,841,494,301,1739841,44.02,-96.67,487,1350,77.2,,49.6,-0.127778,-2.733333,1.444444,0.0,69.85,-1.734568,88.991082
US_SD_46101,2020-01-03,ChIJyfcp4yFyiYcRip4nIKymrG0,Q495219,geoId/46101,US,United States of America,SD,South Dakota,46101,Moody County,US,USA,2,,,,,,,6494,3266,3228,949,886,661,749,664,949,841,494,301,1739841,44.02,-96.67,487,1350,77.2,,48.24,-1.366667,-4.761111,1.433333,0.0,59.69,-2.401235,92.735557
US_SD_46101,2020-01-04,ChIJyfcp4yFyiYcRip4nIKymrG0,Q495219,geoId/46101,US,United States of America,SD,South Dakota,46101,Moody County,US,USA,2,,,,,,,6494,3266,3228,949,886,661,749,664,949,841,494,301,1739841,44.02,-96.67,487,1350,77.2,,,-7.044444,-13.561111,-0.366667,0.290286,54.61,-9.141975,85.234399
US_SD_46101,2020-01-05,ChIJyfcp4yFyiYcRip4nIKymrG0,Q495219,geoId/46101,US,United States of America,SD,South Dakota,46101,Moody County,US,USA,2,,,,,,,6494,3266,3228,949,886,661,749,664,949,841,494,301,1739841,44.02,-96.67,487,1350,77.2,,50.7,1.066667,-2.816667,3.683333,0.0,45.72,-2.395062,77.940155
US_SD_46101,2020-01-06,ChIJyfcp4yFyiYcRip4nIKymrG0,Q495219,geoId/46101,US,United States of America,SD,South Dakota,46101,Moody County,US,USA,2,,,,,,,6494,3266,3228,949,886,661,749,664,949,841,494,301,1739841,44.02,-96.67,487,1350,77.2,,34.05,-2.366667,-6.477778,2.738889,0.0,40.64,-5.018519,82.271891
US_SD_46101,2020-01-07,ChIJyfcp4yFyiYcRip4nIKymrG0,Q495219,geoId/46101,US,United States of America,SD,South Dakota,46101,Moody County,US,USA,2,,,,,,,6494,3266,3228,949,886,661,749,664,949,841,494,301,1739841,44.02,-96.67,487,1350,77.2,,62.92,-3.761111,-9.072222,0.666667,0.0,30.48,-6.401235,82.308613
US_SD_46101,2020-01-08,ChIJyfcp4yFyiYcRip4nIKymrG0,Q495219,geoId/46101,US,United States of America,SD,South Dakota,46101,Moody County,US,USA,2,,,,,,,6494,3266,3228,949,886,661,749,664,949,841,494,301,1739841,44.02,-96.67,487,1350,77.2,,,-12.522222,-15.988889,-6.683333,0.0,30.48,-16.635802,72.226968
US_SD_46101,2020-01-09,ChIJyfcp4yFyiYcRip4nIKymrG0,Q495219,geoId/46101,US,United States of America,SD,South Dakota,46101,Moody County,US,USA,2,,,,,,,6494,3266,3228,949,886,661,749,664,949,841,494,301,1739841,44.02,-96.67,487,1350,77.2,,39.6,-5.111111,-10.527778,-1.472222,0.0,40.64,-8.006173,80.702143
US_SD_46101,2020-01-10,ChIJyfcp4yFyiYcRip4nIKymrG0,Q495219,geoId/46101,US,United States of America,SD,South Dakota,46101,Moody County,US,USA,2,,,,,,,6494,3266,3228,949,886,661,749,664,949,841,494,301,1739841,44.02,-96.67,487,1350,77.2,,31.84,-9.483333,-15.594444,-4.383333,0.0,40.64,-12.246914,80.89878
US_SD_46101,2020-01-11,ChIJyfcp4yFyiYcRip4nIKymrG0,Q495219,geoId/46101,US,United States of America,SD,South Dakota,46101,Moody County,US,USA,2,,,,,,,6494,3266,3228,949,886,661,749,664,949,841,494,301,1739841,44.02,-96.67,487,1350,77.2,,,-19.416667,-23.372222,-14.05,0.1524,40.64,-22.91358,74.538686
US_SD_46101,2020-01-12,ChIJyfcp4yFyiYcRip4nIKymrG0,Q495219,geoId/46101,US,United States of America,SD,South Dakota,46101,Moody County,US,USA,2,,,,,,,6494,3266,3228,949,886,661,749,664,949,841,494,301,1739841,44.02,-96.67,487,1350,77.2,,,-13.583333,-20.038889,-6.722222,0.0,40.64,-15.753086,83.878282
US_SD_46101,2020-01-13,ChIJyfcp4yFyiYcRip4nIKymrG0,Q495219,geoId/46101,US,United States of America,SD,South Dakota,46101,Moody County,US,USA,2,,,,,,,6494,3266,3228,949,886,661,749,664,949,841,494,301,1739841,44.02,-96.67,487,1350,77.2,,33.94,-6.861111,-11.438889,-3.35,2.4384,74.93,-7.876543,92.356824
US_SD_46101,2020-01-14,ChIJyfcp4yFyiYcRip4nIKymrG0,Q495219,geoId/46101,US,United States of America,SD,South Dakota,46101,Moody County,US,USA,2,,,,,,,6494,3266,3228,949,886,661,749,664,949,841,494,301,1739841,44.02,-96.67,487,1350,77.2,,57.24,-5.922222,-11.316667,-1.555556,0.254,78.74,-7.574074,87.836188
US_SD_46101,2020-01-15,ChIJyfcp4yFyiYcRip4nIKymrG0,Q495219,geoId/46101,US,United States of America,SD,South Dakota,46101,Moody County,US,USA,2,,,,,,,6494,3266,3228,949,886,661,749,664,949,841,494,301,1739841,44.02,-96.67,487,1350,77.2,,41.85,-12.416667,-18.988889,-8.533333,0.1016,83.82,-14.697531,83.796584
US_SD_46101,2020-01-16,ChIJyfcp4yFyiYcRip4nIKymrG0,Q495219,geoId/46101,US,United States of America,SD,South Dakota,46101,Moody County,US,USA,2,,,,,,,6494,3266,3228,949,886,661,749,664,949,841,494,301,1739841,44.02,-96.67,487,1350,77.2,,,-21.444444,-25.822222,-14.727778,0.0254,78.74,-25.660494,68.66982
