location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_VA_51139,2020-01-11,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,5.93,8.3,,17.0,9.09,8.7,20.95,9.09,39.53,,14.044444,9.788889,19.672222,0.036286,10.697531,79.043985
US_VA_51139,2020-01-12,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,,7.75,6.97,12.79,9.3,,20.93,6.2,33.71,8.91,17.277778,9.477778,20.161111,14.266333,10.104938,62.5379
US_VA_51139,2020-01-13,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,11.09,9.44,11.91,,,10.27,31.62,7.39,38.19,9.86,6.938889,3.061111,12.461111,0.9144,3.524691,80.678117
US_VA_51139,2020-01-14,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,8.52,8.52,8.93,19.89,6.9,,29.22,6.9,35.71,8.52,5.877778,2.572222,9.744444,1.608667,4.932099,94.554396
US_VA_51139,2020-01-15,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,7.97,,7.55,12.16,12.58,13.84,32.29,,44.88,,7.866667,2.705556,14.1,1.4605,5.180556,84.894104
US_VA_51139,2020-01-16,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,6.21,8.27,9.93,15.72,6.62,8.69,30.61,9.1,42.19,8.69,10.605556,4.383333,14.983333,0.056444,1.339506,53.467105
US_VA_51139,2020-01-17,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,6.16,7.8,,17.24,9.85,6.16,28.32,6.57,32.84,,0.894444,-2.372222,4.516667,0.0,-10.351852,42.914434
US_VA_51139,2020-01-18,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,5.95,8.93,8.19,12.28,,5.58,23.07,,41.3,9.3,-1.555556,-4.433333,2.466667,1.1684,-6.154321,70.730326
US_VA_51139,2020-01-19,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,,11.2,6.35,16.05,8.21,9.33,27.25,,44.42,10.08,4.494444,-1.427778,9.088889,0.92075,-1.876543,63.52049
US_VA_51139,2020-01-20,ChIJ_WRPB-lctIkR7zrQ4jUPBbk,Q513818,geoId/51139,US,United States of America,VA,Virginia,51139,Page County,US,USA,2,,,,,,,23784,11733,12051,2511,2693,2592,2620,2964,3683,3288,2250,1183,2534197,38.61,-78.48,813,76.18,,,,,,,11.55,11.15,9.96,6.37,9.96,32.25,7.17,48.58,,-2.6,-6.627778,2.655556,0.0,-12.296296,47.28896
