location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_NC_37137,2020-01-01,ChIJDdz8HHvIqIkR9pMGf5U5rqU,Q507616,geoId/37137,US,United States of America,NC,North Carolina,37137,Pamlico County,US,USA,2,,,,,,,12638,6446,6192,980,1176,1215,1248,1310,1881,2372,1623,833,2528731,35.15,-76.67,1467,79.575,,,,,25.55,31.03,11.061728,5.882716,16.41358,0.0,1.728395,53.815819
US_NC_37137,2020-01-02,ChIJDdz8HHvIqIkR9pMGf5U5rqU,Q507616,geoId/37137,US,United States of America,NC,North Carolina,37137,Pamlico County,US,USA,2,,,,,,,12638,6446,6192,980,1176,1215,1248,1310,1881,2372,1623,833,2528731,35.15,-76.67,1467,79.575,,,,,28.0,36.75,10.117284,4.197531,17.345679,0.0,2.882716,62.065339
US_NC_37137,2020-01-03,ChIJDdz8HHvIqIkR9pMGf5U5rqU,Q507616,geoId/37137,US,United States of America,NC,North Carolina,37137,Pamlico County,US,USA,2,,,,,,,12638,6446,6192,980,1176,1215,1248,1310,1881,2372,1623,833,2528731,35.15,-76.67,1467,79.575,,,,,27.39,58.31,18.08642,11.598765,24.061728,0.0,13.179012,73.761864
US_NC_37137,2020-01-04,ChIJDdz8HHvIqIkR9pMGf5U5rqU,Q507616,geoId/37137,US,United States of America,NC,North Carolina,37137,Pamlico County,US,USA,2,,,,,,,12638,6446,6192,980,1176,1215,1248,1310,1881,2372,1623,833,2528731,35.15,-76.67,1467,79.575,,,,13.92,14.79,43.51,19.734568,14.419753,24.333333,8.091714,17.083333,84.148896
US_NC_37137,2020-01-05,ChIJDdz8HHvIqIkR9pMGf5U5rqU,Q507616,geoId/37137,US,United States of America,NC,North Carolina,37137,Pamlico County,US,USA,2,,,,,,,12638,6446,6192,980,1176,1215,1248,1310,1881,2372,1623,833,2528731,35.15,-76.67,1467,79.575,,,,,27.7,46.16,10.969136,5.265432,20.537037,6.277429,1.111111,51.541691
US_NC_37137,2020-01-06,ChIJDdz8HHvIqIkR9pMGf5U5rqU,Q507616,geoId/37137,US,United States of America,NC,North Carolina,37137,Pamlico County,US,USA,2,,,,,,,12638,6446,6192,980,1176,1215,1248,1310,1881,2372,1623,833,2528731,35.15,-76.67,1467,79.575,,,,,27.72,46.73,8.820988,3.364198,17.697531,0.0,1.333333,60.227745
US_NC_37137,2020-01-07,ChIJDdz8HHvIqIkR9pMGf5U5rqU,Q507616,geoId/37137,US,United States of America,NC,North Carolina,37137,Pamlico County,US,USA,2,,,,,,,12638,6446,6192,980,1176,1215,1248,1310,1881,2372,1623,833,2528731,35.15,-76.67,1467,79.575,,,,13.73,25.18,31.28,10.234568,2.722222,19.790123,0.145143,4.648148,69.332014
US_NC_37137,2020-01-08,ChIJDdz8HHvIqIkR9pMGf5U5rqU,Q507616,geoId/37137,US,United States of America,NC,North Carolina,37137,Pamlico County,US,USA,2,,,,,,,12638,6446,6192,980,1176,1215,1248,1310,1881,2372,1623,833,2528731,35.15,-76.67,1467,79.575,,,,11.89,28.98,40.87,9.432099,1.901235,18.487654,0.0,-0.709877,49.713516
US_NC_37137,2020-01-09,ChIJDdz8HHvIqIkR9pMGf5U5rqU,Q507616,geoId/37137,US,United States of America,NC,North Carolina,37137,Pamlico County,US,USA,2,,,,,,,12638,6446,6192,980,1176,1215,1248,1310,1881,2372,1623,833,2528731,35.15,-76.67,1467,79.575,,,,16.15,22.31,39.23,8.17284,1.950617,15.561728,0.0,1.154321,62.156503
US_NC_37137,2020-01-10,ChIJDdz8HHvIqIkR9pMGf5U5rqU,Q507616,geoId/37137,US,United States of America,NC,North Carolina,37137,Pamlico County,US,USA,2,,,,,,,12638,6446,6192,980,1176,1215,1248,1310,1881,2372,1623,833,2528731,35.15,-76.67,1467,79.575,,,,,30.04,48.71,14.623457,4.833333,22.462963,0.0,7.851852,65.58222
