location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_SC_45025,2020-01-01,ChIJ58Jyk_ahVYgRq1_KRxIFuK4,Q502419,geoId/45025,US,United States of America,SC,South Carolina,45025,Chesterfield County,US,USA,2,,,,,,,45979,22362,23617,5475,5831,5734,4863,6000,6683,6090,3655,1648,2532501,34.64,-80.16,2087,75.42,,,,,7.59,6.78,,10.3,7.32,4.88,7.59,6.23,16.81,9.22,,6.78,4.61,5.42,5.15,5.15,6.23,5.69,10.3,23.31,7.86,8.13,5.96,4.34,,49.06,,10.57,,,6.23,7.466667,1.122222,13.988889,0.0254,-0.82716,56.437412
US_SC_45025,2020-01-02,ChIJ58Jyk_ahVYgRq1_KRxIFuK4,Q502419,geoId/45025,US,United States of America,SC,South Carolina,45025,Chesterfield County,US,USA,2,,,,,,,45979,22362,23617,5475,5831,5734,4863,6000,6683,6090,3655,1648,2532501,34.64,-80.16,2087,75.42,,,,,10.28,8.22,,12.33,4.88,4.88,7.45,5.14,19.78,13.36,,6.42,8.22,3.85,,4.37,5.65,4.11,7.19,24.4,6.42,7.45,,4.62,,44.44,4.62,4.37,6.17,,8.48,6.672222,2.594444,12.266667,0.508,2.067901,72.567441
US_SC_45025,2020-01-03,ChIJ58Jyk_ahVYgRq1_KRxIFuK4,Q502419,geoId/45025,US,United States of America,SC,South Carolina,45025,Chesterfield County,US,USA,2,,,,,,,45979,22362,23617,5475,5831,5734,4863,6000,6683,6090,3655,1648,2532501,34.64,-80.16,2087,75.42,,,,,4.31,9.12,4.82,10.64,6.08,6.34,4.56,3.55,19.26,12.67,,8.11,,5.07,5.07,3.55,5.07,5.32,10.14,27.37,5.32,7.1,,,5.58,39.28,,4.31,6.59,4.31,8.62,12.9,6.7,22.961111,3.4036,11.123457,89.296902
US_SC_45025,2020-01-04,ChIJ58Jyk_ahVYgRq1_KRxIFuK4,Q502419,geoId/45025,US,United States of America,SC,South Carolina,45025,Chesterfield County,US,USA,2,,,,,,,45979,22362,23617,5475,5831,5734,4863,6000,6683,6090,3655,1648,2532501,34.64,-80.16,2087,75.42,,,,,7.09,11.17,6.0,8.45,9.81,4.91,7.36,,19.08,12.81,5.45,9.81,6.27,4.36,7.09,,4.63,,10.08,28.34,7.63,5.18,6.54,5.18,,43.33,5.45,7.9,4.36,,6.0,16.266667,12.283333,20.188889,10.2616,13.944444,86.279427
US_SC_45025,2020-01-05,ChIJ58Jyk_ahVYgRq1_KRxIFuK4,Q502419,geoId/45025,US,United States of America,SC,South Carolina,45025,Chesterfield County,US,USA,2,,,,,,,45979,22362,23617,5475,5831,5734,4863,6000,6683,6090,3655,1648,2532501,34.64,-80.16,2087,75.42,,,,,7.94,7.94,,10.95,7.12,5.2,6.57,5.47,12.32,10.95,5.2,7.12,,5.47,7.39,5.47,6.57,5.47,8.49,22.72,7.67,8.21,,4.11,5.47,36.96,4.11,5.75,7.12,5.47,7.94,7.62963,0.919753,15.438272,0.6985,-2.125,50.734463
US_SC_45025,2020-01-06,ChIJ58Jyk_ahVYgRq1_KRxIFuK4,Q502419,geoId/45025,US,United States of America,SC,South Carolina,45025,Chesterfield County,US,USA,2,,,,,,,45979,22362,23617,5475,5831,5734,4863,6000,6683,6090,3655,1648,2532501,34.64,-80.16,2087,75.42,,,,,4.51,8.48,,10.87,9.81,9.02,4.24,5.83,15.91,9.28,8.22,9.81,7.96,6.36,5.57,,4.24,4.77,10.61,27.05,9.28,7.69,5.04,6.1,7.42,42.42,5.83,5.3,7.96,5.04,7.69,6.876543,-0.179012,16.45679,0.0,-0.256944,60.946204
US_SC_45025,2020-01-07,ChIJ58Jyk_ahVYgRq1_KRxIFuK4,Q502419,geoId/45025,US,United States of America,SC,South Carolina,45025,Chesterfield County,US,USA,2,,,,,,,45979,22362,23617,5475,5831,5734,4863,6000,6683,6090,3655,1648,2532501,34.64,-80.16,2087,75.42,,,,,5.16,8.25,,9.8,8.77,6.19,6.7,4.12,16.5,12.12,4.9,13.92,,4.64,5.41,5.16,3.61,4.12,8.51,27.07,5.93,11.86,3.87,4.38,7.22,42.8,3.87,4.38,7.22,7.22,6.45,7.066667,0.988889,15.272222,0.169333,3.401235,77.563028
US_SC_45025,2020-01-08,ChIJ58Jyk_ahVYgRq1_KRxIFuK4,Q502419,geoId/45025,US,United States of America,SC,South Carolina,45025,Chesterfield County,US,USA,2,,,,,,,45979,22362,23617,5475,5831,5734,4863,6000,6683,6090,3655,1648,2532501,34.64,-80.16,2087,75.42,,,,,6.58,4.74,3.69,10.0,9.48,9.21,7.11,3.95,15.53,7.9,4.21,6.32,4.74,5.26,6.05,3.95,6.05,4.74,11.58,33.16,7.37,8.16,6.32,,5.0,42.9,6.32,16.06,7.63,7.9,7.37,6.061111,-1.45,16.294444,0.197556,-1.833333,57.576102
US_SC_45025,2020-01-09,ChIJ58Jyk_ahVYgRq1_KRxIFuK4,Q502419,geoId/45025,US,United States of America,SC,South Carolina,45025,Chesterfield County,US,USA,2,,,,,,,45979,22362,23617,5475,5831,5734,4863,6000,6683,6090,3655,1648,2532501,34.64,-80.16,2087,75.42,,,,,4.82,6.16,3.75,12.58,7.5,5.89,5.62,7.76,18.48,9.64,5.62,12.58,4.28,4.55,5.62,6.16,5.36,3.75,11.25,28.65,4.28,10.98,,,6.96,38.29,5.36,15.53,6.16,5.09,5.36,6.35,-1.066667,14.844444,0.0254,-2.598765,53.170473
US_SC_45025,2020-01-10,ChIJ58Jyk_ahVYgRq1_KRxIFuK4,Q502419,geoId/45025,US,United States of America,SC,South Carolina,45025,Chesterfield County,US,USA,2,,,,,,,45979,22362,23617,5475,5831,5734,4863,6000,6683,6090,3655,1648,2532501,34.64,-80.16,2087,75.42,,,,,7.75,10.43,4.28,10.43,8.02,,,6.15,19.25,8.29,,7.49,,7.49,5.35,,5.35,,7.49,29.15,3.74,10.16,,,6.15,39.85,5.08,8.56,8.56,,6.42,10.038889,4.316667,16.372222,0.0,4.790123,70.549817
US_SC_45025,2020-01-11,ChIJ58Jyk_ahVYgRq1_KRxIFuK4,Q502419,geoId/45025,US,United States of America,SC,South Carolina,45025,Chesterfield County,US,USA,2,,,,,,,45979,22362,23617,5475,5831,5734,4863,6000,6683,6090,3655,1648,2532501,34.64,-80.16,2087,75.42,,,,,6.05,10.99,,9.89,7.15,6.6,7.7,,17.86,11.54,4.12,8.79,4.4,8.52,3.85,4.67,4.95,7.15,8.24,23.91,6.6,6.32,3.85,8.52,5.22,41.78,4.67,8.52,6.87,5.22,6.32,17.024691,11.246914,22.506173,0.6096,15.111111,87.776236
