location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_workplaces,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_AR_05039,2020-01-01,ChIJj3kvgkaQMoYRksgLT0ixHPQ,Q61012,geoId/05039,US,United States of America,AR,Arkansas,05039,Dallas County,US,USA,2,,,,,,,7307,3600,3707,800,909,801,807,771,1021,1074,702,422,1826746,33.976944,-92.673056,1731,74.2,,,4.382716,-0.432099,11.111111,0.0,,-1.944444,63.99527
US_AR_05039,2020-01-02,ChIJj3kvgkaQMoYRksgLT0ixHPQ,Q61012,geoId/05039,US,United States of America,AR,Arkansas,05039,Dallas County,US,USA,2,,,,,,,7307,3600,3707,800,909,801,807,771,1021,1074,702,422,1826746,33.976944,-92.673056,1731,74.2,,,10.17284,8.351852,12.864198,1.016,,6.135802,76.10897
US_AR_05039,2020-01-03,ChIJj3kvgkaQMoYRksgLT0ixHPQ,Q61012,geoId/05039,US,United States of America,AR,Arkansas,05039,Dallas County,US,USA,2,,,,,,,7307,3600,3707,800,909,801,807,771,1021,1074,702,422,1826746,33.976944,-92.673056,1731,74.2,,,13.814815,11.419753,16.907407,16.47825,,12.179012,89.924395
US_AR_05039,2020-01-04,ChIJj3kvgkaQMoYRksgLT0ixHPQ,Q61012,geoId/05039,US,United States of America,AR,Arkansas,05039,Dallas County,US,USA,2,,,,,,,7307,3600,3707,800,909,801,807,771,1021,1074,702,422,1826746,33.976944,-92.673056,1731,74.2,,,8.160494,2.401235,13.561728,1.04775,,0.263889,58.067535
US_AR_05039,2020-01-05,ChIJj3kvgkaQMoYRksgLT0ixHPQ,Q61012,geoId/05039,US,United States of America,AR,Arkansas,05039,Dallas County,US,USA,2,,,,,,,7307,3600,3707,800,909,801,807,771,1021,1074,702,422,1826746,33.976944,-92.673056,1731,74.2,,,6.45679,-2.160494,20.012346,0.0,,0.234568,64.951347
US_AR_05039,2020-01-06,ChIJj3kvgkaQMoYRksgLT0ixHPQ,Q61012,geoId/05039,US,United States of America,AR,Arkansas,05039,Dallas County,US,USA,2,,,,,,,7307,3600,3707,800,909,801,807,771,1021,1074,702,422,1826746,33.976944,-92.673056,1731,74.2,,,8.166667,1.209877,16.228395,0.0,,2.808642,69.191262
US_AR_05039,2020-01-07,ChIJj3kvgkaQMoYRksgLT0ixHPQ,Q61012,geoId/05039,US,United States of America,AR,Arkansas,05039,Dallas County,US,USA,2,,,,,,,7307,3600,3707,800,909,801,807,771,1021,1074,702,422,1826746,33.976944,-92.673056,1731,74.2,,,7.932099,1.407407,15.907407,0.0,,-1.277778,52.314638
US_AR_05039,2020-01-08,ChIJj3kvgkaQMoYRksgLT0ixHPQ,Q61012,geoId/05039,US,United States of America,AR,Arkansas,05039,Dallas County,US,USA,2,,,,,,,7307,3600,3707,800,909,801,807,771,1021,1074,702,422,1826746,33.976944,-92.673056,1731,74.2,,,6.080247,-2.438272,18.067901,0.0,,-1.932099,56.860202
US_AR_05039,2020-01-09,ChIJj3kvgkaQMoYRksgLT0ixHPQ,Q61012,geoId/05039,US,United States of America,AR,Arkansas,05039,Dallas County,US,USA,2,,,,,,,7307,3600,3707,800,909,801,807,771,1021,1074,702,422,1826746,33.976944,-92.673056,1731,74.2,,,11.074074,6.32716,16.993827,0.0,,4.728395,65.41073
US_AR_05039,2020-01-10,ChIJj3kvgkaQMoYRksgLT0ixHPQ,Q61012,geoId/05039,US,United States of America,AR,Arkansas,05039,Dallas County,US,USA,2,,,,,,,7307,3600,3707,800,909,801,807,771,1021,1074,702,422,1826746,33.976944,-92.673056,1731,74.2,,,17.617284,15.592593,20.407407,2.31775,,15.194444,85.149862
