location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_AL_01113,2020-01-01,ChIJ87jB5LPfjIgRp8-2hTWWOvI,Q503329,geoId/01113,US,United States of America,AL,Alabama,01113,Russell County,US,USA,2,,,,,,,56985,27423,29562,7934,7194,8070,7654,6995,7716,6242,3455,1725,1850809,32.286667,-85.193889,98,1677,72.8,,,,,3.67,5.83,9.5,4.83,10.83,7.33,6.0,,,5.33,4.67,,2.67,3.0,20.66,3.33,12.5,,5.5,3.0,7.0,2.5,2.5,,4.83,5.67,4.0,6.33,4.67,3.67,4.33,6.0,21.83,7.33,4.17,10.33,,3.17,3.17,2.33,4.67,37.99,,5.17,5.0,,3.0,6.0,3.83,6.0,4.17,4.17,2.83,,6.462963,-0.117284,15.320988,0.0,-1.4375,57.385837
US_AL_01113,2020-01-02,ChIJ87jB5LPfjIgRp8-2hTWWOvI,Q503329,geoId/01113,US,United States of America,AL,Alabama,01113,Russell County,US,USA,2,,,,,,,56985,27423,29562,7934,7194,8070,7654,6995,7716,6242,3455,1725,1850809,32.286667,-85.193889,98,1677,72.8,,,,,3.73,5.03,9.41,4.7,11.68,8.11,4.87,,3.08,6.65,5.84,,,3.24,24.33,4.22,16.06,3.57,6.49,2.6,10.87,4.22,,5.19,5.03,5.35,,2.43,4.7,7.46,2.76,9.57,32.27,6.65,3.08,9.24,2.6,4.7,3.73,3.24,3.41,44.12,,6.16,7.62,2.92,,6.0,7.3,6.0,4.22,,3.41,,10.666667,4.358025,16.882716,2.074333,6.263889,75.551876
US_AL_01113,2020-01-03,ChIJ87jB5LPfjIgRp8-2hTWWOvI,Q503329,geoId/01113,US,United States of America,AL,Alabama,01113,Russell County,US,USA,2,,,,,,,56985,27423,29562,7934,7194,8070,7654,6995,7716,6242,3455,1725,1850809,32.286667,-85.193889,98,1677,72.8,,,,,2.89,5.29,9.62,3.05,10.58,6.09,4.65,,3.05,6.09,5.13,3.05,,4.81,18.92,3.85,11.06,3.85,4.01,2.89,9.62,4.17,2.4,3.05,4.01,5.77,,5.13,6.25,5.45,,7.05,25.65,7.21,,8.82,4.17,3.69,3.53,3.37,6.89,42.17,4.17,4.33,8.18,2.89,,6.09,4.81,4.17,4.33,4.01,5.93,2.25,19.598765,13.216049,23.598765,11.895667,17.993056,91.32597
US_AL_01113,2020-01-04,ChIJ87jB5LPfjIgRp8-2hTWWOvI,Q503329,geoId/01113,US,United States of America,AL,Alabama,01113,Russell County,US,USA,2,,,,,,,56985,27423,29562,7934,7194,8070,7654,6995,7716,6242,3455,1725,1850809,32.286667,-85.193889,98,1677,72.8,,,,,5.26,5.92,11.34,5.26,9.04,8.22,3.78,,3.29,4.11,3.29,,,3.62,19.72,5.75,11.34,5.09,3.45,2.79,9.37,3.94,,3.78,5.75,4.6,,4.27,5.92,4.11,4.11,7.89,28.43,5.26,,5.92,,,3.78,3.45,4.44,41.08,3.62,4.27,7.23,,,5.09,5.09,7.56,3.45,2.79,4.11,2.96,14.740741,10.222222,18.135802,23.325667,10.666667,76.467109
US_AL_01113,2020-01-05,ChIJ87jB5LPfjIgRp8-2hTWWOvI,Q503329,geoId/01113,US,United States of America,AL,Alabama,01113,Russell County,US,USA,2,,,,,,,56985,27423,29562,7934,7194,8070,7654,6995,7716,6242,3455,1725,1850809,32.286667,-85.193889,98,1677,72.8,,,,,3.58,4.89,9.45,2.93,8.31,7.0,6.35,,2.61,7.66,3.42,4.72,,3.91,15.64,5.87,7.98,4.07,3.42,3.91,8.8,3.58,,5.54,5.87,3.75,3.91,6.52,7.98,7.0,3.26,7.33,22.32,5.7,3.91,9.94,,3.75,6.03,,3.91,41.87,3.26,3.91,4.89,2.61,,6.84,3.42,6.19,6.68,3.1,3.1,3.58,6.271605,-0.734568,14.487654,0.197556,-1.618056,57.266569
US_AL_01113,2020-01-06,ChIJ87jB5LPfjIgRp8-2hTWWOvI,Q503329,geoId/01113,US,United States of America,AL,Alabama,01113,Russell County,US,USA,2,,,,,,,56985,27423,29562,7934,7194,8070,7654,6995,7716,6242,3455,1725,1850809,32.286667,-85.193889,98,1677,72.8,,,,,4.53,6.63,10.19,4.53,8.57,6.63,4.69,,2.91,4.85,3.88,3.88,3.56,4.2,20.21,4.37,9.86,4.53,4.69,,11.64,3.4,,,6.63,4.37,3.56,4.04,5.66,7.11,4.04,9.54,29.59,5.82,4.37,9.38,2.75,3.4,4.37,2.75,6.79,42.2,,3.23,7.92,3.07,,5.66,5.01,8.73,5.66,4.37,3.07,2.26,7.919753,0.580247,18.623457,0.0,2.958333,70.96956
US_AL_01113,2020-01-07,ChIJ87jB5LPfjIgRp8-2hTWWOvI,Q503329,geoId/01113,US,United States of America,AL,Alabama,01113,Russell County,US,USA,2,,,,,,,56985,27423,29562,7934,7194,8070,7654,6995,7716,6242,3455,1725,1850809,32.286667,-85.193889,98,1677,72.8,,,,,2.85,3.99,4.56,3.13,11.25,10.39,5.84,3.56,4.84,5.55,1.99,3.42,2.71,3.7,15.09,4.41,8.26,2.85,4.13,,9.68,3.27,,3.13,4.84,4.41,3.27,4.41,5.27,4.98,2.85,8.4,25.2,5.98,3.84,8.4,3.42,4.13,4.56,2.56,5.27,37.44,,4.7,5.84,3.13,,5.27,5.12,4.13,3.56,2.56,3.84,2.28,11.209877,5.092593,17.0,0.03175,4.277778,62.852181
US_AL_01113,2020-01-08,ChIJ87jB5LPfjIgRp8-2hTWWOvI,Q503329,geoId/01113,US,United States of America,AL,Alabama,01113,Russell County,US,USA,2,,,,,,,56985,27423,29562,7934,7194,8070,7654,6995,7716,6242,3455,1725,1850809,32.286667,-85.193889,98,1677,72.8,,,,,3.28,5.84,7.41,2.99,10.25,7.41,5.84,2.56,5.98,6.41,6.27,3.56,2.28,3.99,15.67,4.13,11.25,3.13,5.27,2.56,6.41,3.28,4.56,2.99,4.27,4.99,2.42,4.13,5.13,3.56,2.28,7.69,36.03,5.7,3.28,6.55,2.99,4.13,4.27,3.28,3.85,37.17,2.56,3.99,17.66,3.99,2.85,4.7,3.85,4.27,4.42,3.7,4.99,1.99,7.296296,-0.851852,17.623457,0.0,-2.229167,51.423762
US_AL_01113,2020-01-09,ChIJ87jB5LPfjIgRp8-2hTWWOvI,Q503329,geoId/01113,US,United States of America,AL,Alabama,01113,Russell County,US,USA,2,,,,,,,56985,27423,29562,7934,7194,8070,7654,6995,7716,6242,3455,1725,1850809,32.286667,-85.193889,98,1677,72.8,,,,,3.03,5.33,7.78,,9.08,8.21,5.33,2.31,5.19,5.62,3.46,2.31,,2.88,17.72,4.32,11.82,3.17,4.47,,8.21,3.6,4.18,4.04,8.79,7.21,2.31,4.32,5.33,4.18,2.74,9.37,33.14,5.33,5.62,7.64,2.45,2.74,4.9,2.74,5.19,36.89,2.88,4.75,14.12,3.75,2.31,6.2,5.33,6.34,4.32,4.61,4.32,2.74,8.037037,-0.209877,18.932099,0.0,1.125,62.855207
US_AL_01113,2020-01-10,ChIJ87jB5LPfjIgRp8-2hTWWOvI,Q503329,geoId/01113,US,United States of America,AL,Alabama,01113,Russell County,US,USA,2,,,,,,,56985,27423,29562,7934,7194,8070,7654,6995,7716,6242,3455,1725,1850809,32.286667,-85.193889,98,1677,72.8,,,,,2.11,3.93,4.77,,8.43,7.72,5.48,2.53,,4.21,3.79,2.39,,3.37,13.9,2.39,9.69,4.92,4.49,3.23,8.0,3.65,3.09,2.81,4.49,5.2,1.97,4.92,5.62,3.37,3.79,7.3,29.63,3.51,3.37,5.2,2.11,4.21,3.93,,5.76,38.33,,3.37,6.88,1.97,1.97,5.76,4.77,5.34,4.49,3.65,3.51,2.25,16.82716,12.567901,22.376543,0.0,11.506944,71.384375
