location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MO_29207,2020-01-01,ChIJkwsEpPdzeIgRwPs8LT1k6wA,Q497646,geoId/29207,US,United States of America,MO,Missouri,29207,Stoddard County,US,USA,2,,,,,,,29364,14500,14864,3434,3653,3386,3510,3599,4027,3671,2505,1579,1180521,36.86,-89.95,2147,75.35,,,,,9.83,8.65,11.8,,6.69,16.52,10.62,,5.9,9.44,29.11,8.26,7.08,7.08,42.09,,,4.635802,-0.962963,11.882716,0.0,,-2.388889,60.573094
US_MO_29207,2020-01-02,ChIJkwsEpPdzeIgRwPs8LT1k6wA,Q497646,geoId/29207,US,United States of America,MO,Missouri,29207,Stoddard County,US,USA,2,,,,,,,29364,14500,14864,3434,3653,3386,3510,3599,4027,3671,2505,1579,1180521,36.86,-89.95,2147,75.35,,,,,8.14,12.04,6.37,6.73,7.79,16.99,7.08,12.74,,5.66,26.9,4.96,,,43.89,6.73,5.66,9.155556,6.461111,11.155556,0.296333,,4.211111,71.574272
US_MO_29207,2020-01-03,ChIJkwsEpPdzeIgRwPs8LT1k6wA,Q497646,geoId/29207,US,United States of America,MO,Missouri,29207,Stoddard County,US,USA,2,,,,,,,29364,14500,14864,3434,3653,3386,3510,3599,4027,3671,2505,1579,1180521,36.86,-89.95,2147,75.35,,,,,8.7,11.96,8.34,7.61,8.7,18.85,11.24,9.06,8.34,,31.18,6.89,6.16,7.25,47.86,6.89,7.25,11.177778,9.5,12.644444,10.414,,10.561111,96.030583
US_MO_29207,2020-01-04,ChIJkwsEpPdzeIgRwPs8LT1k6wA,Q497646,geoId/29207,US,United States of America,MO,Missouri,29207,Stoddard County,US,USA,2,,,,,,,29364,14500,14864,3434,3653,3386,3510,3599,4027,3671,2505,1579,1180521,36.86,-89.95,2147,75.35,,,,,5.78,11.56,,,5.39,15.03,10.79,8.48,5.39,7.32,24.66,,9.63,,44.32,10.02,10.4,5.104938,1.475309,9.907407,0.889,,1.419753,77.241622
US_MO_29207,2020-01-05,ChIJkwsEpPdzeIgRwPs8LT1k6wA,Q497646,geoId/29207,US,United States of America,MO,Missouri,29207,Stoddard County,US,USA,2,,,,,,,29364,14500,14864,3434,3653,3386,3510,3599,4027,3671,2505,1579,1180521,36.86,-89.95,2147,75.35,,,,,,9.31,9.7,6.6,,22.12,11.26,7.76,,8.15,29.5,,8.15,,41.92,5.82,6.99,4.049383,-1.438272,13.685185,0.0,,0.123457,75.724809
US_MO_29207,2020-01-06,ChIJkwsEpPdzeIgRwPs8LT1k6wA,Q497646,geoId/29207,US,United States of America,MO,Missouri,29207,Stoddard County,US,USA,2,,,,,,,29364,14500,14864,3434,3653,3386,3510,3599,4027,3671,2505,1579,1180521,36.86,-89.95,2147,75.35,,,,,13.16,11.14,7.09,7.76,,19.24,12.83,7.43,6.08,11.81,29.03,6.08,,,41.18,8.44,5.74,5.811111,-0.605556,11.027778,0.0,,-0.422222,64.487081
US_MO_29207,2020-01-07,ChIJkwsEpPdzeIgRwPs8LT1k6wA,Q497646,geoId/29207,US,United States of America,MO,Missouri,29207,Stoddard County,US,USA,2,,,,,,,29364,14500,14864,3434,3653,3386,3510,3599,4027,3671,2505,1579,1180521,36.86,-89.95,2147,75.35,,,,,7.46,13.68,7.46,4.97,6.22,15.86,8.39,15.55,,,27.36,6.84,9.95,4.35,37.62,6.84,,5.783333,0.061111,11.572222,0.0,,-1.505556,59.745074
US_MO_29207,2020-01-08,ChIJkwsEpPdzeIgRwPs8LT1k6wA,Q497646,geoId/29207,US,United States of America,MO,Missouri,29207,Stoddard County,US,USA,2,,,,,,,29364,14500,14864,3434,3653,3386,3510,3599,4027,3671,2505,1579,1180521,36.86,-89.95,2147,75.35,,,,,11.19,8.16,8.77,5.75,5.14,12.1,12.7,7.86,,7.56,28.73,6.35,6.05,6.65,30.54,6.35,4.23,6.005556,-0.866667,13.061111,0.0,,-1.766667,57.836778
US_MO_29207,2020-01-09,ChIJkwsEpPdzeIgRwPs8LT1k6wA,Q497646,geoId/29207,US,United States of America,MO,Missouri,29207,Stoddard County,US,USA,2,,,,,,,29364,14500,14864,3434,3653,3386,3510,3599,4027,3671,2505,1579,1180521,36.86,-89.95,2147,75.35,,,,,7.6,8.21,,7.6,7.6,10.33,6.99,10.64,,9.42,26.13,8.81,5.77,5.77,38.29,7.9,7.9,9.8,4.288889,15.15,0.042333,,1.8,57.90705
US_MO_29207,2020-01-10,ChIJkwsEpPdzeIgRwPs8LT1k6wA,Q497646,geoId/29207,US,United States of America,MO,Missouri,29207,Stoddard County,US,USA,2,,,,,,,29364,14500,14864,3434,3653,3386,3510,3599,4027,3671,2505,1579,1180521,36.86,-89.95,2147,75.35,,,,,7.64,8.23,4.7,8.82,9.4,17.05,4.12,9.7,5.88,5.88,23.22,9.11,7.64,9.4,34.09,6.76,4.41,15.0,12.072222,16.761111,7.789333,,11.605556,80.360469
