location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_GA_13055,2020-01-01,ChIJ7a3KrTMjYIgR8GMTa9-uDss,Q486179,geoId/13055,US,United States of America,GA,Georgia,13055,Chattooga County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24746,12692,12054,3001,3096,3173,2989,3233,3334,3049,1882,989,1059837,34.48,-85.35,812,72.9,,,,,10.97,10.97,,8.68,16.91,7.77,,22.39,,8.22,37.47,,,4.238889,-1.883333,12.172222,0.0,,-3.02381,57.134409
US_GA_13055,2020-01-02,ChIJ7a3KrTMjYIgR8GMTa9-uDss,Q486179,geoId/13055,US,United States of America,GA,Georgia,13055,Chattooga County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24746,12692,12054,3001,3096,3173,2989,3233,3334,3049,1882,989,1059837,34.48,-85.35,812,72.9,,,,,11.51,12.83,6.64,7.52,22.12,15.93,8.85,29.65,,12.39,44.69,7.52,7.08,7.277778,3.372222,10.894444,0.0,,3.365079,75.732115
US_GA_13055,2020-01-03,ChIJ7a3KrTMjYIgR8GMTa9-uDss,Q486179,geoId/13055,US,United States of America,GA,Georgia,13055,Chattooga County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24746,12692,12054,3001,3096,3173,2989,3233,3334,3049,1882,989,1059837,34.48,-85.35,812,72.9,,,,,,11.1,,9.32,14.65,7.99,,25.75,,9.32,35.96,,,12.344444,8.494444,14.9,47.625,,11.896825,94.986093
US_GA_13055,2020-01-04,ChIJ7a3KrTMjYIgR8GMTa9-uDss,Q486179,geoId/13055,US,United States of America,GA,Georgia,13055,Chattooga County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24746,12692,12054,3001,3096,3173,2989,3233,3334,3049,1882,989,1059837,34.48,-85.35,812,72.9,,,,,13.12,9.37,9.37,,20.61,13.12,7.03,33.72,,,42.16,,,11.483333,4.272222,14.35,12.319,,8.119048,77.940464
US_GA_13055,2020-01-05,ChIJ7a3KrTMjYIgR8GMTa9-uDss,Q486179,geoId/13055,US,United States of America,GA,Georgia,13055,Chattooga County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24746,12692,12054,3001,3096,3173,2989,3233,3334,3049,1882,989,1059837,34.48,-85.35,812,72.9,,,,,8.45,9.86,,10.33,14.55,8.92,11.27,26.76,7.98,13.15,43.19,,,3.772222,-1.833333,11.983333,0.5842,,-2.238095,63.128109
US_GA_13055,2020-01-06,ChIJ7a3KrTMjYIgR8GMTa9-uDss,Q486179,geoId/13055,US,United States of America,GA,Georgia,13055,Chattooga County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24746,12692,12054,3001,3096,3173,2989,3233,3334,3049,1882,989,1059837,34.48,-85.35,812,72.9,,,,,8.42,8.42,9.68,,8.0,11.37,,24.84,6.74,9.68,41.68,7.58,6.74,5.566667,-0.866667,15.344444,0.0,,0.81746,70.414235
US_GA_13055,2020-01-07,ChIJ7a3KrTMjYIgR8GMTa9-uDss,Q486179,geoId/13055,US,United States of America,GA,Georgia,13055,Chattooga County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24746,12692,12054,3001,3096,3173,2989,3233,3334,3049,1882,989,1059837,34.48,-85.35,812,72.9,,,,,8.66,,5.51,5.9,11.02,9.05,12.98,23.21,8.26,7.08,41.31,6.29,,9.772222,3.516667,13.527778,0.804333,,2.269841,59.376154
US_GA_13055,2020-01-08,ChIJ7a3KrTMjYIgR8GMTa9-uDss,Q486179,geoId/13055,US,United States of America,GA,Georgia,13055,Chattooga County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24746,12692,12054,3001,3096,3173,2989,3233,3334,3049,1882,989,1059837,34.48,-85.35,812,72.9,,,,,8.61,9.0,7.04,7.04,14.09,9.39,6.65,36.0,6.26,8.22,43.83,11.74,6.65,5.277778,-2.444444,15.655556,0.5334,,-2.68254,54.925032
US_GA_13055,2020-01-09,ChIJ7a3KrTMjYIgR8GMTa9-uDss,Q486179,geoId/13055,US,United States of America,GA,Georgia,13055,Chattooga County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24746,12692,12054,3001,3096,3173,2989,3233,3334,3049,1882,989,1059837,34.48,-85.35,812,72.9,,,,,,9.59,8.82,,11.51,16.49,7.67,27.61,,8.44,40.27,13.81,5.37,6.488889,-1.005556,16.55,0.0,,-1.428571,56.50705
US_GA_13055,2020-01-10,ChIJ7a3KrTMjYIgR8GMTa9-uDss,Q486179,geoId/13055,US,United States of America,GA,Georgia,13055,Chattooga County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24746,12692,12054,3001,3096,3173,2989,3233,3334,3049,1882,989,1059837,34.48,-85.35,812,72.9,,,,,5.72,,5.34,,11.06,5.34,9.15,23.26,7.25,6.48,35.46,9.53,,14.788889,12.333333,18.005556,0.0,,7.444444,60.30236
