location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WV_54077,2020-01-01,ChIJs6-7lb2hSogRV66gPet-6L0,Q495157,geoId/54077,US,United States of America,WV,West Virginia,54077,Preston County,US,USA,2,,,,,,,33826,17392,16434,3650,3484,4140,4325,4459,4807,4728,2837,1396,1245076,39.47,-79.67,526,1687,77.0625,,,,,15.02,9.48,8.3,13.44,7.9,21.74,,31.62,,1.425926,-0.660494,4.5,0.036286,,-4.791667,61.548341
US_WV_54077,2020-01-02,ChIJs6-7lb2hSogRV66gPet-6L0,Q495157,geoId/54077,US,United States of America,WV,West Virginia,54077,Preston County,US,USA,2,,,,,,,33826,17392,16434,3650,3484,4140,4325,4459,4807,4728,2837,1396,1245076,39.47,-79.67,526,1687,77.0625,,,,,,12.15,7.54,18.85,6.7,35.61,,38.55,8.8,2.759259,-2.981481,11.049383,0.0,,-4.333333,59.366317
US_WV_54077,2020-01-03,ChIJs6-7lb2hSogRV66gPet-6L0,Q495157,geoId/54077,US,United States of America,WV,West Virginia,54077,Preston County,US,USA,2,,,,,,,33826,17392,16434,3650,3484,4140,4325,4459,4807,4728,2837,1396,1245076,39.47,-79.67,526,1687,77.0625,,,,,10.46,9.2,,18.82,6.27,24.26,7.11,36.39,,9.907407,6.932099,11.41358,4.172857,,8.409722,89.180486
US_WV_54077,2020-01-04,ChIJs6-7lb2hSogRV66gPet-6L0,Q495157,geoId/54077,US,United States of America,WV,West Virginia,54077,Preston County,US,USA,2,,,,,,,33826,17392,16434,3650,3484,4140,4325,4459,4807,4728,2837,1396,1245076,39.47,-79.67,526,1687,77.0625,,,,,6.38,8.38,,16.76,9.18,22.34,6.78,42.69,10.37,8.895062,3.469136,13.407407,8.817429,,7.513889,89.870895
US_WV_54077,2020-01-05,ChIJs6-7lb2hSogRV66gPet-6L0,Q495157,geoId/54077,US,United States of America,WV,West Virginia,54077,Preston County,US,USA,2,,,,,,,33826,17392,16434,3650,3484,4140,4325,4459,4807,4728,2837,1396,1245076,39.47,-79.67,526,1687,77.0625,,,,,6.88,9.72,8.1,13.36,10.93,29.15,,36.04,7.69,1.283951,-0.592593,5.111111,6.096,,-1.236111,79.67057
US_WV_54077,2020-01-06,ChIJs6-7lb2hSogRV66gPet-6L0,Q495157,geoId/54077,US,United States of America,WV,West Virginia,54077,Preston County,US,USA,2,,,,,,,33826,17392,16434,3650,3484,4140,4325,4459,4807,4728,2837,1396,1245076,39.47,-79.67,526,1687,77.0625,,,,,10.91,10.91,9.6,10.91,12.66,31.87,,28.81,,3.635802,-2.160494,6.648148,0.705556,,-2.673611,61.23269
US_WV_54077,2020-01-07,ChIJs6-7lb2hSogRV66gPet-6L0,Q495157,geoId/54077,US,United States of America,WV,West Virginia,54077,Preston County,US,USA,2,,,,,,,33826,17392,16434,3650,3484,4140,4325,4459,4807,4728,2837,1396,1245076,39.47,-79.67,526,1687,77.0625,,,,,,7.27,7.7,16.26,11.12,28.67,7.7,38.08,,-1.62963,-5.314815,3.660494,0.580571,,-4.590278,78.806081
US_WV_54077,2020-01-08,ChIJs6-7lb2hSogRV66gPet-6L0,Q495157,geoId/54077,US,United States of America,WV,West Virginia,54077,Preston County,US,USA,2,,,,,,,33826,17392,16434,3650,3484,4140,4325,4459,4807,4728,2837,1396,1245076,39.47,-79.67,526,1687,77.0625,,,,,7.71,9.42,,16.7,11.13,28.26,10.28,42.39,9.42,0.067901,-5.475309,2.055556,2.902857,,-6.597222,59.433093
US_WV_54077,2020-01-09,ChIJs6-7lb2hSogRV66gPet-6L0,Q495157,geoId/54077,US,United States of America,WV,West Virginia,54077,Preston County,US,USA,2,,,,,,,33826,17392,16434,3650,3484,4140,4325,4459,4807,4728,2837,1396,1245076,39.47,-79.67,526,1687,77.0625,,,,,8.45,7.56,8.01,16.01,8.45,30.25,,38.25,,-2.197531,-9.259259,8.111111,0.056444,99.06,-9.840278,55.613325
US_WV_54077,2020-01-10,ChIJs6-7lb2hSogRV66gPet-6L0,Q495157,geoId/54077,US,United States of America,WV,West Virginia,54077,Preston County,US,USA,2,,,,,,,33826,17392,16434,3650,3484,4140,4325,4459,4807,4728,2837,1396,1245076,39.47,-79.67,526,1687,77.0625,,,,,7.94,8.38,7.05,14.11,9.7,25.13,6.61,45.42,,8.191358,2.006173,15.820988,0.0,78.74,-0.409722,54.700448
