location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_VA_51065,2020-01-11,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,5.66,8.66,9.32,8.99,6.99,6.99,18.31,12.65,,6.66,4.66,,4.66,7.99,23.64,6.33,6.33,6.33,44.62,10.99,5.33,14.15,9.538889,20.116667,0.127,11.407407,82.163304
US_VA_51065,2020-01-12,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,,10.76,10.11,9.46,6.85,,11.74,5.22,,7.83,,,5.22,8.15,26.42,5.22,9.13,6.2,39.79,5.87,4.57,18.1,9.805556,20.711111,13.179778,11.623457,65.315548
US_VA_51065,2020-01-13,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,6.8,8.34,7.73,8.34,9.58,4.64,9.89,6.8,4.95,6.49,5.25,,7.42,9.27,21.94,10.2,9.27,6.18,44.81,,4.95,9.166667,5.561111,15.777778,2.8194,5.444444,77.72946
US_VA_51065,2020-01-14,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,6.42,5.54,13.71,8.75,7.0,,13.42,7.88,8.46,6.42,6.13,7.29,4.08,6.42,23.34,5.25,5.83,4.08,32.96,5.54,6.13,7.572222,4.85,11.361111,7.958667,6.814815,94.634048
US_VA_51065,2020-01-15,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,,5.77,8.08,5.77,5.77,,8.95,5.2,6.06,9.52,8.37,,,6.93,17.6,4.04,4.33,5.2,35.5,,6.35,8.972222,5.044444,13.405556,1.8796,7.548611,90.977285
US_VA_51065,2020-01-16,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,,8.0,9.48,7.41,,4.15,11.55,,6.22,8.89,4.74,,6.22,7.11,19.55,4.15,,,32.88,,4.74,11.416667,6.005556,15.233333,0.0762,3.037037,56.850957
US_VA_51065,2020-01-17,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,5.56,6.44,10.24,8.48,4.97,7.02,10.82,6.73,,4.97,5.85,4.97,4.39,7.02,16.68,8.19,6.73,5.27,32.47,6.73,,1.705556,-2.111111,7.8,0.0,-9.858025,41.735414
US_VA_51065,2020-01-18,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,5.28,7.91,9.23,12.2,4.95,5.93,8.9,8.9,4.62,8.24,,7.58,,,20.11,5.28,7.25,,38.57,7.25,4.95,-0.905556,-3.872222,3.305556,1.42875,-5.975309,68.146746
US_VA_51065,2020-01-19,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,8.77,9.42,12.34,8.12,4.87,5.2,12.34,10.71,,9.09,4.87,7.14,6.17,8.77,20.13,,7.14,,40.91,,7.14,5.45,-1.505556,9.694444,1.2954,-0.648148,64.599596
US_VA_51065,2020-01-20,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,6.04,8.73,7.39,7.05,6.38,8.06,18.8,7.39,6.71,10.74,6.38,,8.73,8.06,24.84,7.05,,7.39,47.67,5.04,8.39,-1.805556,-5.927778,4.061111,0.0,-11.777778,46.046062
US_VA_51065,2020-01-21,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,,8.36,9.56,7.76,4.48,4.78,14.93,9.26,4.78,7.17,6.27,,7.76,9.86,24.19,5.97,6.87,6.27,38.23,4.48,6.87,-3.022222,-7.727778,2.266667,0.0,-11.623457,51.055956
US_VA_51065,2020-01-22,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,,8.46,10.21,4.96,4.08,,11.67,8.17,6.71,5.25,6.71,,6.71,6.13,31.21,5.83,9.63,7.29,31.51,8.46,5.25,-2.605556,-9.088889,4.933333,0.0,-10.0,56.908866
US_VA_51065,2020-01-23,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,5.35,8.91,7.43,8.32,5.35,6.24,12.78,5.94,8.62,8.32,4.46,,6.83,6.54,30.31,5.35,7.13,6.24,38.33,4.16,,-1.383333,-7.455556,6.883333,0.0,-7.333333,65.56116
US_VA_51065,2020-01-24,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,,7.02,8.78,5.85,6.44,5.85,20.48,7.61,,8.49,,4.68,8.49,4.1,30.73,,7.32,,37.75,4.68,7.02,4.15,-2.983333,10.9,0.036286,-0.148148,73.009748
US_VA_51065,2020-01-25,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,12.05,8.26,10.67,,5.16,6.2,21.0,9.29,5.51,8.61,,,7.57,6.88,30.64,5.51,6.2,6.2,40.62,,5.85,9.927778,4.738889,13.0,28.899556,7.82716,86.004323
US_VA_51065,2020-01-26,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,4.73,8.84,8.84,5.36,5.68,8.52,35.66,6.0,5.68,7.89,6.31,5.05,,6.63,43.86,9.78,6.0,4.42,39.76,5.05,5.36,4.538889,-0.855556,11.855556,6.6802,-0.814815,68.591142
US_VA_51065,2020-01-27,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,6.49,5.31,6.49,8.84,,4.13,23.88,8.26,,10.32,8.26,10.91,,4.42,42.16,8.55,5.01,4.42,35.08,9.14,6.49,4.216667,-1.444444,10.966667,0.0254,-1.734568,65.659276
US_VA_51065,2020-01-28,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,4.53,7.85,6.64,9.06,,5.74,22.65,9.97,6.64,9.66,5.74,,,6.95,35.94,5.44,,,36.24,6.95,7.25,5.572222,0.2,9.794444,0.0,-2.228395,56.920708
US_VA_51065,2020-01-29,ChIJc2AoKJzts4kRojIwpl3krqM,Q502014,geoId/51065,US,United States of America,VA,Virginia,51065,Fluvanna County,US,USA,2,,,,,,,26480,12049,14431,2701,3168,2832,3317,3494,3913,3548,2366,1141,2534177,37.84,-78.28,752,80.0,,,,,,7.7,10.78,11.71,,8.32,27.11,8.63,4.62,6.16,7.09,4.93,,10.78,29.27,4.62,,5.55,36.66,10.17,7.09,2.877778,-1.238889,8.133333,0.0,-3.37037,63.895218
