location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_transit_stations,mobility_workplaces,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_NM_35023,2020-01-01,ChIJxcpqqxUN2YYRCZLV8w7cpRA,Q489613,geoId/35023,US,United States of America,NM,New Mexico,35023,Hidalgo County,US,USA,2,,,,,,,4298,2144,2154,580,519,525,423,410,626,597,374,244,1832196,31.92,-108.71,8925,79.75,,,,4.209877,-2.95679,13.277778,0.0,-2.986111,59.64107
US_NM_35023,2020-01-02,ChIJxcpqqxUN2YYRCZLV8w7cpRA,Q489613,geoId/35023,US,United States of America,NM,New Mexico,35023,Hidalgo County,US,USA,2,,,,,,,4298,2144,2154,580,519,525,423,410,626,597,374,244,1832196,31.92,-108.71,8925,79.75,,,,6.376543,-0.95679,12.617284,0.169333,-1.263889,57.606261
US_NM_35023,2020-01-03,ChIJxcpqqxUN2YYRCZLV8w7cpRA,Q489613,geoId/35023,US,United States of America,NM,New Mexico,35023,Hidalgo County,US,USA,2,,,,,,,4298,2144,2154,580,519,525,423,410,626,597,374,244,1832196,31.92,-108.71,8925,79.75,,,,3.419753,-4.771605,12.296296,0.197556,-5.569444,51.732671
US_NM_35023,2020-01-04,ChIJxcpqqxUN2YYRCZLV8w7cpRA,Q489613,geoId/35023,US,United States of America,NM,New Mexico,35023,Hidalgo County,US,USA,2,,,,,,,4298,2144,2154,580,519,525,423,410,626,597,374,244,1832196,31.92,-108.71,8925,79.75,,,,4.462963,-4.222222,15.932099,0.0,-6.076389,47.533506
US_NM_35023,2020-01-05,ChIJxcpqqxUN2YYRCZLV8w7cpRA,Q489613,geoId/35023,US,United States of America,NM,New Mexico,35023,Hidalgo County,US,USA,2,,,,,,,4298,2144,2154,580,519,525,423,410,626,597,374,244,1832196,31.92,-108.71,8925,79.75,,,,7.32716,-2.839506,19.32716,0.0,-4.777778,43.183865
US_NM_35023,2020-01-06,ChIJxcpqqxUN2YYRCZLV8w7cpRA,Q489613,geoId/35023,US,United States of America,NM,New Mexico,35023,Hidalgo County,US,USA,2,,,,,,,4298,2144,2154,580,519,525,423,410,626,597,374,244,1832196,31.92,-108.71,8925,79.75,,,,7.728395,-2.487654,19.216049,0.0,-5.506944,38.693364
US_NM_35023,2020-01-07,ChIJxcpqqxUN2YYRCZLV8w7cpRA,Q489613,geoId/35023,US,United States of America,NM,New Mexico,35023,Hidalgo County,US,USA,2,,,,,,,4298,2144,2154,580,519,525,423,410,626,597,374,244,1832196,31.92,-108.71,8925,79.75,,,,5.759259,-4.234568,16.944444,0.0,-10.952381,28.987916
US_NM_35023,2020-01-08,ChIJxcpqqxUN2YYRCZLV8w7cpRA,Q489613,geoId/35023,US,United States of America,NM,New Mexico,35023,Hidalgo County,US,USA,2,,,,,,,4298,2144,2154,580,519,525,423,410,626,597,374,244,1832196,31.92,-108.71,8925,79.75,,,,5.808642,-3.783951,17.67284,0.0,-9.083333,33.86211
US_NM_35023,2020-01-09,ChIJxcpqqxUN2YYRCZLV8w7cpRA,Q489613,geoId/35023,US,United States of America,NM,New Mexico,35023,Hidalgo County,US,USA,2,,,,,,,4298,2144,2154,580,519,525,423,410,626,597,374,244,1832196,31.92,-108.71,8925,79.75,,,,8.08642,-1.148148,17.703704,0.0,-7.708333,32.934663
US_NM_35023,2020-01-10,ChIJxcpqqxUN2YYRCZLV8w7cpRA,Q489613,geoId/35023,US,United States of America,NM,New Mexico,35023,Hidalgo County,US,USA,2,,,,,,,4298,2144,2154,580,519,525,423,410,626,597,374,244,1832196,31.92,-108.71,8925,79.75,,,,6.228395,-0.722222,15.888889,0.479778,-3.173611,50.935901
