location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_paresthesia,search_trends_perspiration,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KY_21199,2020-01-01,ChIJq-RDKfrIQogRSTapYRjXqOQ,Q506309,geoId/21199,US,United States of America,KY,Kentucky,21199,Pulaski County,US,USA,2,,,,,,,64314,31376,32938,7670,8022,7379,7486,8272,9136,8303,5456,2590,1846579,37.1,-84.58,1754,74.784615,,,,,3.35,5.33,9.91,7.32,13.57,2.29,7.93,6.1,,2.9,6.25,4.42,2.74,3.66,2.74,4.72,24.39,3.35,12.96,3.51,3.51,4.57,2.44,10.37,5.03,2.44,3.05,6.55,6.71,2.9,5.79,5.33,,5.79,2.29,4.12,8.99,31.09,7.32,3.96,8.54,3.2,4.42,6.25,3.51,3.96,7.32,44.51,,,2.44,3.51,7.47,4.57,2.29,3.05,7.32,5.33,6.55,2.9,5.95,2.74,,4.938272,-0.049383,9.512346,0.0,,-2.697531,57.964693
US_KY_21199,2020-01-02,ChIJq-RDKfrIQogRSTapYRjXqOQ,Q506309,geoId/21199,US,United States of America,KY,Kentucky,21199,Pulaski County,US,USA,2,,,,,,,64314,31376,32938,7670,8022,7379,7486,8272,9136,8303,5456,2590,1846579,37.1,-84.58,1754,74.784615,,,,,3.46,7.36,8.52,6.06,13.42,2.17,10.25,6.64,2.17,4.19,9.67,4.62,2.6,,,4.33,24.39,4.91,16.46,4.47,2.17,4.47,2.31,12.41,6.35,5.34,4.76,5.92,5.49,2.02,4.47,6.35,2.6,5.2,,3.75,13.42,30.89,6.93,5.34,7.07,4.04,6.35,5.2,3.32,2.74,9.24,50.09,4.47,2.6,,5.63,8.08,2.74,3.46,3.9,4.76,7.65,6.5,3.61,5.63,4.19,2.74,5.611111,0.679012,9.432099,1.651,,-0.462963,65.420021
US_KY_21199,2020-01-03,ChIJq-RDKfrIQogRSTapYRjXqOQ,Q506309,geoId/21199,US,United States of America,KY,Kentucky,21199,Pulaski County,US,USA,2,,,,,,,64314,31376,32938,7670,8022,7379,7486,8272,9136,8303,5456,2590,1846579,37.1,-84.58,1754,74.784615,,,,,4.69,6.12,8.96,4.98,11.09,,6.4,6.4,2.7,3.27,6.68,4.55,2.99,4.12,,4.12,21.76,5.4,12.37,3.56,,6.12,,12.23,6.4,4.27,3.84,6.4,5.55,4.41,6.26,2.84,,6.26,1.99,5.12,10.81,36.69,8.67,5.55,6.83,3.41,5.69,5.83,2.99,2.84,5.26,48.92,2.27,2.27,,5.97,6.83,3.27,5.26,3.84,5.12,5.26,7.11,3.56,5.26,3.98,,10.117284,6.808642,12.450617,11.514667,,9.641975,96.998738
US_KY_21199,2020-01-04,ChIJq-RDKfrIQogRSTapYRjXqOQ,Q506309,geoId/21199,US,United States of America,KY,Kentucky,21199,Pulaski County,US,USA,2,,,,,,,64314,31376,32938,7670,8022,7379,7486,8272,9136,8303,5456,2590,1846579,37.1,-84.58,1754,74.784615,,,,,2.85,6.75,11.25,4.65,11.1,,8.1,6.6,,3.75,6.75,5.4,3.9,3.0,,2.7,20.39,5.25,12.0,4.35,3.0,6.45,2.7,10.5,9.6,3.0,4.95,8.1,4.5,3.45,4.95,5.1,,7.05,3.0,2.1,10.8,35.99,6.6,3.3,8.1,4.65,5.25,6.0,,2.25,4.2,44.09,2.55,,3.0,2.25,8.1,3.15,4.95,3.3,5.85,4.65,4.65,3.75,4.2,3.15,,8.17284,1.555556,12.87037,5.545667,,6.382716,88.616802
US_KY_21199,2020-01-05,ChIJq-RDKfrIQogRSTapYRjXqOQ,Q506309,geoId/21199,US,United States of America,KY,Kentucky,21199,Pulaski County,US,USA,2,,,,,,,64314,31376,32938,7670,8022,7379,7486,8272,9136,8303,5456,2590,1846579,37.1,-84.58,1754,74.784615,,,,,4.84,6.25,10.62,5.47,14.21,2.65,9.37,5.93,,4.22,7.5,7.96,3.12,4.53,2.65,4.22,21.24,5.62,11.4,4.68,,6.4,2.5,9.37,4.84,,3.44,5.62,7.96,,5.62,5.31,2.19,6.71,2.65,3.9,10.78,35.61,7.18,3.59,7.03,5.31,5.93,5.78,4.22,,8.12,46.38,2.19,3.12,3.9,5.31,7.18,,,2.5,9.37,5.47,6.87,3.9,4.06,4.06,2.19,3.111111,-0.135802,9.753086,0.592667,,-2.04321,69.156051
US_KY_21199,2020-01-06,ChIJq-RDKfrIQogRSTapYRjXqOQ,Q506309,geoId/21199,US,United States of America,KY,Kentucky,21199,Pulaski County,US,USA,2,,,,,,,64314,31376,32938,7670,8022,7379,7486,8272,9136,8303,5456,2590,1846579,37.1,-84.58,1754,74.784615,,,,,2.45,5.55,8.52,2.84,12.91,2.07,8.91,8.01,3.36,2.71,5.55,3.23,2.07,3.87,2.07,4.39,21.18,5.29,13.69,3.75,,4.91,2.71,11.23,3.87,2.84,3.23,6.97,6.71,5.04,5.29,5.17,2.19,6.59,3.36,4.78,10.85,36.16,7.88,4.26,8.52,2.97,5.68,4.78,3.87,3.36,6.07,45.58,3.1,,3.36,6.33,6.46,4.13,4.0,3.75,5.04,5.04,6.2,3.36,5.94,3.23,3.36,3.993827,-2.45679,9.95679,0.0,,-2.364198,63.417737
US_KY_21199,2020-01-07,ChIJq-RDKfrIQogRSTapYRjXqOQ,Q506309,geoId/21199,US,United States of America,KY,Kentucky,21199,Pulaski County,US,USA,2,,,,,,,64314,31376,32938,7670,8022,7379,7486,8272,9136,8303,5456,2590,1846579,37.1,-84.58,1754,74.784615,,,,,4.19,6.99,8.11,4.61,14.68,3.5,9.79,7.69,3.77,4.05,3.91,4.47,,5.03,,2.52,24.05,4.47,13.0,2.8,1.96,4.89,4.05,11.32,4.47,3.91,3.21,3.63,5.03,2.66,5.87,5.17,3.08,5.87,3.21,1.96,12.02,32.16,8.67,4.75,8.81,3.91,5.73,5.17,2.66,1.96,8.67,43.2,2.94,,2.66,6.01,7.55,2.52,3.21,4.05,8.39,6.01,7.27,4.75,2.66,5.17,,4.104938,-0.919753,9.345679,1.481667,,-1.858025,65.559858
US_KY_21199,2020-01-08,ChIJq-RDKfrIQogRSTapYRjXqOQ,Q506309,geoId/21199,US,United States of America,KY,Kentucky,21199,Pulaski County,US,USA,2,,,,,,,64314,31376,32938,7670,8022,7379,7486,8272,9136,8303,5456,2590,1846579,37.1,-84.58,1754,74.784615,,,,,1.95,5.43,10.16,6.12,16.28,2.78,9.46,7.38,3.06,3.9,9.32,4.31,,4.59,,4.31,19.48,5.57,12.11,4.17,2.64,6.12,3.06,12.66,6.26,4.31,4.45,6.82,6.82,3.06,6.12,3.2,3.62,5.98,4.04,5.71,10.3,35.9,6.26,4.45,8.91,5.01,5.84,4.45,3.06,2.92,5.98,46.62,4.04,,2.37,5.57,11.13,4.04,,2.92,7.79,5.84,5.57,2.5,4.45,4.04,1.95,5.138889,0.555556,10.361111,0.1016,,-4.95,49.234199
US_KY_21199,2020-01-09,ChIJq-RDKfrIQogRSTapYRjXqOQ,Q506309,geoId/21199,US,United States of America,KY,Kentucky,21199,Pulaski County,US,USA,2,,,,,,,64314,31376,32938,7670,8022,7379,7486,8272,9136,8303,5456,2590,1846579,37.1,-84.58,1754,74.784615,,,,,4.18,7.11,12.41,4.74,13.8,2.37,9.76,6.41,3.62,4.6,7.25,4.6,2.79,4.6,2.51,3.48,19.93,4.88,11.01,5.02,3.07,7.11,2.79,11.43,5.3,4.04,3.76,5.44,5.58,,3.48,5.72,2.09,5.86,2.51,3.35,11.43,38.9,7.95,4.04,9.76,2.51,6.27,5.58,4.32,3.76,7.25,46.14,2.37,3.35,3.9,6.41,10.46,3.9,3.21,3.9,5.58,6.55,6.97,4.32,3.48,5.58,2.79,4.605556,-2.144444,15.094444,0.0,,-3.511111,56.594297
US_KY_21199,2020-01-10,ChIJq-RDKfrIQogRSTapYRjXqOQ,Q506309,geoId/21199,US,United States of America,KY,Kentucky,21199,Pulaski County,US,USA,2,,,,,,,64314,31376,32938,7670,8022,7379,7486,8272,9136,8303,5456,2590,1846579,37.1,-84.58,1754,74.784615,,,,,2.79,5.86,10.47,6.98,14.37,2.37,7.54,6.7,2.65,4.75,5.16,4.19,,3.07,,4.33,18.14,4.47,10.61,2.09,2.09,5.58,3.07,10.33,4.05,4.47,3.91,7.95,4.75,2.51,5.72,5.16,2.09,4.33,2.79,4.47,12.7,32.79,6.0,4.05,7.82,2.65,5.3,6.42,3.21,2.51,6.14,47.17,2.93,2.65,1.95,6.42,8.51,2.65,2.51,3.91,5.02,6.7,5.44,4.05,5.86,4.19,2.93,13.888889,10.888889,17.655556,0.0,,4.894444,54.854229
