location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OK_40135,2020-01-01,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,6.53,8.59,13.74,8.93,6.18,5.15,24.05,14.43,5.5,10.65,,5.15,5.5,5.15,5.15,8.25,28.52,,8.59,7.56,,11.68,44.67,5.15,11.68,7.9,5.15,,3.766667,-1.944444,11.722222,0.0,,-4.855556,54.559286
US_OK_40135,2020-01-02,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,7.17,8.87,14.67,7.85,,4.78,23.89,12.29,,14.33,,8.87,5.12,,5.12,15.02,36.17,10.24,10.58,8.53,4.78,5.12,46.75,6.83,9.55,9.21,7.17,6.14,9.877778,6.116667,13.744444,0.0,,5.294444,73.333298
US_OK_40135,2020-01-03,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,7.88,7.54,16.79,8.57,9.25,6.85,20.56,13.71,8.91,14.05,,6.51,5.48,6.51,5.14,8.91,34.95,8.91,9.59,8.91,6.17,7.2,49.0,8.57,7.54,8.22,8.57,6.85,8.455556,4.555556,11.616667,0.0,,5.927778,84.2186
US_OK_40135,2020-01-04,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,,12.1,7.95,8.64,,7.95,24.2,16.25,5.53,12.45,5.53,,6.92,,5.19,8.99,34.58,7.61,7.26,5.19,5.19,7.61,45.3,5.88,,6.92,4.84,5.53,4.166667,-0.483333,9.866667,0.0,,-5.138889,50.995908
US_OK_40135,2020-01-05,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,8.62,12.41,7.93,7.24,7.58,8.62,17.58,15.86,,12.76,10.69,6.21,5.86,4.83,5.86,8.62,34.47,,7.93,8.96,6.21,5.52,46.88,5.17,8.62,9.31,6.21,,5.655556,-1.061111,15.261111,0.0,,-3.872222,50.776582
US_OK_40135,2020-01-06,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,4.37,6.12,11.36,13.11,8.45,8.16,12.53,11.07,9.03,15.15,7.28,6.99,,6.12,5.24,8.45,34.95,9.61,10.2,10.78,4.08,8.45,43.69,,6.99,4.66,6.12,5.24,5.077778,-1.727778,14.261111,0.0,,-2.022222,60.439725
US_OK_40135,2020-01-07,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,5.68,6.25,10.5,10.79,4.83,7.67,15.9,11.36,9.08,12.78,6.81,6.53,4.83,,,10.5,23.0,4.83,9.37,7.1,,,50.25,4.26,5.11,5.11,5.39,5.68,5.622222,-2.016667,14.088889,0.0,,-4.316667,49.450141
US_OK_40135,2020-01-08,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,4.49,6.73,10.1,5.61,8.98,5.61,17.95,10.38,5.05,12.62,5.89,6.17,5.33,5.61,,8.7,32.82,,5.89,10.66,,5.61,47.12,5.33,12.62,5.89,5.89,7.57,7.127778,0.155556,17.061111,0.0,,-4.955556,43.169501
US_OK_40135,2020-01-09,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,4.11,7.93,10.4,10.12,7.39,4.11,15.05,8.21,7.12,12.04,4.11,7.93,4.92,4.65,4.65,10.12,30.92,6.02,6.84,6.84,7.66,9.58,40.5,3.83,14.78,4.38,7.66,,13.072222,11.144444,15.172222,0.0,,5.094444,58.770209
US_OK_40135,2020-01-10,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,5.18,6.48,7.78,10.89,5.18,8.55,13.74,6.74,8.29,10.11,3.63,,3.89,5.44,4.67,11.92,24.11,6.48,10.63,6.74,4.41,5.44,33.44,,7.0,,6.22,5.44,15.933333,12.705556,19.083333,9.228667,,14.866667,93.446976
US_OK_40135,2020-01-11,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,5.58,8.71,8.01,11.5,7.67,5.92,11.15,5.92,5.92,9.76,,,7.32,9.06,,7.32,22.3,6.27,8.71,4.88,7.32,7.32,44.95,,9.41,7.32,5.23,,2.272222,-2.916667,13.827778,59.520667,,1.469136,93.06769
US_OK_40135,2020-01-12,ChIJN75VWbIUyocR8A7_lTQXk78,Q495845,geoId/40135,US,United States of America,OK,Oklahoma,40135,Sequoyah County,US,USA,2,,,,,,,41742,20601,21141,5239,5568,5050,4663,5224,5910,4989,3488,1611,1820237,35.5,-94.75,1852,75.333333,,,,,,,8.87,8.16,6.74,9.58,7.1,10.29,13.84,12.42,,11.71,5.32,6.03,7.45,,4.97,10.29,35.49,5.32,9.23,6.74,6.39,,47.91,7.1,14.2,4.97,5.32,,0.122222,-3.205556,7.944444,2.0574,,-2.233333,84.386862
