location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_workplaces,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13201,2020-01-01,ChIJR-0wj5E47YgREC-JDoAtqsQ,Q493107,geoId/13201,US,United States of America,GA,Georgia,13201,Miller County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5813,2782,3031,717,755,640,640,658,779,719,528,377,1073763,31.16,-84.73,735,76.233333,,,7.561111,1.372222,15.877778,0.0,0.763889,61.403226
US_GA_13201,2020-01-02,ChIJR-0wj5E47YgREC-JDoAtqsQ,Q493107,geoId/13201,US,United States of America,GA,Georgia,13201,Miller County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5813,2782,3031,717,755,640,640,658,779,719,528,377,1073763,31.16,-84.73,735,76.233333,,,13.866667,6.666667,23.705556,0.310444,7.534722,65.001072
US_GA_13201,2020-01-03,ChIJR-0wj5E47YgREC-JDoAtqsQ,Q493107,geoId/13201,US,United States of America,GA,Georgia,13201,Miller County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5813,2782,3031,717,755,640,640,658,779,719,528,377,1073763,31.16,-84.73,735,76.233333,,,22.816667,18.394444,26.805556,1.378857,20.090278,84.704122
US_GA_13201,2020-01-04,ChIJR-0wj5E47YgREC-JDoAtqsQ,Q493107,geoId/13201,US,United States of America,GA,Georgia,13201,Miller County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5813,2782,3031,717,755,640,640,658,779,719,528,377,1073763,31.16,-84.73,735,76.233333,,,17.05,12.811111,21.866667,28.048857,13.298611,78.962249
US_GA_13201,2020-01-05,ChIJR-0wj5E47YgREC-JDoAtqsQ,Q493107,geoId/13201,US,United States of America,GA,Georgia,13201,Miller County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5813,2782,3031,717,755,640,640,658,779,719,528,377,1073763,31.16,-84.73,735,76.233333,,,8.144444,1.294444,15.127778,1.1176,-0.236111,55.597247
US_GA_13201,2020-01-06,ChIJR-0wj5E47YgREC-JDoAtqsQ,Q493107,geoId/13201,US,United States of America,GA,Georgia,13201,Miller County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5813,2782,3031,717,755,640,640,658,779,719,528,377,1073763,31.16,-84.73,735,76.233333,,,8.488889,1.038889,19.427778,0.0,3.604167,70.256099
US_GA_13201,2020-01-07,ChIJR-0wj5E47YgREC-JDoAtqsQ,Q493107,geoId/13201,US,United States of America,GA,Georgia,13201,Miller County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5813,2782,3031,717,755,640,640,658,779,719,528,377,1073763,31.16,-84.73,735,76.233333,,,11.361111,4.216667,18.516667,0.0,5.631944,67.489191
US_GA_13201,2020-01-08,ChIJR-0wj5E47YgREC-JDoAtqsQ,Q493107,geoId/13201,US,United States of America,GA,Georgia,13201,Miller County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5813,2782,3031,717,755,640,640,658,779,719,528,377,1073763,31.16,-84.73,735,76.233333,,,8.327778,-0.422222,17.655556,0.0,-0.673611,52.551604
US_GA_13201,2020-01-09,ChIJR-0wj5E47YgREC-JDoAtqsQ,Q493107,geoId/13201,US,United States of America,GA,Georgia,13201,Miller County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5813,2782,3031,717,755,640,640,658,779,719,528,377,1073763,31.16,-84.73,735,76.233333,,,8.805556,0.072222,20.927778,0.0,2.715278,64.451717
US_GA_13201,2020-01-10,ChIJR-0wj5E47YgREC-JDoAtqsQ,Q493107,geoId/13201,US,United States of America,GA,Georgia,13201,Miller County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5813,2782,3031,717,755,640,640,658,779,719,528,377,1073763,31.16,-84.73,735,76.233333,,,17.5,12.655556,24.627778,0.0,12.576389,72.241677
