location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_OK_40089,2020-01-01,ChIJyQ8XsMM1NYYRmlsaCmJ6SuM,Q495851,geoId/40089,US,United States of America,OK,Oklahoma,40089,McCurtain County,US,USA,2,,,,,,,33031,16237,16794,4711,4505,4073,3721,3845,4281,3858,2639,1398,1820231,34.11,-94.77,4924,75.65,,,,,,,4.42,8.29,7.19,6.91,3.87,,13.54,8.85,5.25,4.98,6.08,6.08,23.77,3.87,8.57,,34.0,7.46,,4.534722,-0.444444,11.097222,0.0,-2.625,60.072966
US_OK_40089,2020-01-02,ChIJyQ8XsMM1NYYRmlsaCmJ6SuM,Q495851,geoId/40089,US,United States of America,OK,Oklahoma,40089,McCurtain County,US,USA,2,,,,,,,33031,16237,16794,4711,4505,4073,3721,3845,4281,3858,2639,1398,1820231,34.11,-94.77,4924,75.65,,,,,,,6.22,6.5,12.18,,6.5,5.41,10.29,7.04,8.93,5.68,,9.74,19.76,5.95,6.22,4.87,38.7,4.33,6.5,11.340278,9.069444,14.944444,0.0,6.965278,74.564767
US_OK_40089,2020-01-03,ChIJyQ8XsMM1NYYRmlsaCmJ6SuM,Q495851,geoId/40089,US,United States of America,OK,Oklahoma,40089,McCurtain County,US,USA,2,,,,,,,33031,16237,16794,4711,4505,4073,3721,3845,4281,3858,2639,1398,1820231,34.11,-94.77,4924,75.65,,,,,,,,8.3,10.51,5.81,4.98,5.81,13.28,9.96,6.92,4.43,6.64,8.02,19.36,,8.3,5.53,33.19,6.92,4.98,11.993056,8.715278,15.097222,2.12725,9.569444,85.157049
US_OK_40089,2020-01-04,ChIJyQ8XsMM1NYYRmlsaCmJ6SuM,Q495851,geoId/40089,US,United States of America,OK,Oklahoma,40089,McCurtain County,US,USA,2,,,,,,,33031,16237,16794,4711,4505,4073,3721,3845,4281,3858,2639,1398,1820231,34.11,-94.77,4924,75.65,,,,,,,5.53,8.45,9.32,4.37,4.37,5.53,17.77,9.32,4.95,,5.24,6.7,28.25,9.61,4.95,,33.2,7.57,5.53,6.416667,0.75,12.722222,0.0635,-1.875,55.475843
US_OK_40089,2020-01-05,ChIJyQ8XsMM1NYYRmlsaCmJ6SuM,Q495851,geoId/40089,US,United States of America,OK,Oklahoma,40089,McCurtain County,US,USA,2,,,,,,,33031,16237,16794,4711,4505,4073,3721,3845,4281,3858,2639,1398,1820231,34.11,-94.77,4924,75.65,,,,,,,4.48,,6.08,9.92,,,13.76,6.72,7.68,6.4,,4.48,22.4,,8.0,6.08,31.68,7.36,5.76,7.486111,-0.270833,19.277778,0.0,-0.777778,56.110543
US_OK_40089,2020-01-06,ChIJyQ8XsMM1NYYRmlsaCmJ6SuM,Q495851,geoId/40089,US,United States of America,OK,Oklahoma,40089,McCurtain County,US,USA,2,,,,,,,33031,16237,16794,4711,4505,4073,3721,3845,4281,3858,2639,1398,1820231,34.11,-94.77,4924,75.65,,,,,,,,7.62,8.79,5.86,7.33,,15.24,8.21,5.28,,4.69,8.5,21.69,4.4,7.03,4.98,43.97,9.38,5.57,7.625,0.243056,16.798611,0.0,1.201389,63.885994
US_OK_40089,2020-01-07,ChIJyQ8XsMM1NYYRmlsaCmJ6SuM,Q495851,geoId/40089,US,United States of America,OK,Oklahoma,40089,McCurtain County,US,USA,2,,,,,,,33031,16237,16794,4711,4505,4073,3721,3845,4281,3858,2639,1398,1820231,34.11,-94.77,4924,75.65,,,,,,,5.59,9.72,9.42,5.89,4.42,7.95,10.89,9.72,9.72,5.89,,7.07,25.03,5.89,7.95,4.71,35.63,5.59,4.42,7.881944,-0.409722,16.263889,0.0,-2.826389,46.990073
US_OK_40089,2020-01-08,ChIJyQ8XsMM1NYYRmlsaCmJ6SuM,Q495851,geoId/40089,US,United States of America,OK,Oklahoma,40089,McCurtain County,US,USA,2,,,,,,,33031,16237,16794,4711,4505,4073,3721,3845,4281,3858,2639,1398,1820231,34.11,-94.77,4924,75.65,,,,,,,5.73,6.55,14.19,5.19,5.19,,12.56,6.82,9.28,,4.09,6.82,29.21,6.55,8.46,4.09,33.3,7.92,5.19,7.277778,-0.451389,17.965278,0.0,-3.583333,46.725531
US_OK_40089,2020-01-09,ChIJyQ8XsMM1NYYRmlsaCmJ6SuM,Q495851,geoId/40089,US,United States of America,OK,Oklahoma,40089,McCurtain County,US,USA,2,,,,,,,33031,16237,16794,4711,4505,4073,3721,3845,4281,3858,2639,1398,1820231,34.11,-94.77,4924,75.65,,,,,,,,6.39,11.98,5.86,6.66,6.92,12.78,6.92,10.38,6.12,4.79,8.79,27.43,4.53,7.19,,30.89,10.65,7.19,13.154321,10.475309,17.493827,0.0,6.808642,65.847461
US_OK_40089,2020-01-10,ChIJyQ8XsMM1NYYRmlsaCmJ6SuM,Q495851,geoId/40089,US,United States of America,OK,Oklahoma,40089,McCurtain County,US,USA,2,,,,,,,33031,16237,16794,4711,4505,4073,3721,3845,4281,3858,2639,1398,1820231,34.11,-94.77,4924,75.65,,,,,,,,4.42,8.56,7.46,,6.63,13.81,9.39,6.63,4.69,5.8,5.52,17.95,,8.56,5.8,27.34,8.56,5.25,18.654321,16.41358,21.783951,1.886857,16.037037,84.86161
