location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NM_35029,2020-01-01,ChIJafRyfC7H3oYRu1PfUUHDyXo,Q489652,geoId/35029,US,United States of America,NM,New Mexico,35029,Luna County,US,USA,2,,,,,,,24100,12079,12021,3651,3310,3171,2523,2377,2736,2731,2348,1253,1832200,32.18,-107.75,7680,76.766667,,,,,,,,13.84,7.69,19.47,10.25,28.18,,30.23,,3.882716,-3.888889,13.567901,0.0,,-6.4375,46.066007
US_NM_35029,2020-01-02,ChIJafRyfC7H3oYRu1PfUUHDyXo,Q489652,geoId/35029,US,United States of America,NM,New Mexico,35029,Luna County,US,USA,2,,,,,,,24100,12079,12021,3651,3310,3171,2523,2377,2736,2731,2348,1253,1832200,32.18,-107.75,7680,76.766667,,,,,,,10.72,15.85,9.32,18.18,,29.36,,40.54,7.46,6.54321,0.296296,12.351852,0.0,,-1.597222,55.654508
US_NM_35029,2020-01-03,ChIJafRyfC7H3oYRu1PfUUHDyXo,Q489652,geoId/35029,US,United States of America,NM,New Mexico,35029,Luna County,US,USA,2,,,,,,,24100,12079,12021,3651,3310,3171,2523,2377,2736,2731,2348,1253,1832200,32.18,-107.75,7680,76.766667,,,,,,,9.7,9.7,,18.47,10.16,22.16,,36.01,,3.080247,-3.617284,10.709877,0.141111,,-5.104167,54.399731
US_NM_35029,2020-01-04,ChIJafRyfC7H3oYRu1PfUUHDyXo,Q489652,geoId/35029,US,United States of America,NM,New Mexico,35029,Luna County,US,USA,2,,,,,,,24100,12079,12021,3651,3310,3171,2523,2377,2736,2731,2348,1253,1832200,32.18,-107.75,7680,76.766667,,,,,,,10.28,,,12.23,,22.02,8.32,36.21,,3.716049,-4.432099,13.876543,0.0,,-6.888889,44.516887
US_NM_35029,2020-01-05,ChIJafRyfC7H3oYRu1PfUUHDyXo,Q489652,geoId/35029,US,United States of America,NM,New Mexico,35029,Luna County,US,USA,2,,,,,,,24100,12079,12021,3651,3310,3171,2523,2377,2736,2731,2348,1253,1832200,32.18,-107.75,7680,76.766667,,,,,,,12.95,10.55,,19.67,,14.87,,24.94,,5.487654,-3.876543,16.111111,0.0,,-5.416667,44.146154
US_NM_35029,2020-01-06,ChIJafRyfC7H3oYRu1PfUUHDyXo,Q489652,geoId/35029,US,United States of America,NM,New Mexico,35029,Luna County,US,USA,2,,,,,,,24100,12079,12021,3651,3310,3171,2523,2377,2736,2731,2348,1253,1832200,32.18,-107.75,7680,76.766667,,,,,,,10.01,13.19,9.55,15.01,9.55,32.3,8.19,42.76,,6.623457,-2.351852,15.697531,0.0,,-6.680556,37.307891
US_NM_35029,2020-01-07,ChIJafRyfC7H3oYRu1PfUUHDyXo,Q489652,geoId/35029,US,United States of America,NM,New Mexico,35029,Luna County,US,USA,2,,,,,,,24100,12079,12021,3651,3310,3171,2523,2377,2736,2731,2348,1253,1832200,32.18,-107.75,7680,76.766667,,,,,,,12.46,6.88,,23.21,9.03,24.07,6.45,32.66,6.45,4.660494,-4.203704,14.598765,0.0,,-13.0,25.864829
US_NM_35029,2020-01-08,ChIJafRyfC7H3oYRu1PfUUHDyXo,Q489652,geoId/35029,US,United States of America,NM,New Mexico,35029,Luna County,US,USA,2,,,,,,,24100,12079,12021,3651,3310,3171,2523,2377,2736,2731,2348,1253,1832200,32.18,-107.75,7680,76.766667,,,,,,,9.08,7.43,11.56,15.28,9.5,37.99,6.19,37.58,17.34,4.45679,-4.117284,15.888889,0.0,,-10.659722,31.494685
US_NM_35029,2020-01-09,ChIJafRyfC7H3oYRu1PfUUHDyXo,Q489652,geoId/35029,US,United States of America,NM,New Mexico,35029,Luna County,US,USA,2,,,,,,,24100,12079,12021,3651,3310,3171,2523,2377,2736,2731,2348,1253,1832200,32.18,-107.75,7680,76.766667,,,,,,,9.22,8.02,8.42,11.63,6.82,31.68,8.02,32.88,15.24,8.580247,-2.067901,17.438272,0.0,,-7.583333,31.170157
US_NM_35029,2020-01-10,ChIJafRyfC7H3oYRu1PfUUHDyXo,Q489652,geoId/35029,US,United States of America,NM,New Mexico,35029,Luna County,US,USA,2,,,,,,,24100,12079,12021,3651,3310,3171,2523,2377,2736,2731,2348,1253,1832200,32.18,-107.75,7680,76.766667,,,,,,,,7.72,,14.63,8.94,25.2,,38.2,8.94,7.950617,1.54321,16.802469,0.0,,-5.555556,38.406998
