location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KS_20041,2020-01-11,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,13.29,,12.08,9.06,15.71,,39.27,,-7.271605,-11.08642,-0.981481,7.930444,,-10.777778,75.894193
US_KS_20041,2020-01-12,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,10.56,,13.04,16.77,34.17,,37.89,,-4.833333,-9.574074,0.012346,0.0,78.74,-6.402778,87.718507
US_KS_20041,2020-01-13,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,8.91,,11.53,,28.3,,40.88,,-0.91358,-6.512346,5.512346,0.056444,30.48,-1.993056,92.72701
US_KS_20041,2020-01-14,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,,,19.14,12.23,31.37,,53.17,,4.808642,1.234568,9.574074,0.03175,30.48,3.854167,93.206232
US_KS_20041,2020-01-15,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,,,21.39,12.3,41.7,,36.36,8.55,4.438272,-1.41358,8.493827,0.0,,2.291667,85.662601
US_KS_20041,2020-01-16,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,,17.63,17.11,,31.11,9.85,38.89,,-7.395062,-11.382716,-0.87037,0.0,,-12.881944,64.52265
US_KS_20041,2020-01-17,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,,9.56,16.32,16.32,33.76,,39.95,,-1.04321,-5.938272,3.185185,4.600222,,-3.458333,83.209665
US_KS_20041,2020-01-18,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,10.4,,14.95,16.9,18.2,,33.8,10.4,1.734568,-3.82716,5.709877,4.854222,,-3.458333,67.8983
US_KS_20041,2020-01-19,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,,12.37,13.6,9.28,20.41,,42.05,,-3.969136,-7.858025,1.790123,0.056444,,-9.944444,62.217892
US_KS_20041,2020-01-20,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,,11.59,15.25,,25.01,,50.03,,-7.345679,-11.037037,-1.808642,0.0,,-12.347222,66.487607
US_KS_20041,2020-01-21,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,,9.26,20.07,8.75,30.36,,43.74,,-7.203704,-12.907407,2.37037,0.0,,-11.173611,71.93652
US_KS_20041,2020-01-22,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,13.15,,21.25,8.09,38.95,8.09,38.45,10.12,1.493827,0.54321,3.0,5.559778,,-0.416667,87.263526
US_KS_20041,2020-01-23,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,,8.85,25.51,11.46,40.09,,32.8,,2.351852,0.604938,4.074074,3.273778,,1.319444,92.699718
US_KS_20041,2020-01-24,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,,10.09,15.14,,26.75,,42.39,,-0.296296,-1.314815,1.654321,2.032,,-2.409722,85.290415
US_KS_20041,2020-01-25,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,,,24.76,13.68,39.09,,42.35,11.08,-1.555556,-5.691358,3.808642,0.028222,,-3.034722,88.695105
US_KS_20041,2020-01-26,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,,13.12,31.02,10.14,36.38,,39.96,,2.438272,-4.117284,12.987654,0.0,,-0.673611,79.178594
US_KS_20041,2020-01-27,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,9.81,11.36,29.94,8.78,27.36,,45.95,,2.080247,-2.728395,9.734568,0.0,,-0.902778,79.949772
US_KS_20041,2020-01-28,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,,15.28,43.73,12.12,50.58,,44.79,,0.333333,-0.740741,3.061728,0.366889,,-1.638889,86.806029
US_KS_20041,2020-01-29,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,,8.58,45.56,13.4,48.24,,31.09,8.04,-0.012346,-2.240741,4.191358,2.032,,-1.722222,87.989136
US_KS_20041,2020-01-30,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,,10.99,42.87,10.99,50.02,8.24,35.18,,0.851852,-1.95679,4.425926,0.141111,30.48,-1.347222,86.365459
US_KS_20041,2020-01-31,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,,,35.54,,41.19,,47.39,,2.604938,-2.17284,8.54321,0.0,,-1.75,72.927278
US_KS_20041,2020-02-01,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,10.55,,28.36,14.51,29.02,,49.47,,2.740741,-4.962963,15.888889,0.0,,-3.111111,64.658646
US_KS_20041,2020-02-02,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,,14.96,27.32,,33.17,,30.57,,10.703704,-0.037037,23.061728,0.0,,-0.048611,47.77719
US_KS_20041,2020-02-03,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,8.56,10.7,21.41,11.24,35.32,9.1,38.53,,6.697531,0.765432,15.604938,0.0,,0.791667,66.26059
US_KS_20041,2020-02-04,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,,8.71,25.58,11.98,37.02,8.16,39.74,,-1.135802,-2.987654,1.598765,0.0,,-6.555556,67.485909
US_KS_20041,2020-02-05,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,,12.39,29.63,12.39,37.71,8.62,36.1,,-2.740741,-4.444444,-0.475309,0.0,,-9.256944,60.826877
US_KS_20041,2020-02-06,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,10.91,9.82,20.73,9.27,34.37,10.36,41.46,,-3.049383,-10.32716,6.191358,0.028222,,-8.277778,66.481252
US_KS_20041,2020-02-07,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,9.24,9.24,23.37,,34.78,,39.13,,0.722222,-4.888889,6.308642,0.028222,,-4.951389,65.420229
US_KS_20041,2020-02-08,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,10.09,10.72,22.69,10.09,26.48,,44.12,,-0.08642,-8.104938,10.012346,0.0,,-5.409722,66.317575
US_KS_20041,2020-02-09,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,9.13,10.96,24.96,17.65,34.09,,34.09,10.96,4.654321,-1.259259,8.888889,0.0,,-1.479167,64.366019
US_KS_20041,2020-02-10,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,,20.87,21.41,,37.99,,29.97,9.63,-0.246914,-6.283951,7.222222,0.0,,-6.138889,64.278468
US_KS_20041,2020-02-11,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,,10.28,24.16,10.28,36.49,8.22,46.26,,2.345679,-2.635802,7.339506,0.0,,-6.034722,53.664246
US_KS_20041,2020-02-12,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,7.55,11.08,23.67,9.07,33.75,8.06,29.72,9.07,0.58642,-1.858025,4.975309,1.834444,,-3.555556,74.145711
US_KS_20041,2020-02-13,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,,12.15,22.18,,22.71,8.98,42.78,,-9.617284,-15.154321,2.160494,4.656667,,-15.902778,60.454568
US_KS_20041,2020-02-14,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,,,,,,,12.72,30.97,,42.03,,30.97,,-10.290123,-15.648148,-1.87037,0.0,,-15.729167,64.16144
US_KS_20041,2020-02-15,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,8,-4,-4,-8,,11.15,,23.61,11.8,27.54,,45.25,,1.814815,-4.734568,9.851852,0.0,,-3.819444,66.749329
US_KS_20041,2020-02-16,ChIJwR4xSrH1vIcRr7rcudH0yRg,Q376576,geoId/20041,US,United States of America,KS,Kansas,20041,Dickinson County,US,USA,2,,,,,,,18829,9448,9381,2432,2507,1958,2270,2111,2627,2377,1436,1111,1070365,38.8833,-97.1667,2207,77.983333,16,7,,0,,,10.03,22.57,11.28,26.95,,32.59,,2.623457,-5.179012,12.290123,0.0,,-1.520833,74.656805
