location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WI_55085,2020-01-01,ChIJHVp4ie-uVU0RkL5_7Ew2G10,Q497424,geoId/55085,US,United States of America,WI,Wisconsin,55085,Oneida County,US,USA,2,,,,,,,35236,17646,17590,3212,3381,3311,3376,3717,5908,6295,3891,2145,270661,45.7,-89.52,3201,,,,,,3.67,8.31,9.53,12.71,9.53,6.6,6.6,,3.67,20.29,3.91,11.0,3.91,7.58,4.89,6.35,5.62,3.67,,3.91,6.84,,7.82,20.04,4.16,4.64,8.06,5.38,,6.11,3.91,45.21,3.91,9.29,4.89,,4.64,4.16,,-11.272222,-18.033333,-2.827778,0.169333,265.43,-12.805556,88.439394
US_WI_55085,2020-01-02,ChIJHVp4ie-uVU0RkL5_7Ew2G10,Q497424,geoId/55085,US,United States of America,WI,Wisconsin,55085,Oneida County,US,USA,2,,,,,,,35236,17646,17590,3212,3381,3311,3376,3717,5908,6295,3891,2145,270661,45.7,-89.52,3201,,,,,,5.26,6.64,4.81,14.42,7.55,5.95,7.33,3.89,,20.15,3.21,10.99,,4.35,6.18,6.41,5.72,7.55,4.12,5.26,4.35,3.89,8.7,24.27,6.64,5.49,8.93,3.43,,6.64,5.95,44.87,4.35,8.47,7.33,3.66,,4.81,3.21,-1.094444,-3.988889,1.022222,0.0635,265.43,-2.116667,92.856344
US_WI_55085,2020-01-03,ChIJHVp4ie-uVU0RkL5_7Ew2G10,Q497424,geoId/55085,US,United States of America,WI,Wisconsin,55085,Oneida County,US,USA,2,,,,,,,35236,17646,17590,3212,3381,3311,3376,3717,5908,6295,3891,2145,270661,45.7,-89.52,3201,,,,,,7.86,6.93,7.4,9.02,6.47,3.93,6.7,,6.47,23.58,,12.02,,5.78,9.02,5.55,5.32,4.16,5.32,3.7,6.01,,8.09,30.75,5.09,5.78,6.24,4.16,3.47,4.16,5.78,42.31,5.09,8.79,5.32,3.93,5.09,3.24,4.39,-2.555556,-4.838889,-0.027778,0.0,255.27,-4.961111,83.747768
US_WI_55085,2020-01-04,ChIJHVp4ie-uVU0RkL5_7Ew2G10,Q497424,geoId/55085,US,United States of America,WI,Wisconsin,55085,Oneida County,US,USA,2,,,,,,,35236,17646,17590,3212,3381,3311,3376,3717,5908,6295,3891,2145,270661,45.7,-89.52,3201,,,,,,10.15,4.32,7.36,11.93,7.11,7.11,4.57,,4.57,15.74,3.81,8.12,,5.33,6.35,3.55,6.09,3.81,3.81,3.81,6.85,,6.85,25.89,7.62,3.81,8.88,4.06,4.82,6.6,4.82,41.63,4.82,7.11,5.33,,5.08,3.55,,-5.372222,-6.688889,-3.244444,0.0,255.27,-6.961111,88.706848
US_WI_55085,2020-01-05,ChIJHVp4ie-uVU0RkL5_7Ew2G10,Q497424,geoId/55085,US,United States of America,WI,Wisconsin,55085,Oneida County,US,USA,2,,,,,,,35236,17646,17590,3212,3381,3311,3376,3717,5908,6295,3891,2145,270661,45.7,-89.52,3201,,,,,,7.17,4.87,6.92,7.94,4.1,3.84,7.43,5.89,7.68,22.03,,12.55,,6.66,5.63,5.12,4.87,6.66,,,4.36,3.84,6.15,27.66,7.17,4.1,7.68,,,4.61,5.12,45.34,,5.89,6.92,4.36,6.15,,3.59,-4.65,-6.133333,-1.266667,0.580571,240.03,-5.972222,90.521316
US_WI_55085,2020-01-06,ChIJHVp4ie-uVU0RkL5_7Ew2G10,Q497424,geoId/55085,US,United States of America,WI,Wisconsin,55085,Oneida County,US,USA,2,,,,,,,35236,17646,17590,3212,3381,3311,3376,3717,5908,6295,3891,2145,270661,45.7,-89.52,3201,,,,,,6.43,7.81,5.74,9.19,7.81,3.91,4.59,3.45,6.66,15.85,4.14,6.66,4.83,6.2,8.04,4.59,6.2,7.35,3.45,3.45,,5.74,10.57,23.9,5.05,6.43,5.05,,5.05,3.68,5.51,41.36,3.22,7.35,5.74,4.37,4.59,,,-4.605556,-8.794444,-0.316667,0.7112,289.56,-8.316667,75.319951
US_WI_55085,2020-01-07,ChIJHVp4ie-uVU0RkL5_7Ew2G10,Q497424,geoId/55085,US,United States of America,WI,Wisconsin,55085,Oneida County,US,USA,2,,,,,,,35236,17646,17590,3212,3381,3311,3376,3717,5908,6295,3891,2145,270661,45.7,-89.52,3201,,,,,,5.55,6.48,4.4,11.34,9.49,6.02,7.41,3.24,,18.51,3.93,10.18,,4.4,14.12,4.86,4.63,4.86,3.7,3.47,3.93,3.47,8.33,24.99,7.64,3.93,4.4,,4.4,3.47,7.64,37.95,6.02,7.17,7.41,10.64,3.7,,,-4.311111,-9.205556,-1.3,0.0,265.43,-8.366667,73.366571
US_WI_55085,2020-01-08,ChIJHVp4ie-uVU0RkL5_7Ew2G10,Q497424,geoId/55085,US,United States of America,WI,Wisconsin,55085,Oneida County,US,USA,2,,,,,,,35236,17646,17590,3212,3381,3311,3376,3717,5908,6295,3891,2145,270661,45.7,-89.52,3201,,,,,,5.12,5.82,3.96,10.71,8.14,7.21,6.52,3.96,3.26,18.15,3.96,9.08,,4.19,9.08,,7.45,5.12,3.96,4.89,6.52,4.42,6.98,22.57,7.45,4.19,6.28,5.35,6.52,3.49,9.31,44.68,4.19,7.45,4.65,6.05,3.96,,,-15.244444,-19.633333,-8.088889,0.042333,265.43,-19.75,68.548528
US_WI_55085,2020-01-09,ChIJHVp4ie-uVU0RkL5_7Ew2G10,Q497424,geoId/55085,US,United States of America,WI,Wisconsin,55085,Oneida County,US,USA,2,,,,,,,35236,17646,17590,3212,3381,3311,3376,3717,5908,6295,3891,2145,270661,45.7,-89.52,3201,,,,,,4.34,5.25,6.16,11.19,9.36,8.22,4.79,3.42,4.79,15.52,,9.36,4.11,7.08,12.55,5.25,6.39,3.88,5.71,4.57,7.08,,7.3,28.08,4.34,5.02,6.16,4.57,7.99,3.2,5.93,35.61,3.65,7.08,7.08,5.25,5.25,3.42,5.25,-7.483333,-14.638889,-0.161111,0.1016,255.27,-10.3,80.276895
US_WI_55085,2020-01-10,ChIJHVp4ie-uVU0RkL5_7Ew2G10,Q497424,geoId/55085,US,United States of America,WI,Wisconsin,55085,Oneida County,US,USA,2,,,,,,,35236,17646,17590,3212,3381,3311,3376,3717,5908,6295,3891,2145,270661,45.7,-89.52,3201,,,,,,,5.22,5.68,7.72,7.26,5.68,4.77,3.18,,17.71,,8.63,3.41,4.31,8.63,4.54,4.31,5.45,3.63,,5.22,3.41,6.36,28.61,7.95,4.77,6.13,,4.09,5.0,6.13,37.23,5.0,6.81,7.72,4.31,4.77,,,-3.083333,-7.233333,0.577778,0.296333,240.03,-5.555556,83.07666
