location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KY_21107,2020-01-01,ChIJ2ePWuDcbcIgRS8RptoFLjGQ,Q501092,geoId/21107,US,United States of America,KY,Kentucky,21107,Hopkins County,US,USA,2,,,,,,,45293,22098,23195,5608,5647,5346,5435,5578,6369,5894,3518,1898,1846535,37.31,-87.54,1435,73.916667,,,,,,7.12,9.02,4.75,14.23,8.78,4.27,6.64,4.27,21.59,,12.57,,6.88,6.88,5.46,4.75,4.75,5.69,4.27,4.51,4.75,26.57,9.73,6.17,,4.75,4.27,38.91,,7.59,8.78,,,4.444444,-0.854167,11.354167,0.0,,-2.791667,59.779996
US_KY_21107,2020-01-02,ChIJ2ePWuDcbcIgRS8RptoFLjGQ,Q501092,geoId/21107,US,United States of America,KY,Kentucky,21107,Hopkins County,US,USA,2,,,,,,,45293,22098,23195,5608,5647,5346,5435,5578,6369,5894,3518,1898,1846535,37.31,-87.54,1435,73.916667,,,,,,8.2,11.15,5.46,14.8,10.24,6.6,5.46,7.06,21.86,5.46,12.52,3.42,3.42,9.33,6.6,4.78,7.74,6.38,3.64,6.38,8.65,33.01,8.65,6.6,5.46,6.38,7.06,47.58,6.15,8.2,7.29,4.78,7.06,8.020833,3.6875,11.201389,2.328333,,1.965278,65.977936
US_KY_21107,2020-01-03,ChIJ2ePWuDcbcIgRS8RptoFLjGQ,Q501092,geoId/21107,US,United States of America,KY,Kentucky,21107,Hopkins County,US,USA,2,,,,,,,45293,22098,23195,5608,5647,5346,5435,5578,6369,5894,3518,1898,1846535,37.31,-87.54,1435,73.916667,,,,,,8.27,8.94,4.92,12.07,8.71,5.81,6.7,5.59,21.45,3.8,13.63,4.02,3.35,14.75,5.81,5.14,5.59,4.47,4.47,,9.16,36.42,6.93,7.15,6.7,4.92,8.04,44.47,4.02,5.14,8.27,9.38,9.38,11.074074,8.555556,12.549383,14.949714,,10.746914,97.879106
US_KY_21107,2020-01-04,ChIJ2ePWuDcbcIgRS8RptoFLjGQ,Q501092,geoId/21107,US,United States of America,KY,Kentucky,21107,Hopkins County,US,USA,2,,,,,,,45293,22098,23195,5608,5647,5346,5435,5578,6369,5894,3518,1898,1846535,37.31,-87.54,1435,73.916667,,,,,,6.47,12.02,,10.87,6.93,6.47,5.78,6.24,19.88,5.78,13.18,3.93,5.78,9.02,3.7,6.24,4.39,3.7,4.86,4.62,6.47,36.06,4.16,9.48,3.7,3.24,4.62,39.76,4.16,6.47,7.4,3.7,6.01,4.944444,2.358025,10.17284,4.753429,,2.944444,87.022378
US_KY_21107,2020-01-05,ChIJ2ePWuDcbcIgRS8RptoFLjGQ,Q501092,geoId/21107,US,United States of America,KY,Kentucky,21107,Hopkins County,US,USA,2,,,,,,,45293,22098,23195,5608,5647,5346,5435,5578,6369,5894,3518,1898,1846535,37.31,-87.54,1435,73.916667,,,,,,4.71,7.06,,16.48,6.83,5.65,7.54,4.24,20.02,4.0,15.3,3.53,4.47,6.83,3.53,7.54,6.59,6.12,4.0,8.01,9.18,33.67,4.0,8.24,4.47,5.42,5.18,51.33,5.42,9.42,5.42,4.0,7.3,3.652778,-2.256944,12.458333,0.4445,,-0.965278,71.993441
US_KY_21107,2020-01-06,ChIJ2ePWuDcbcIgRS8RptoFLjGQ,Q501092,geoId/21107,US,United States of America,KY,Kentucky,21107,Hopkins County,US,USA,2,,,,,,,45293,22098,23195,5608,5647,5346,5435,5578,6369,5894,3518,1898,1846535,37.31,-87.54,1435,73.916667,,,,,,4.92,8.51,3.81,9.18,9.4,7.83,8.73,5.37,20.14,,12.53,5.37,6.49,12.98,4.92,7.39,,3.13,5.15,5.37,12.09,37.6,11.41,9.85,5.37,4.25,7.16,44.54,3.81,8.28,8.06,5.15,6.27,4.753086,-2.067901,10.283951,0.0,,-1.802469,62.901132
US_KY_21107,2020-01-07,ChIJ2ePWuDcbcIgRS8RptoFLjGQ,Q501092,geoId/21107,US,United States of America,KY,Kentucky,21107,Hopkins County,US,USA,2,,,,,,,45293,22098,23195,5608,5647,5346,5435,5578,6369,5894,3518,1898,1846535,37.31,-87.54,1435,73.916667,,,,,,6.49,8.51,5.15,13.65,8.28,6.71,9.18,4.03,20.59,4.25,8.73,4.48,4.25,10.52,5.15,6.27,5.6,5.82,5.37,6.27,11.41,29.54,8.28,7.16,7.83,5.82,9.18,45.21,4.48,6.27,4.7,6.04,7.83,4.67284,-1.790123,9.932099,0.0,,-3.080247,57.949607
US_KY_21107,2020-01-08,ChIJ2ePWuDcbcIgRS8RptoFLjGQ,Q501092,geoId/21107,US,United States of America,KY,Kentucky,21107,Hopkins County,US,USA,2,,,,,,,45293,22098,23195,5608,5647,5346,5435,5578,6369,5894,3518,1898,1846535,37.31,-87.54,1435,73.916667,,,,,,5.38,9.63,8.96,13.22,6.05,5.38,6.05,5.38,21.06,4.93,10.31,3.58,3.58,12.32,3.81,6.95,5.15,4.48,4.71,5.6,8.96,38.98,8.07,10.53,5.83,5.83,9.41,51.53,6.05,15.68,6.5,6.95,5.38,4.635802,-0.32716,10.697531,0.0,,-4.339506,52.340519
US_KY_21107,2020-01-09,ChIJ2ePWuDcbcIgRS8RptoFLjGQ,Q501092,geoId/21107,US,United States of America,KY,Kentucky,21107,Hopkins County,US,USA,2,,,,,,,45293,22098,23195,5608,5647,5346,5435,5578,6369,5894,3518,1898,1846535,37.31,-87.54,1435,73.916667,,,,,,3.57,8.69,6.02,15.16,9.59,7.58,4.68,4.46,19.39,3.12,12.93,4.68,5.35,11.82,3.57,7.13,3.79,4.01,6.02,4.24,10.92,36.56,5.57,6.91,6.46,4.24,6.46,39.01,3.79,9.59,3.79,3.12,6.46,7.388889,1.345679,14.45679,0.0,,-3.185185,47.525022
US_KY_21107,2020-01-10,ChIJ2ePWuDcbcIgRS8RptoFLjGQ,Q501092,geoId/21107,US,United States of America,KY,Kentucky,21107,Hopkins County,US,USA,2,,,,,,,45293,22098,23195,5608,5647,5346,5435,5578,6369,5894,3518,1898,1846535,37.31,-87.54,1435,73.916667,,,,,,5.34,6.01,4.45,16.26,6.68,6.9,5.57,6.01,18.04,5.12,7.57,3.79,4.68,13.14,4.23,6.46,5.57,5.12,4.68,6.68,11.13,30.73,7.13,9.58,6.24,7.79,5.57,46.1,6.46,9.35,6.68,4.23,4.45,14.555556,11.179012,17.592593,3.120571,,7.938272,65.52375
