location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_WY_56029,2020-01-11,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,5.67,11.65,8.5,8.5,5.35,,13.54,7.24,,7.24,,4.72,,4.72,4.41,8.82,21.09,8.19,6.93,,7.87,4.41,37.47,,7.87,6.93,,5.04,-8.240741,-13.160494,-2.962963,0.362857,-13.138889,68.413331
US_WY_56029,2020-01-12,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,,7.53,9.1,8.16,,4.39,15.69,6.59,,7.22,,6.59,,5.33,5.65,,20.39,6.59,7.22,,,,36.4,,9.1,6.9,5.65,,-6.555556,-10.95679,-3.351852,1.80975,-11.333333,70.594313
US_WY_56029,2020-01-13,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,,5.08,12.58,6.42,6.69,5.89,8.3,4.82,4.28,10.17,,,,,4.28,3.75,22.48,6.96,,5.35,3.75,,32.65,,9.63,4.55,4.01,3.75,-6.851852,-11.191358,-3.555556,1.016,-12.645833,64.760622
US_WY_56029,2020-01-14,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,,8.85,9.39,6.98,3.76,3.76,14.22,4.56,8.32,8.59,5.1,,,4.29,,6.98,30.85,8.05,6.17,5.63,4.56,4.56,33.54,,6.44,5.9,,4.83,-8.382716,-12.864198,-2.604938,1.524,-13.555556,68.540542
US_WY_56029,2020-01-15,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,5.83,5.83,10.86,8.48,3.97,6.62,10.07,5.83,,8.21,,,,6.62,6.62,8.21,28.35,6.36,8.21,3.97,3.97,4.24,38.15,6.89,9.8,5.83,4.24,,-10.580247,-16.259259,-3.580247,2.503714,-16.236111,65.834171
US_WY_56029,2020-01-16,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,4.61,7.6,10.31,9.77,7.05,5.43,11.67,5.43,,9.5,,4.34,,,6.78,7.33,22.25,5.43,5.97,5.16,4.61,4.07,35.27,4.88,4.07,7.05,4.88,,-10.333333,-19.407407,0.5,0.028222,-16.534722,60.840517
US_WY_56029,2020-01-17,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,,6.64,8.58,6.92,,6.09,6.92,5.81,5.53,9.41,9.68,6.09,4.43,6.36,,6.64,27.94,7.75,9.68,4.98,,7.75,41.5,,8.3,,5.53,4.15,-3.487654,-8.104938,1.759259,1.778,-9.263889,63.836947
US_WY_56029,2020-01-18,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,6.11,6.43,9.64,7.07,5.14,7.39,12.54,6.75,,7.39,5.14,4.82,,,,7.39,23.14,7.39,7.71,,,4.82,35.35,7.71,10.29,4.82,,4.82,-7.339506,-13.432099,0.666667,0.635,-14.020833,60.414297
US_WY_56029,2020-01-19,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,4.35,10.88,8.39,7.77,5.28,,8.39,4.66,,5.9,4.66,,,,,4.66,23.93,5.59,8.7,,,7.15,40.08,,7.46,5.59,,,-5.907407,-11.166667,0.839506,0.15875,-11.5625,64.329083
US_WY_56029,2020-01-20,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,4.1,5.46,8.2,7.92,4.37,6.83,15.57,4.92,5.19,11.2,,6.56,,,,10.11,23.22,6.28,5.46,,6.01,7.1,37.98,4.64,4.37,6.28,7.65,3.83,-8.333333,-14.520833,1.243056,0.03175,-13.309524,63.429751
US_WY_56029,2020-01-21,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,8.39,7.58,11.1,5.68,5.14,5.41,15.97,3.79,4.87,14.35,,,,6.22,5.41,11.91,24.36,4.87,6.77,4.87,6.77,8.39,34.92,,5.68,6.5,5.68,,-3.203704,-7.734568,3.302469,0.03175,-8.430556,66.106167
US_WY_56029,2020-01-22,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,5.72,4.16,8.06,9.88,4.16,4.94,11.96,7.54,5.46,10.14,,,,,7.28,7.02,27.29,4.68,4.94,4.68,8.58,7.54,36.91,3.64,5.2,5.72,5.72,5.2,-0.783951,-7.024691,3.444444,0.465667,-6.465278,66.912886
US_WY_56029,2020-01-23,ChIJHazPIJZeRVMREOKSf3g0edY,Q156385,geoId/56029,US,United States of America,WY,Wyoming,56029,Park County,US,USA,2,,,,,,,29194,14585,14609,3318,3471,3092,3386,2987,4000,4599,2824,1517,288537,44.49,-109.56,18044,81.68,,,,,,,7.83,8.1,4.59,5.67,8.1,11.88,7.02,,12.41,4.86,8.37,3.78,3.78,5.4,5.94,23.21,5.13,7.02,,6.48,7.56,38.05,6.48,7.02,6.21,5.4,4.59,-3.481481,-7.549383,2.376543,0.435429,-8.458333,70.01926
