location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WI_55053,2020-01-01,ChIJ0bI8cODc_ocRoAsnSLCiboA,Q500897,geoId/55053,US,United States of America,WI,Wisconsin,55053,Jackson County,US,USA,2,,,,,,,20485,10911,9574,2455,2496,2353,2438,2429,3030,2704,1661,919,270808,44.32,-90.81,2590,,,,,,8.95,8.95,,21.06,,23.69,,39.48,,-7.183333,-14.411111,2.911111,0.0254,165.1,-10.030864,80.585982
US_WI_55053,2020-01-02,ChIJ0bI8cODc_ocRoAsnSLCiboA,Q500897,geoId/55053,US,United States of America,WI,Wisconsin,55053,Jackson County,US,USA,2,,,,,,,20485,10911,9574,2455,2496,2353,2438,2429,3030,2704,1661,919,270808,44.32,-90.81,2590,,,,,,9.38,11.62,,21.45,8.94,29.04,,37.08,8.94,1.8,-2.361111,4.611111,0.197556,155.956,-0.746914,83.895106
US_WI_55053,2020-01-03,ChIJ0bI8cODc_ocRoAsnSLCiboA,Q500897,geoId/55053,US,United States of America,WI,Wisconsin,55053,Jackson County,US,USA,2,,,,,,,20485,10911,9574,2455,2496,2353,2438,2429,3030,2704,1661,919,270808,44.32,-90.81,2590,,,,,,7.26,10.89,11.79,22.23,11.79,24.95,,38.55,,0.294444,-0.905556,2.283333,0.0,146.812,-2.679012,80.785463
US_WI_55053,2020-01-04,ChIJ0bI8cODc_ocRoAsnSLCiboA,Q500897,geoId/55053,US,United States of America,WI,Wisconsin,55053,Jackson County,US,USA,2,,,,,,,20485,10911,9574,2455,2496,2353,2438,2429,3030,2704,1661,919,270808,44.32,-90.81,2590,,,,,,,12.19,,22.71,12.74,24.92,8.31,37.11,,-2.361111,-5.083333,0.205556,0.056444,153.035,-5.253086,80.912503
US_WI_55053,2020-01-05,ChIJ0bI8cODc_ocRoAsnSLCiboA,Q500897,geoId/55053,US,United States of America,WI,Wisconsin,55053,Jackson County,US,USA,2,,,,,,,20485,10911,9574,2455,2496,2353,2438,2429,3030,2704,1661,919,270808,44.32,-90.81,2590,,,,,,,,,16.1,,22.33,,35.83,,-1.966667,-5.627778,2.905556,0.0,135.255,-4.703704,81.197348
US_WI_55053,2020-01-06,ChIJ0bI8cODc_ocRoAsnSLCiboA,Q500897,geoId/55053,US,United States of America,WI,Wisconsin,55053,Jackson County,US,USA,2,,,,,,,20485,10911,9574,2455,2496,2353,2438,2429,3030,2704,1661,919,270808,44.32,-90.81,2590,,,,,,,7.24,9.5,22.17,8.14,27.6,8.14,50.23,7.24,-1.577778,-6.027778,3.094444,0.0762,114.935,-6.907407,67.429988
US_WI_55053,2020-01-07,ChIJ0bI8cODc_ocRoAsnSLCiboA,Q500897,geoId/55053,US,United States of America,WI,Wisconsin,55053,Jackson County,US,USA,2,,,,,,,20485,10911,9574,2455,2496,2353,2438,2429,3030,2704,1661,919,270808,44.32,-90.81,2590,,,,,,7.11,8.89,7.56,14.67,6.67,24.01,,40.9,,-1.0,-4.088889,1.2,0.0,109.855,-5.395062,72.573259
US_WI_55053,2020-01-08,ChIJ0bI8cODc_ocRoAsnSLCiboA,Q500897,geoId/55053,US,United States of America,WI,Wisconsin,55053,Jackson County,US,USA,2,,,,,,,20485,10911,9574,2455,2496,2353,2438,2429,3030,2704,1661,919,270808,44.32,-90.81,2590,,,,,,,,8.13,15.81,9.04,18.98,,47.45,,-12.038889,-17.794444,-3.955556,0.0,109.855,-18.160494,60.69322
US_WI_55053,2020-01-09,ChIJ0bI8cODc_ocRoAsnSLCiboA,Q500897,geoId/55053,US,United States of America,WI,Wisconsin,55053,Jackson County,US,USA,2,,,,,,,20485,10911,9574,2455,2496,2353,2438,2429,3030,2704,1661,919,270808,44.32,-90.81,2590,,,,,,,13.15,7.89,14.03,14.03,25.86,,38.13,,-3.683333,-10.311111,4.911111,0.056444,97.79,-8.148148,70.956195
US_WI_55053,2020-01-10,ChIJ0bI8cODc_ocRoAsnSLCiboA,Q500897,geoId/55053,US,United States of America,WI,Wisconsin,55053,Jackson County,US,USA,2,,,,,,,20485,10911,9574,2455,2496,2353,2438,2429,3030,2704,1661,919,270808,44.32,-90.81,2590,,,,,,,8.81,,18.56,10.21,29.23,9.74,28.76,11.6,-2.1,-5.405556,3.955556,0.254,110.066667,-5.104938,80.468419
US_WI_55053,2020-01-11,ChIJ0bI8cODc_ocRoAsnSLCiboA,Q500897,geoId/55053,US,United States of America,WI,Wisconsin,55053,Jackson County,US,USA,2,,,,,,,20485,10911,9574,2455,2496,2353,2438,2429,3030,2704,1661,919,270808,44.32,-90.81,2590,,,,,,9.11,11.96,,15.38,9.11,25.06,,35.88,,-6.922222,-9.811111,-3.616667,0.0,99.906667,-12.993827,62.711858
