location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KY_21217,2020-01-11,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,11.04,13.9,10.22,,,12.26,7.77,6.54,27.38,11.44,8.99,40.05,8.58,7.36,16.716667,13.594444,21.583333,7.257143,,12.888889,78.477131
US_KY_21217,2020-01-12,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,11.57,10.28,9.43,9.43,,17.57,,7.28,33.84,11.57,9.43,44.55,10.28,8.14,6.944444,3.188889,17.0,16.292286,,5.135802,87.538695
US_KY_21217,2020-01-13,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,11.7,13.32,12.35,6.5,7.47,18.2,12.67,6.5,29.89,6.5,7.8,50.04,11.7,7.8,4.755556,0.75,10.061111,0.0254,,3.08642,89.397943
US_KY_21217,2020-01-14,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,12.11,11.47,7.64,9.88,,13.06,11.79,8.92,26.76,4.78,8.28,42.69,8.28,6.05,9.522222,4.561111,13.066667,2.503714,,7.993827,90.563062
US_KY_21217,2020-01-15,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,8.71,9.95,7.46,4.66,4.66,15.54,12.44,8.39,29.53,,9.64,38.55,11.5,,11.111111,5.238889,19.15,0.725714,,10.160494,95.253751
US_KY_21217,2020-01-16,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,5.88,16.0,8.82,6.2,7.51,14.04,8.82,10.78,27.1,6.86,9.8,41.8,14.04,5.88,7.4,2.261111,14.227778,0.41275,,2.864198,72.893838
US_KY_21217,2020-01-17,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,6.92,9.0,9.0,,5.88,10.04,6.23,10.04,20.42,9.0,6.58,46.39,6.58,5.19,-0.494444,-3.611111,4.922222,0.0,,-6.351852,64.884972
US_KY_21217,2020-01-18,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,10.49,16.37,,8.82,8.4,18.47,6.72,,26.45,,7.98,49.12,8.82,11.34,7.3,0.333333,11.361111,1.850571,,0.703704,63.519352
US_KY_21217,2020-01-19,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,,14.02,9.2,,6.57,15.33,7.88,12.27,45.12,,,45.56,,7.88,-0.527778,-5.8,10.455556,1.552222,,-6.185185,65.515288
US_KY_21217,2020-01-20,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,8.36,18.32,13.14,6.77,,18.32,,9.16,36.63,7.17,7.17,47.39,8.76,6.37,-7.188889,-8.838889,-3.6,0.0,,-11.32716,72.304313
US_KY_21217,2020-01-21,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,10.41,16.27,9.44,,5.21,26.03,7.81,9.44,29.93,13.01,5.21,45.22,9.11,5.86,-4.092593,-7.067901,-0.179012,0.0508,,-9.604167,65.241101
US_KY_21217,2020-01-22,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,8.64,13.44,11.84,7.04,,19.83,9.6,6.72,25.91,6.4,6.08,35.51,6.72,6.4,-3.666667,-9.604938,4.709877,0.0,,-9.270833,65.836734
US_KY_21217,2020-01-23,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,8.29,8.92,7.97,6.05,7.33,19.76,8.61,11.47,32.19,7.65,7.01,43.98,8.29,5.74,3.253086,-0.203704,8.685185,1.439333,,-5.069444,55.261897
US_KY_21217,2020-01-24,ChIJXbQYYcxxaIgRPPL6QC6DQfY,Q473605,geoId/21217,US,United States of America,KY,Kentucky,21217,Taylor County,US,USA,2,,,,,,,25544,12510,13034,3242,3518,3647,2896,2703,3380,3046,2003,1109,1846586,37.37,-85.33,718,75.94,,,,12.81,15.93,4.85,,,31.86,10.39,9.35,38.09,7.62,11.43,40.17,11.43,6.23,6.376543,2.932099,9.703704,8.424333,,5.375,93.566202
